age,gender,married,job_type,education,credit_score,loan_amount,dependents,property_area,loan_approved
34,female,yes,salaried,undergraduate,312,352183,0,semi-urban,0
33,male,no,unemployed,undergraduate,863,227238,0,semi-urban,0
63,female,yes,salaried,graduate,357,75045,0,urban,1
24,female,yes,salaried,undergraduate,717,485647,0,semi-urban,1
27,male,yes,salaried,undergraduate,773,590370,1,urban,1
24,female,yes,salaried,graduate,542,420267,4,rural,0
41,male,yes,salaried,graduate,339,689602,3,rural,0
36,male,no,salaried,graduate,577,759051,2,urban,0
31,male,yes,self-employed,postgraduate,529,556305,1,rural,0
44,male,yes,salaried,undergraduate,821,666687,3,urban,0
24,male,yes,salaried,postgraduate,557,672664,4,semi-urban,1
62,female,yes,salaried,undergraduate,821,629474,2,semi-urban,0
64,male,no,salaried,graduate,651,963042,0,semi-urban,0
57,male,yes,salaried,graduate,781,951435,0,rural,0
26,male,yes,salaried,postgraduate,472,757261,1,semi-urban,0
28,male,yes,self-employed,graduate,680,213591,1,rural,0
59,male,no,salaried,graduate,791,248160,0,semi-urban,1
43,male,yes,unemployed,postgraduate,613,400670,3,rural,0
51,male,yes,self-employed,graduate,682,208863,1,semi-urban,0
55,male,no,salaried,graduate,435,390902,2,semi-urban,0
63,female,yes,self-employed,graduate,809,787127,4,semi-urban,0
41,male,no,self-employed,undergraduate,645,60631,4,urban,0
52,male,yes,salaried,graduate,422,114565,4,urban,0
33,male,yes,salaried,graduate,707,527369,4,urban,0
54,male,yes,self-employed,undergraduate,460,882138,2,urban,1
59,male,no,unemployed,undergraduate,446,669069,1,semi-urban,0
63,male,yes,unemployed,graduate,794,957012,1,urban,1
43,male,no,salaried,undergraduate,337,710663,4,urban,0
21,male,no,salaried,postgraduate,862,246691,0,urban,1
55,female,yes,salaried,graduate,652,371855,1,semi-urban,0
40,male,no,unemployed,undergraduate,812,305057,3,semi-urban,0
25,male,yes,salaried,undergraduate,646,84332,2,urban,0
25,male,yes,unemployed,graduate,710,96194,1,semi-urban,0
56,male,yes,salaried,graduate,571,340514,2,urban,1
44,female,no,self-employed,undergraduate,427,287963,1,urban,0
30,male,yes,unemployed,graduate,301,978077,4,rural,0
42,male,yes,self-employed,graduate,601,820432,0,rural,0
46,male,yes,self-employed,graduate,580,568407,1,semi-urban,0
27,male,yes,salaried,graduate,526,383789,0,semi-urban,1
58,female,yes,unemployed,postgraduate,402,895149,3,semi-urban,0
59,male,yes,self-employed,graduate,398,153573,1,urban,0
60,male,no,self-employed,graduate,322,614476,3,rural,0
64,female,no,unemployed,graduate,413,723742,2,semi-urban,0
51,female,no,salaried,undergraduate,537,471315,0,rural,1
51,male,yes,unemployed,undergraduate,796,515624,0,semi-urban,0
23,male,no,salaried,graduate,493,991566,1,urban,0
45,male,no,salaried,graduate,689,162211,3,semi-urban,0
38,female,no,self-employed,undergraduate,542,414375,3,semi-urban,0
58,male,no,self-employed,graduate,797,578556,0,semi-urban,0
46,male,yes,self-employed,undergraduate,429,158495,1,urban,0
56,female,no,self-employed,graduate,644,732867,4,urban,0
37,male,no,salaried,graduate,461,690164,2,urban,0
33,female,yes,salaried,undergraduate,323,524757,4,urban,0
43,male,yes,salaried,graduate,473,883191,1,rural,0
39,female,no,salaried,undergraduate,522,427284,4,urban,0
24,male,yes,salaried,postgraduate,371,306632,1,rural,1
49,male,yes,salaried,undergraduate,472,508652,3,urban,1
52,male,yes,salaried,undergraduate,580,807514,0,rural,0
41,female,no,unemployed,graduate,696,910739,0,urban,1
31,male,no,unemployed,graduate,698,54431,2,semi-urban,0
29,female,yes,salaried,undergraduate,854,819186,0,semi-urban,0
46,female,yes,salaried,undergraduate,738,211214,3,semi-urban,1
29,female,no,salaried,graduate,618,317090,4,urban,0
51,male,yes,self-employed,graduate,572,596308,0,semi-urban,0
33,male,no,self-employed,graduate,350,802321,4,urban,0
39,female,yes,salaried,undergraduate,430,177212,2,rural,0
50,male,yes,self-employed,graduate,515,710623,2,rural,0
49,male,no,salaried,graduate,830,95278,3,urban,1
21,male,no,salaried,graduate,366,515077,0,urban,0
30,male,yes,salaried,undergraduate,782,244504,0,urban,1
61,male,no,salaried,postgraduate,616,466445,4,rural,1
49,female,yes,salaried,graduate,670,283671,4,rural,1
23,male,no,salaried,graduate,493,594803,4,semi-urban,0
37,male,yes,salaried,graduate,569,252782,3,semi-urban,0
26,male,no,self-employed,postgraduate,490,507680,1,urban,0
47,male,yes,self-employed,graduate,338,234871,4,semi-urban,0
55,male,yes,salaried,undergraduate,788,856255,1,semi-urban,0
24,female,no,self-employed,undergraduate,760,601876,4,rural,0
51,male,yes,salaried,graduate,627,918392,2,urban,0
35,male,yes,salaried,graduate,417,141416,0,semi-urban,0
34,male,no,salaried,undergraduate,389,528655,0,semi-urban,0
41,male,yes,self-employed,postgraduate,812,237318,0,rural,0
22,male,yes,salaried,undergraduate,497,673271,4,semi-urban,0
35,male,no,self-employed,undergraduate,537,378710,2,urban,0
54,male,yes,salaried,undergraduate,399,286971,2,rural,0
41,male,yes,unemployed,graduate,676,58496,1,urban,1
61,male,no,self-employed,undergraduate,650,787640,1,rural,0
45,female,no,salaried,undergraduate,571,330129,0,semi-urban,0
50,male,yes,salaried,postgraduate,694,889498,2,urban,1
49,female,yes,self-employed,undergraduate,356,413709,1,urban,0
39,female,yes,salaried,undergraduate,682,771601,4,urban,0
39,female,no,unemployed,undergraduate,383,730284,1,urban,0
28,male,yes,self-employed,graduate,391,53680,4,rural,0
51,female,no,salaried,graduate,752,289829,0,urban,1
23,male,no,salaried,graduate,612,68282,1,rural,0
23,female,no,salaried,undergraduate,865,464779,3,urban,1
44,female,yes,unemployed,undergraduate,450,135962,3,rural,0
38,male,yes,salaried,graduate,568,143052,1,urban,0
47,female,yes,salaried,graduate,876,636604,3,urban,0
50,female,yes,salaried,undergraduate,838,367736,1,semi-urban,0
53,female,yes,salaried,undergraduate,747,347871,1,rural,1
31,male,yes,self-employed,postgraduate,894,165525,0,urban,1
51,female,no,salaried,undergraduate,417,681167,0,urban,0
24,female,yes,self-employed,undergraduate,367,774602,1,urban,0
49,female,yes,self-employed,graduate,372,163834,3,rural,0
58,male,yes,self-employed,postgraduate,753,746322,0,urban,1
39,female,no,salaried,postgraduate,897,638758,3,urban,0
59,male,yes,salaried,undergraduate,335,169482,4,urban,0
38,female,yes,unemployed,graduate,662,879747,1,semi-urban,0
31,female,yes,salaried,graduate,884,837591,2,semi-urban,0
34,female,yes,self-employed,graduate,377,327665,3,urban,0
38,male,yes,salaried,undergraduate,877,225867,4,semi-urban,1
46,female,yes,salaried,undergraduate,706,233531,4,semi-urban,1
23,male,yes,salaried,undergraduate,376,526413,1,urban,1
36,male,yes,unemployed,undergraduate,650,615706,1,urban,0
32,male,no,self-employed,undergraduate,774,916530,1,semi-urban,0
58,male,yes,unemployed,postgraduate,735,597070,2,semi-urban,0
59,male,yes,salaried,graduate,728,829095,3,urban,0
43,female,no,unemployed,undergraduate,757,711855,1,urban,1
44,male,yes,unemployed,graduate,840,212742,2,semi-urban,0
38,male,no,unemployed,graduate,477,859016,0,urban,0
22,female,yes,self-employed,graduate,696,281690,4,semi-urban,0
63,female,no,unemployed,undergraduate,849,303174,4,rural,0
50,female,no,self-employed,graduate,328,855205,0,semi-urban,0
37,male,no,salaried,undergraduate,811,717521,4,urban,0
40,male,no,salaried,graduate,300,322871,1,rural,0
57,male,yes,salaried,undergraduate,836,316057,1,rural,1
63,male,yes,unemployed,undergraduate,785,469437,2,urban,1
58,female,yes,salaried,graduate,860,58046,1,rural,1
37,male,no,salaried,postgraduate,371,409122,3,semi-urban,1
56,male,no,salaried,postgraduate,801,509162,3,rural,1
23,male,no,self-employed,undergraduate,812,900420,1,semi-urban,1
56,male,no,unemployed,postgraduate,439,545496,1,urban,0
38,female,no,unemployed,undergraduate,689,862873,4,semi-urban,0
37,female,yes,self-employed,undergraduate,776,90651,3,urban,1
27,female,yes,salaried,graduate,799,462217,2,urban,1
55,male,no,self-employed,undergraduate,423,599026,1,urban,0
53,female,no,salaried,postgraduate,625,981621,1,urban,1
30,male,no,salaried,graduate,531,576229,1,urban,0
55,male,yes,salaried,postgraduate,805,224648,1,semi-urban,1
24,male,no,salaried,postgraduate,587,61593,0,rural,1
59,female,yes,unemployed,undergraduate,877,721025,2,urban,1
32,male,yes,self-employed,graduate,870,428323,4,urban,1
50,female,yes,self-employed,undergraduate,700,970377,3,semi-urban,0
57,male,yes,salaried,graduate,366,310145,3,semi-urban,1
50,male,no,salaried,postgraduate,346,96604,2,rural,1
24,male,yes,salaried,postgraduate,421,997199,3,semi-urban,1
47,male,yes,salaried,graduate,557,236246,4,rural,0
57,male,yes,salaried,undergraduate,673,360885,2,rural,0
30,female,no,salaried,undergraduate,867,588046,3,semi-urban,0
52,female,no,self-employed,graduate,567,230909,1,semi-urban,0
42,male,yes,salaried,undergraduate,605,561034,1,semi-urban,0
49,male,yes,self-employed,postgraduate,533,463732,0,semi-urban,0
25,female,yes,salaried,graduate,314,501933,4,semi-urban,0
40,male,yes,self-employed,graduate,744,733965,1,semi-urban,0
28,female,yes,unemployed,undergraduate,670,218731,1,urban,1
50,male,no,unemployed,graduate,674,352727,1,semi-urban,0
57,female,no,unemployed,graduate,523,496025,0,semi-urban,0
63,male,yes,salaried,undergraduate,697,448316,4,urban,0
34,male,no,self-employed,undergraduate,507,684673,4,rural,0
39,female,no,salaried,graduate,544,755004,2,semi-urban,0
53,female,yes,salaried,undergraduate,889,826085,0,rural,0
59,male,yes,unemployed,undergraduate,575,143708,2,urban,1
61,female,yes,salaried,graduate,609,373409,2,urban,0
50,male,no,salaried,undergraduate,691,558341,2,urban,1
35,female,yes,self-employed,postgraduate,728,328442,0,semi-urban,0
59,female,no,salaried,undergraduate,327,268437,4,semi-urban,1
43,male,yes,unemployed,graduate,830,976889,2,rural,0
58,male,yes,salaried,graduate,380,879978,2,urban,0
21,female,yes,salaried,postgraduate,443,307609,4,rural,1
61,male,no,unemployed,graduate,531,388432,4,semi-urban,0
61,female,no,self-employed,undergraduate,886,833225,1,urban,0
58,male,no,self-employed,undergraduate,717,856180,2,semi-urban,0
62,female,yes,unemployed,undergraduate,474,541386,1,semi-urban,0
40,male,yes,salaried,undergraduate,592,387878,1,rural,1
33,male,no,salaried,graduate,824,107653,0,urban,1
23,male,yes,salaried,undergraduate,343,834698,0,semi-urban,0
34,male,no,self-employed,graduate,503,730654,3,urban,0
44,male,yes,salaried,postgraduate,842,500323,3,semi-urban,1
22,male,yes,salaried,graduate,439,142394,4,urban,0
25,male,yes,self-employed,postgraduate,788,753434,4,urban,0
21,female,yes,salaried,graduate,597,801114,4,urban,0
44,male,yes,self-employed,graduate,374,904869,2,semi-urban,0
40,female,yes,salaried,postgraduate,686,332483,2,urban,1
31,male,yes,unemployed,graduate,763,193428,4,urban,0
62,male,yes,salaried,graduate,713,103414,0,rural,1
22,male,yes,salaried,undergraduate,863,881420,4,urban,0
23,male,yes,salaried,graduate,592,256326,0,rural,0
44,male,yes,salaried,graduate,543,427597,1,semi-urban,0
33,female,yes,salaried,postgraduate,589,371276,1,urban,1
60,female,yes,salaried,undergraduate,640,207237,4,urban,0
57,male,yes,unemployed,postgraduate,385,175613,4,urban,0
56,male,no,salaried,undergraduate,492,253931,3,rural,0
56,female,yes,unemployed,undergraduate,644,56115,0,semi-urban,0
47,female,no,salaried,undergraduate,833,260723,3,urban,1
40,male,yes,unemployed,undergraduate,338,831716,4,rural,0
25,male,yes,salaried,undergraduate,896,985776,0,rural,0
60,female,yes,salaried,graduate,833,886174,0,semi-urban,0
44,male,yes,unemployed,graduate,878,120086,0,urban,1
31,female,yes,salaried,graduate,540,221298,1,rural,0
36,female,yes,self-employed,undergraduate,306,727928,3,rural,0
49,female,yes,unemployed,graduate,896,382101,0,urban,1
34,female,yes,salaried,graduate,878,515876,2,urban,1
54,male,yes,salaried,graduate,762,943829,0,semi-urban,0
36,male,yes,self-employed,graduate,552,197434,1,urban,1
38,female,no,salaried,graduate,432,359647,1,rural,0
45,female,yes,salaried,undergraduate,538,670509,2,rural,0
44,male,yes,salaried,undergraduate,352,771258,4,urban,0
63,female,yes,unemployed,undergraduate,529,491165,3,semi-urban,0
29,male,no,salaried,graduate,632,513802,0,semi-urban,0
61,female,yes,salaried,undergraduate,357,706640,4,urban,0
34,male,no,self-employed,postgraduate,491,282201,1,semi-urban,0
46,female,yes,salaried,graduate,786,374897,0,urban,0
52,female,no,salaried,graduate,693,702232,0,urban,0
31,male,no,salaried,graduate,556,829014,1,semi-urban,0
59,male,no,self-employed,undergraduate,332,591618,3,semi-urban,0
37,male,yes,salaried,undergraduate,469,380815,3,semi-urban,0
44,male,no,salaried,postgraduate,415,245729,4,rural,1
41,female,yes,salaried,undergraduate,678,771579,2,rural,0
58,male,yes,salaried,postgraduate,772,154116,4,semi-urban,1
38,female,no,self-employed,undergraduate,341,506029,3,urban,0
36,male,yes,salaried,undergraduate,899,162322,1,semi-urban,1
42,male,no,self-employed,undergraduate,676,598292,3,semi-urban,0
40,male,yes,self-employed,undergraduate,690,259656,0,urban,1
41,female,no,salaried,graduate,831,546928,4,semi-urban,1
24,male,no,salaried,graduate,339,856111,0,rural,0
58,male,yes,salaried,graduate,714,582296,3,semi-urban,0
31,male,no,salaried,postgraduate,483,89370,3,urban,1
32,male,yes,unemployed,graduate,793,990926,3,rural,0
27,male,yes,unemployed,graduate,697,230325,3,urban,0
47,female,yes,salaried,postgraduate,481,313024,0,rural,1
38,male,yes,unemployed,undergraduate,358,851684,2,semi-urban,0
62,male,yes,salaried,graduate,890,75925,4,rural,1
33,female,yes,salaried,postgraduate,585,276969,3,urban,1
29,female,yes,salaried,postgraduate,872,532437,1,rural,1
21,male,no,salaried,undergraduate,845,859235,3,rural,0
51,male,yes,self-employed,graduate,369,976264,3,semi-urban,0
39,female,yes,salaried,undergraduate,479,499226,2,urban,0
48,female,yes,self-employed,graduate,873,64930,2,urban,1
63,female,no,self-employed,undergraduate,359,451106,3,semi-urban,0
27,female,yes,salaried,undergraduate,434,662244,0,semi-urban,0
58,male,yes,salaried,undergraduate,865,142766,0,rural,1
60,male,no,unemployed,undergraduate,583,63197,3,urban,0
53,male,yes,unemployed,undergraduate,485,266389,3,semi-urban,0
60,female,yes,unemployed,undergraduate,627,142907,2,rural,0
45,male,yes,salaried,undergraduate,714,372330,1,urban,1
37,female,no,salaried,undergraduate,663,916828,1,rural,0
26,female,yes,salaried,undergraduate,363,871696,3,rural,1
37,male,no,salaried,postgraduate,370,982858,2,semi-urban,1
55,female,yes,salaried,postgraduate,879,964571,2,rural,0
38,female,no,self-employed,undergraduate,773,787534,2,semi-urban,0
43,male,yes,salaried,undergraduate,411,579985,2,semi-urban,0
37,female,no,salaried,undergraduate,792,996416,3,rural,1
24,male,no,self-employed,graduate,618,465477,1,urban,1
33,female,yes,salaried,graduate,455,426584,0,rural,1
46,female,yes,salaried,graduate,537,423119,2,urban,0
26,male,yes,salaried,undergraduate,663,870613,3,rural,0
23,male,yes,salaried,graduate,358,424742,2,semi-urban,0
21,female,yes,salaried,undergraduate,616,919271,0,semi-urban,0
30,male,yes,self-employed,graduate,635,213633,3,urban,0
34,female,no,salaried,graduate,309,95766,0,semi-urban,0
24,male,yes,unemployed,postgraduate,403,242308,4,semi-urban,0
36,female,yes,salaried,undergraduate,511,920039,3,urban,0
39,female,no,salaried,undergraduate,344,701962,4,rural,0
41,female,yes,salaried,postgraduate,625,801090,3,urban,1
36,male,yes,self-employed,graduate,625,947638,4,semi-urban,0
34,female,yes,unemployed,undergraduate,886,496200,2,rural,0
32,male,yes,salaried,postgraduate,628,733352,1,semi-urban,1
45,female,yes,self-employed,graduate,830,911624,3,semi-urban,0
58,male,yes,salaried,undergraduate,899,217285,2,urban,1
38,male,no,salaried,graduate,389,856671,3,urban,0
41,male,yes,unemployed,undergraduate,818,464618,2,urban,1
60,male,yes,unemployed,graduate,534,909809,3,urban,0
59,male,yes,salaried,postgraduate,472,624371,3,urban,0
58,male,yes,self-employed,undergraduate,720,921181,1,urban,1
45,male,yes,self-employed,graduate,324,760544,3,urban,0
40,female,yes,self-employed,graduate,404,879715,0,semi-urban,0
48,male,yes,salaried,graduate,387,957092,2,urban,0
42,female,yes,salaried,undergraduate,343,183659,0,urban,0
21,male,yes,salaried,postgraduate,587,547732,2,semi-urban,1
30,female,yes,salaried,undergraduate,746,918221,2,rural,0
22,female,yes,self-employed,graduate,737,521471,4,urban,0
57,female,yes,salaried,undergraduate,798,585222,3,semi-urban,0
54,female,no,salaried,graduate,378,109300,2,urban,0
53,male,no,salaried,postgraduate,485,743736,2,urban,1
43,male,yes,salaried,graduate,697,367087,0,rural,0
47,male,yes,unemployed,postgraduate,463,277591,4,rural,0
43,male,no,salaried,undergraduate,634,210507,2,rural,0
49,male,yes,salaried,undergraduate,504,537955,2,semi-urban,0
27,female,yes,salaried,graduate,461,419918,2,semi-urban,0
51,male,yes,salaried,graduate,328,202616,1,urban,0
24,male,yes,unemployed,graduate,536,690737,2,urban,0
49,male,yes,salaried,postgraduate,632,508732,0,urban,1
56,male,yes,self-employed,graduate,533,472024,4,semi-urban,0
52,male,yes,self-employed,postgraduate,888,904124,2,semi-urban,0
40,female,yes,salaried,undergraduate,775,737285,4,rural,0
62,female,yes,unemployed,undergraduate,344,302827,0,semi-urban,0
35,male,yes,unemployed,graduate,675,604176,0,urban,1
28,female,yes,self-employed,graduate,473,311690,1,rural,0
61,male,yes,self-employed,postgraduate,742,994753,2,urban,1
34,female,no,unemployed,postgraduate,780,768929,0,semi-urban,0
33,male,yes,salaried,graduate,661,447436,1,semi-urban,0
56,male,no,unemployed,graduate,751,848101,0,urban,1
23,male,yes,salaried,undergraduate,424,961017,3,urban,0
64,female,yes,salaried,graduate,816,240496,4,urban,1
39,female,yes,self-employed,undergraduate,595,693199,1,urban,1
56,male,yes,self-employed,graduate,696,646174,1,semi-urban,0
23,female,no,salaried,postgraduate,335,387444,4,rural,1
53,male,yes,salaried,graduate,320,696495,0,rural,1
27,male,yes,salaried,graduate,469,477083,2,rural,0
46,male,yes,self-employed,undergraduate,762,235425,2,urban,1
52,male,yes,salaried,undergraduate,604,459220,3,semi-urban,0
64,male,yes,self-employed,undergraduate,591,895185,3,urban,0
39,male,yes,salaried,postgraduate,892,153152,0,rural,1
33,male,no,salaried,undergraduate,797,138251,3,urban,1
38,female,no,salaried,undergraduate,581,285030,2,rural,0
54,male,yes,salaried,postgraduate,698,321081,3,rural,1
23,female,yes,unemployed,postgraduate,894,966942,2,semi-urban,0
64,female,yes,unemployed,postgraduate,465,301150,2,semi-urban,0
51,female,yes,unemployed,undergraduate,469,576002,0,urban,0
39,female,yes,salaried,graduate,715,309637,2,urban,0
59,female,yes,unemployed,postgraduate,677,555478,3,rural,0
23,male,yes,self-employed,graduate,443,546515,1,rural,0
57,male,yes,self-employed,undergraduate,418,787493,2,urban,0
58,male,yes,unemployed,undergraduate,608,471234,0,rural,0
28,female,yes,salaried,graduate,516,186040,1,rural,0
58,male,yes,self-employed,undergraduate,624,486648,3,semi-urban,0
57,male,yes,salaried,graduate,751,699418,4,urban,0
22,female,yes,self-employed,undergraduate,680,919551,4,semi-urban,0
42,female,yes,self-employed,undergraduate,516,969737,3,urban,0
34,female,yes,salaried,postgraduate,522,649611,1,urban,1
51,male,no,salaried,undergraduate,665,95742,1,semi-urban,0
49,male,yes,unemployed,graduate,354,825737,2,rural,0
37,female,yes,unemployed,undergraduate,823,601901,2,urban,0
38,male,no,salaried,graduate,402,823546,3,rural,0
53,male,yes,salaried,postgraduate,774,779717,3,rural,1
41,female,yes,salaried,undergraduate,424,582377,3,rural,0
56,male,no,salaried,graduate,737,61789,0,semi-urban,0
39,female,yes,unemployed,graduate,340,502540,1,rural,0
44,male,yes,unemployed,undergraduate,339,684945,0,urban,0
63,male,no,salaried,graduate,734,92843,4,rural,1
59,female,yes,self-employed,undergraduate,629,267612,1,urban,0
56,female,yes,self-employed,undergraduate,885,706053,1,urban,1
28,male,yes,salaried,undergraduate,417,752243,2,semi-urban,0
34,female,no,salaried,undergraduate,329,975452,0,urban,0
39,female,yes,self-employed,undergraduate,740,873827,4,urban,0
64,male,no,salaried,undergraduate,749,500568,0,semi-urban,0
44,male,yes,self-employed,graduate,742,349074,0,rural,1
49,male,no,unemployed,undergraduate,683,295417,4,rural,0
45,male,yes,salaried,undergraduate,768,456953,4,semi-urban,0
42,female,yes,salaried,undergraduate,536,354416,4,semi-urban,0
22,male,yes,self-employed,undergraduate,899,712116,4,urban,0
64,male,yes,salaried,undergraduate,569,505316,1,urban,0
51,male,yes,self-employed,undergraduate,460,124231,4,urban,0
49,male,yes,salaried,undergraduate,337,464608,0,urban,0
48,male,yes,salaried,undergraduate,691,907962,2,semi-urban,0
62,male,yes,self-employed,undergraduate,847,153509,3,rural,1
43,male,yes,salaried,undergraduate,733,656303,3,urban,0
34,male,yes,unemployed,graduate,510,983090,2,rural,1
46,female,yes,salaried,graduate,894,551698,4,semi-urban,0
30,male,no,unemployed,graduate,751,638153,3,urban,0
26,male,yes,self-employed,postgraduate,414,445512,2,urban,0
63,male,yes,unemployed,postgraduate,625,351151,0,semi-urban,0
28,female,yes,salaried,graduate,331,329899,3,rural,0
35,female,yes,salaried,graduate,512,333818,4,semi-urban,0
47,female,yes,self-employed,undergraduate,640,130231,1,urban,0
22,male,yes,salaried,undergraduate,583,559538,2,urban,0
28,male,yes,salaried,undergraduate,496,660605,0,semi-urban,0
61,male,yes,salaried,graduate,705,651419,4,urban,1
47,male,yes,salaried,graduate,513,61974,4,urban,0
39,male,no,salaried,graduate,595,815730,1,urban,0
37,female,yes,salaried,undergraduate,548,797908,3,urban,0
64,male,no,salaried,graduate,648,972875,4,semi-urban,0
44,female,yes,unemployed,graduate,793,230766,0,semi-urban,0
31,male,yes,salaried,undergraduate,569,619097,0,urban,0
25,male,yes,salaried,postgraduate,379,73653,3,semi-urban,1
60,male,yes,salaried,graduate,695,139891,0,rural,0
55,female,yes,salaried,undergraduate,744,312586,0,rural,0
21,male,yes,self-employed,undergraduate,305,528147,4,rural,0
22,female,no,salaried,undergraduate,762,330604,0,semi-urban,1
40,female,yes,salaried,graduate,875,398353,4,semi-urban,1
25,female,no,unemployed,postgraduate,642,630692,2,semi-urban,0
62,male,yes,salaried,postgraduate,772,543150,3,semi-urban,1
27,male,yes,salaried,undergraduate,776,570729,3,urban,0
58,female,no,salaried,graduate,623,414819,1,semi-urban,0
41,male,yes,self-employed,graduate,605,706519,3,urban,0
37,male,yes,unemployed,graduate,439,693000,0,semi-urban,0
33,male,no,salaried,undergraduate,636,131716,2,urban,0
58,male,yes,salaried,undergraduate,505,262689,1,semi-urban,0
62,female,no,salaried,graduate,847,574187,3,rural,1
58,male,yes,salaried,graduate,385,257161,1,urban,0
24,female,yes,salaried,undergraduate,744,891246,2,semi-urban,0
53,female,yes,salaried,undergraduate,739,51038,0,rural,1
53,male,no,salaried,graduate,850,773532,1,urban,1
61,male,yes,salaried,graduate,606,709114,4,rural,0
43,female,yes,unemployed,undergraduate,770,532940,3,rural,0
61,female,yes,salaried,undergraduate,395,863958,3,urban,0
49,male,yes,self-employed,postgraduate,613,309826,2,rural,0
43,female,no,salaried,graduate,405,920434,2,rural,0
59,female,yes,salaried,postgraduate,679,443225,3,semi-urban,1
22,female,yes,salaried,graduate,601,475692,1,urban,0
50,male,yes,salaried,graduate,658,481690,4,semi-urban,0
48,male,yes,salaried,graduate,788,461241,0,rural,1
28,male,no,salaried,undergraduate,584,971123,0,rural,0
35,female,no,salaried,undergraduate,337,156748,2,urban,0
26,female,yes,unemployed,postgraduate,562,398461,2,semi-urban,0
53,male,yes,salaried,postgraduate,374,66286,2,rural,1
52,female,yes,salaried,graduate,503,831502,0,urban,0
48,female,yes,self-employed,graduate,766,734310,4,rural,0
54,male,no,salaried,graduate,898,402506,3,urban,1
51,female,no,self-employed,postgraduate,518,565052,0,urban,0
35,male,no,self-employed,graduate,785,207759,3,semi-urban,0
