age,income,student,credit_rating,owns_house,num_purchases,will_buy
44,medium,no,excellent,yes,5,0
30,low,no,excellent,yes,4,0
58,medium,no,fair,yes,4,0
20,low,no,fair,yes,3,0
56,high,yes,fair,yes,6,1
23,medium,no,fair,yes,2,0
25,medium,no,excellent,yes,4,0
44,medium,no,excellent,no,2,0
26,high,no,excellent,no,5,1
54,low,no,fair,yes,3,0
50,medium,no,fair,no,3,0
59,medium,yes,fair,no,3,0
41,medium,yes,fair,yes,1,0
32,low,no,excellent,yes,3,0
49,high,no,fair,yes,6,0
49,high,no,fair,no,3,0
41,medium,yes,fair,no,1,0
58,medium,yes,excellent,yes,3,0
29,high,no,excellent,yes,3,0
56,medium,yes,fair,no,2,0
19,low,no,fair,yes,3,0
20,medium,no,fair,yes,0,0
54,medium,no,fair,no,8,1
34,medium,yes,excellent,no,1,0
19,medium,no,excellent,no,1,1
19,high,yes,fair,no,3,1
45,high,no,fair,no,2,0
40,medium,no,excellent,yes,2,1
54,low,no,fair,no,3,0
49,high,no,excellent,yes,4,1
50,high,no,fair,no,3,0
18,low,no,fair,yes,7,0
36,high,no,fair,no,3,0
19,high,no,fair,yes,3,0
43,medium,no,excellent,yes,3,0
49,medium,no,fair,yes,5,0
23,medium,no,fair,yes,5,0
49,low,no,fair,no,4,0
21,medium,no,fair,no,4,1
28,high,no,fair,yes,2,0
34,low,yes,fair,yes,6,1
55,medium,no,excellent,yes,3,0
41,medium,no,fair,yes,2,0
22,medium,yes,fair,yes,6,1
51,high,no,excellent,no,4,1
23,medium,no,fair,yes,3,0
39,medium,no,excellent,yes,3,0
28,medium,yes,fair,yes,6,1
33,medium,no,excellent,yes,4,0
50,low,no,excellent,yes,2,0
26,medium,no,excellent,no,1,1
23,low,no,excellent,yes,3,0
33,low,no,fair,yes,4,0
46,medium,no,excellent,yes,5,0
20,medium,no,fair,yes,6,0
37,high,no,fair,yes,2,0
53,medium,yes,fair,no,4,0
36,medium,no,fair,no,4,0
43,medium,no,fair,no,0,0
20,low,no,fair,yes,4,0
36,medium,no,fair,yes,5,0
37,low,no,excellent,yes,2,0
49,high,no,excellent,no,5,1
24,low,yes,fair,no,4,0
58,medium,no,fair,yes,5,0
50,low,yes,fair,yes,2,0
57,high,no,fair,yes,2,0
56,medium,no,fair,no,0,0
35,medium,no,fair,no,4,0
57,low,yes,fair,yes,1,0
18,medium,no,excellent,yes,2,0
28,low,no,fair,no,3,0
45,high,no,fair,yes,2,0
42,low,yes,fair,yes,2,0
40,low,no,fair,yes,1,0
48,low,no,fair,no,3,0
47,medium,no,excellent,yes,4,0
59,medium,no,fair,yes,6,0
52,low,no,fair,no,3,0
24,medium,no,excellent,yes,2,0
33,medium,no,excellent,yes,3,0
43,medium,no,excellent,yes,1,0
19,medium,no,fair,yes,2,0
18,medium,no,excellent,no,1,0
29,medium,no,fair,yes,3,0
22,low,no,fair,yes,4,1
54,low,no,fair,no,2,0
49,high,yes,fair,no,2,0
26,high,no,fair,no,3,1
58,medium,no,fair,yes,2,0
52,low,no,excellent,yes,2,0
36,medium,no,excellent,no,3,0
33,medium,no,excellent,yes,1,0
20,low,no,fair,no,6,0
37,low,no,excellent,no,2,0
41,medium,yes,fair,no,2,0
50,medium,no,excellent,yes,2,0
41,low,yes,fair,yes,4,0
28,low,no,excellent,no,1,1
25,low,no,fair,yes,2,0
53,medium,no,excellent,yes,4,0
55,low,no,excellent,no,3,0
57,low,no,fair,no,3,0
37,medium,yes,fair,yes,3,0
52,low,no,excellent,yes,6,0
42,medium,no,fair,yes,3,0
52,low,no,excellent,no,3,0
42,low,no,fair,no,1,0
46,low,no,fair,yes,2,0
35,medium,yes,fair,yes,4,1
35,high,no,fair,no,3,1
19,high,no,excellent,yes,3,1
52,medium,yes,fair,yes,2,0
33,medium,no,fair,no,3,0
58,low,yes,fair,yes,1,0
53,low,yes,fair,no,2,0
50,high,yes,excellent,yes,2,0
21,low,no,excellent,yes,3,0
50,low,no,fair,no,5,1
31,low,no,excellent,yes,3,0
38,low,no,excellent,no,6,0
37,low,no,fair,no,2,0
25,medium,no,excellent,yes,5,0
24,medium,no,fair,yes,6,0
20,high,yes,fair,yes,6,1
34,high,no,excellent,yes,3,1
50,medium,no,fair,yes,4,1
29,low,no,excellent,yes,3,0
39,medium,no,excellent,yes,2,0
39,medium,yes,fair,no,5,0
47,low,yes,excellent,no,4,1
55,medium,no,fair,no,2,0
55,medium,no,fair,yes,0,0
25,medium,yes,excellent,yes,0,0
44,medium,no,excellent,no,5,1
44,low,yes,fair,yes,6,1
51,high,no,fair,yes,1,0
38,medium,no,excellent,no,2,0
47,low,no,excellent,no,5,0
50,high,yes,excellent,yes,4,1
45,medium,yes,fair,yes,3,0
50,high,no,fair,no,2,0
22,medium,yes,fair,no,0,1
36,medium,no,excellent,no,4,0
21,low,yes,fair,no,5,1
52,low,no,fair,no,2,0
34,medium,no,excellent,yes,3,0
45,medium,no,fair,yes,7,1
47,low,no,excellent,no,5,0
46,low,no,excellent,no,3,0
23,high,no,excellent,no,1,1
52,high,no,fair,yes,3,0
58,medium,no,fair,yes,4,0
54,low,yes,excellent,no,1,0
41,low,no,excellent,no,3,0
46,low,no,excellent,no,3,0
48,high,yes,fair,no,4,0
52,low,no,excellent,no,1,1
50,medium,no,excellent,no,2,0
38,low,no,excellent,no,3,0
49,medium,no,excellent,no,2,0
40,medium,no,excellent,no,1,0
50,high,yes,excellent,yes,1,0
20,low,no,fair,yes,3,0
35,low,no,fair,no,0,0
42,low,yes,fair,yes,3,0
59,high,no,fair,yes,1,0
48,high,no,fair,yes,1,1
20,medium,yes,fair,yes,7,1
57,medium,no,fair,yes,3,1
41,medium,no,fair,yes,2,0
49,low,yes,excellent,no,4,0
39,high,no,excellent,yes,4,1
40,medium,no,fair,yes,0,0
19,medium,no,excellent,yes,3,0
44,medium,no,fair,no,3,0
59,low,no,fair,yes,7,0
19,low,yes,fair,no,3,1
43,medium,no,fair,no,2,0
34,low,no,excellent,no,4,0
57,medium,no,excellent,yes,2,0
50,low,yes,fair,no,2,0
26,medium,no,fair,yes,3,0
60,low,yes,fair,no,0,0
56,medium,no,fair,no,0,0
46,medium,no,fair,yes,3,0
59,low,no,fair,yes,4,0
43,medium,no,excellent,yes,6,0
52,medium,no,excellent,no,4,0
42,medium,no,fair,yes,2,1
41,high,no,excellent,no,2,1
30,medium,no,fair,yes,8,1
24,low,no,fair,no,4,0
53,low,no,fair,no,3,0
37,low,no,excellent,no,1,0
18,medium,no,excellent,no,2,1
25,low,no,excellent,yes,1,0
33,medium,no,fair,yes,3,0
31,medium,no,excellent,no,4,0
29,medium,yes,fair,yes,0,0
40,medium,no,excellent,yes,2,0
32,low,no,fair,yes,5,0
45,low,no,fair,yes,5,0
51,medium,no,fair,yes,3,0
19,medium,no,excellent,no,1,0
49,medium,no,fair,yes,3,0
40,medium,no,excellent,no,2,0
39,low,yes,fair,yes,5,0
42,high,no,excellent,no,1,1
39,medium,yes,excellent,yes,3,0
39,medium,no,excellent,no,3,0
59,low,no,fair,no,4,0
23,medium,no,fair,yes,2,0
32,medium,yes,fair,no,2,0
60,low,yes,excellent,no,1,0
54,high,no,fair,no,0,0
50,low,yes,fair,no,2,0
25,high,yes,fair,yes,2,0
22,medium,yes,fair,no,1,1
56,low,no,excellent,yes,5,0
21,medium,no,fair,yes,7,1
23,high,no,excellent,no,2,1
49,medium,no,fair,yes,2,0
47,high,no,fair,no,2,0
52,medium,no,fair,no,1,0
57,medium,no,fair,no,2,1
33,high,yes,fair,no,2,0
30,low,yes,excellent,yes,5,0
59,medium,yes,fair,yes,0,1
47,low,no,excellent,yes,3,0
36,high,no,fair,yes,2,0
34,high,no,fair,yes,5,0
36,low,yes,excellent,yes,3,1
45,medium,yes,fair,no,5,0
43,high,no,fair,no,6,0
54,low,no,fair,yes,3,0
43,medium,no,fair,no,5,0
40,high,no,excellent,yes,2,1
26,low,no,fair,yes,0,0
29,medium,no,excellent,no,6,0
18,low,yes,excellent,no,5,0
18,high,no,fair,no,3,1
51,high,no,excellent,yes,6,1
49,high,no,fair,no,3,0
42,medium,no,excellent,no,1,1
57,high,yes,fair,no,0,0
18,high,no,excellent,no,2,1
33,medium,no,fair,no,2,0
56,high,no,fair,no,4,1
22,low,no,excellent,no,5,0
39,medium,no,excellent,no,1,0
46,low,no,fair,no,4,0
20,low,no,fair,yes,3,0
29,low,no,excellent,no,2,1
43,medium,no,excellent,yes,3,0
33,medium,yes,excellent,yes,2,0
54,medium,no,excellent,no,3,0
39,low,no,excellent,no,5,0
46,medium,no,excellent,no,2,0
31,medium,no,fair,yes,5,0
45,medium,no,fair,yes,1,0
22,medium,no,excellent,yes,0,0
47,medium,no,excellent,no,4,0
22,high,no,fair,no,6,1
29,medium,no,fair,no,4,1
33,low,yes,excellent,no,3,0
43,low,yes,fair,no,5,0
43,high,no,fair,no,2,0
38,low,no,fair,yes,2,0
56,high,no,fair,yes,2,0
53,medium,no,fair,no,4,0
50,high,no,fair,no,3,1
47,medium,no,fair,yes,5,0
54,high,no,excellent,no,2,1
40,medium,no,fair,yes,2,0
27,medium,no,excellent,yes,3,0
22,medium,no,excellent,no,3,1
53,medium,no,fair,no,4,0
51,medium,no,excellent,no,1,0
48,high,no,fair,yes,0,0
27,high,no,excellent,yes,1,1
36,medium,yes,fair,no,4,0
49,medium,no,excellent,no,3,0
18,medium,no,excellent,yes,4,0
22,medium,no,fair,no,1,1
21,low,yes,fair,yes,5,0
33,low,yes,excellent,no,3,0
41,medium,yes,excellent,no,4,1
33,low,no,fair,yes,4,0
19,low,no,excellent,yes,4,0
45,low,no,fair,no,1,0
49,low,no,excellent,no,4,0
44,low,no,fair,no,3,0
37,high,no,excellent,no,2,1
41,medium,no,fair,no,5,1
29,medium,no,fair,no,4,1
52,medium,no,fair,yes,3,0
50,low,no,fair,yes,4,0
50,high,no,fair,yes,4,0
60,medium,no,fair,yes,3,0
54,low,no,excellent,no,1,0
29,medium,no,fair,yes,2,0
20,high,no,fair,no,0,1
18,high,yes,fair,no,4,1
50,medium,no,fair,no,1,0
57,medium,yes,fair,yes,5,0
27,low,no,fair,yes,1,0
60,high,no,fair,yes,4,0
46,low,no,fair,yes,1,0
30,high,yes,fair,yes,6,1
29,medium,no,fair,no,4,1
48,medium,no,fair,no,1,0
19,medium,no,fair,no,3,1
52,low,no,excellent,no,3,0
40,low,no,fair,yes,4,0
34,low,no,excellent,no,2,0
43,low,yes,fair,no,4,0
25,medium,no,excellent,yes,3,0
46,medium,no,excellent,no,3,0
43,low,no,fair,yes,2,0
27,high,yes,excellent,no,4,1
43,high,no,fair,no,3,0
51,high,yes,fair,yes,1,0
58,high,no,excellent,no,1,1
24,low,no,excellent,no,2,1
21,medium,no,fair,no,2,1
28,medium,no,fair,yes,1,0
46,medium,no,fair,no,6,0
53,low,yes,fair,yes,2,0
42,high,no,excellent,yes,5,1
38,low,no,fair,yes,7,1
53,low,no,fair,no,5,0
27,medium,no,fair,no,4,1
54,medium,no,fair,no,3,0
26,medium,no,fair,no,4,1
41,low,no,excellent,yes,1,0
52,high,no,excellent,yes,2,1
52,low,no,excellent,yes,4,0
53,low,no,fair,yes,1,0
35,high,no,excellent,yes,4,1
56,high,yes,excellent,yes,6,1
49,high,no,excellent,yes,3,1
41,high,no,fair,yes,1,0
40,medium,no,fair,yes,2,0
49,medium,yes,fair,yes,4,0
54,low,no,fair,no,3,0
29,medium,no,fair,no,1,1
30,medium,no,fair,no,7,1
40,low,yes,fair,yes,2,1
42,medium,no,excellent,yes,5,1
52,medium,no,fair,no,6,0
58,low,no,fair,yes,1,0
47,low,no,excellent,yes,0,0
34,medium,no,excellent,yes,2,0
37,low,no,excellent,yes,3,0
42,high,no,excellent,yes,5,1
39,medium,no,fair,yes,0,0
30,medium,no,excellent,no,0,0
36,medium,yes,fair,yes,3,0
53,high,yes,fair,yes,4,0
29,medium,no,fair,no,3,1
58,medium,no,fair,yes,4,0
36,medium,no,fair,yes,3,0
29,low,no,excellent,no,5,0
26,high,no,excellent,yes,6,1
24,medium,no,fair,yes,3,1
45,medium,yes,fair,yes,4,0
31,high,no,excellent,yes,1,1
48,high,no,excellent,no,3,1
36,medium,yes,fair,no,3,0
33,high,no,excellent,yes,2,1
22,medium,no,fair,no,4,1
52,medium,no,fair,yes,3,1
29,medium,no,excellent,yes,5,0
42,medium,no,fair,no,3,0
38,low,no,fair,yes,3,0
53,high,no,excellent,yes,2,1
40,high,no,excellent,yes,0,1
33,low,no,fair,yes,4,0
56,high,yes,fair,yes,3,0
59,low,no,fair,no,2,0
56,medium,no,excellent,yes,4,0
31,medium,no,fair,yes,6,0
48,low,no,fair,yes,4,1
22,high,no,excellent,no,4,1
52,high,yes,fair,no,2,0
40,medium,no,fair,no,1,0
46,low,no,fair,no,1,0
60,low,yes,excellent,no,1,0
28,medium,yes,fair,yes,4,0
35,high,no,fair,yes,3,0
29,medium,no,excellent,no,4,1
26,low,no,fair,no,4,0
27,medium,no,fair,no,2,1
34,medium,no,fair,yes,6,1
55,medium,no,fair,yes,3,0
24,low,no,fair,yes,1,0
30,medium,no,fair,no,3,0
57,medium,no,fair,yes,2,1
59,high,yes,fair,yes,2,0
26,medium,no,excellent,no,3,1
44,medium,no,excellent,yes,3,0
19,high,no,excellent,no,3,1
22,low,yes,excellent,yes,3,0
46,high,yes,fair,yes,6,1
54,medium,no,excellent,yes,6,0
55,low,no,fair,no,3,0
36,medium,no,excellent,yes,3,0
25,medium,no,excellent,yes,3,0
18,low,no,excellent,no,2,0
39,medium,yes,excellent,yes,3,0
34,medium,no,fair,no,3,0
24,medium,yes,fair,no,3,1
42,low,no,fair,yes,1,0
21,high,no,fair,no,4,1
53,high,no,fair,yes,1,0
23,high,yes,excellent,no,4,1
48,medium,yes,excellent,yes,2,0
36,low,no,fair,no,2,0
56,medium,no,excellent,yes,5,0
44,low,no,excellent,no,4,1
27,low,no,excellent,yes,1,0
43,medium,no,excellent,yes,1,1
36,medium,no,fair,yes,5,0
56,medium,no,excellent,yes,3,0
20,medium,no,excellent,no,1,1
30,medium,no,fair,yes,1,0
45,low,yes,fair,no,5,1
37,high,no,excellent,no,4,1
45,medium,yes,fair,no,4,0
25,medium,yes,excellent,yes,1,0
58,low,no,excellent,yes,0,0
56,medium,yes,fair,no,4,0
18,medium,no,fair,yes,2,0
20,low,no,excellent,yes,4,0
30,low,no,fair,no,1,1
45,medium,no,fair,no,1,0
42,medium,yes,fair,no,4,0
50,low,no,fair,yes,2,0
55,high,no,excellent,no,1,1
23,low,no,fair,yes,1,0
49,medium,no,excellent,yes,3,0
38,high,yes,fair,no,4,1
33,medium,no,fair,yes,2,0
38,medium,no,excellent,yes,2,0
28,medium,no,excellent,yes,4,0
54,low,no,fair,no,3,0
53,high,no,fair,no,1,0
52,medium,no,fair,no,1,0
36,high,yes,fair,no,3,0
37,low,no,excellent,yes,2,1
35,low,no,fair,yes,3,0
58,low,no,fair,yes,2,0
31,medium,no,fair,yes,6,0
32,medium,no,excellent,yes,7,0
48,high,yes,excellent,no,4,1
18,medium,yes,fair,yes,2,0
20,high,no,excellent,yes,2,1
33,low,no,fair,yes,0,0
40,high,no,fair,yes,5,0
28,medium,no,excellent,no,2,1
29,medium,no,excellent,yes,4,0
27,high,yes,excellent,yes,4,1
49,medium,no,fair,no,4,0
33,medium,no,fair,yes,5,0
25,low,yes,excellent,yes,3,0
55,low,no,fair,yes,3,0
29,high,no,fair,no,5,1
41,medium,yes,fair,no,4,0
45,medium,no,excellent,no,3,0
25,medium,no,fair,yes,4,0
45,low,yes,fair,no,3,0
53,low,no,excellent,yes,3,0
43,medium,no,fair,yes,4,0
25,medium,no,fair,yes,3,0
45,low,no,fair,yes,1,0
45,medium,no,fair,yes,3,0
54,low,no,fair,no,2,0
58,medium,no,fair,no,2,0
53,low,yes,excellent,yes,4,0
44,medium,no,fair,yes,4,0
34,medium,no,excellent,yes,1,0
26,medium,no,fair,yes,7,1
50,low,yes,fair,no,3,0
37,low,no,fair,yes,2,0
30,medium,no,fair,no,6,0
45,medium,no,excellent,yes,0,0
46,medium,yes,fair,yes,6,1
30,low,no,fair,yes,3,1
52,medium,no,excellent,yes,3,0
23,high,no,excellent,yes,5,1
35,medium,no,excellent,no,5,1
22,low,no,fair,yes,2,1
42,medium,no,excellent,no,4,0
19,low,no,fair,yes,3,0
27,low,no,fair,yes,6,0
47,high,no,fair,yes,1,0
22,low,no,fair,no,3,0
50,medium,no,fair,yes,5,0
18,medium,yes,fair,no,3,1
35,medium,yes,excellent,yes,2,0
49,medium,no,fair,no,0,0
28,low,no,fair,yes,1,0
38,medium,no,fair,no,4,1
43,medium,no,excellent,no,6,0
42,low,yes,fair,no,2,1
39,medium,no,fair,yes,4,0
44,low,no,excellent,yes,1,0
30,low,no,excellent,yes,1,0
50,medium,no,fair,no,9,1
51,low,no,excellent,yes,2,0
58,medium,no,excellent,no,2,0
52,medium,no,excellent,yes,3,0
18,high,no,fair,yes,4,1
38,low,no,excellent,yes,2,0
23,low,no,fair,no,1,0
45,low,no,fair,no,2,0
34,medium,no,fair,no,1,0
22,medium,no,fair,yes,0,0
48,low,no,fair,no,3,0
22,high,no,excellent,no,2,1
55,low,yes,fair,yes,6,1
20,medium,no,fair,no,2,1
40,medium,no,fair,no,2,0
54,high,no,fair,no,2,0
54,medium,no,excellent,no,6,0
27,high,no,fair,yes,1,0
27,medium,no,fair,yes,4,0
36,high,no,fair,no,4,0
34,low,yes,fair,yes,2,0
38,high,no,fair,no,3,0
31,medium,yes,excellent,no,0,1
26,high,no,excellent,no,3,0
18,medium,no,fair,no,4,1
30,medium,yes,excellent,yes,2,0
21,medium,no,excellent,yes,4,0
18,medium,no,excellent,yes,0,0
57,low,yes,fair,yes,2,1
49,low,no,fair,yes,4,0
51,low,no,fair,yes,4,0
45,low,no,excellent,no,2,0
48,high,no,excellent,no,3,1
25,low,no,fair,yes,4,0
56,high,no,fair,yes,4,1
43,medium,no,excellent,no,3,0
51,low,no,excellent,yes,3,0
20,medium,yes,excellent,yes,3,0
29,medium,no,excellent,yes,2,0
18,medium,no,fair,no,3,1
22,medium,yes,fair,yes,4,0
47,medium,yes,excellent,no,5,0
47,low,no,fair,yes,5,0
34,high,no,fair,yes,1,0
40,high,no,excellent,yes,5,1
32,medium,no,fair,yes,4,0
54,low,yes,excellent,no,2,0
38,medium,no,fair,no,2,0
31,low,yes,excellent,no,1,1
19,low,no,fair,no,3,1
28,low,no,fair,no,5,0
56,medium,no,excellent,no,1,0
55,high,no,fair,no,2,0
51,medium,no,excellent,yes,3,0
55,medium,no,excellent,yes,3,1
51,medium,no,fair,yes,3,0
35,medium,no,fair,no,3,0
47,medium,no,fair,yes,5,0
32,high,no,fair,yes,4,1
44,low,no,excellent,no,3,0
51,high,no,excellent,no,5,1
55,medium,yes,excellent,no,4,0
50,medium,no,excellent,yes,1,0
41,medium,no,fair,no,3,0
32,medium,yes,excellent,yes,3,0
47,high,no,excellent,yes,1,1
59,high,yes,excellent,yes,5,0
34,medium,no,excellent,yes,3,0
22,low,no,fair,yes,2,0
46,medium,no,excellent,no,3,0
21,high,no,fair,yes,3,1
27,low,no,fair,no,3,0
34,medium,no,fair,yes,1,0
27,medium,no,excellent,yes,5,0
34,medium,no,excellent,yes,1,0
37,low,no,excellent,yes,4,0
41,medium,no,excellent,no,2,1
22,high,yes,fair,yes,3,0
51,low,no,excellent,yes,4,1
23,low,no,fair,yes,3,0
19,high,no,fair,yes,8,0
30,low,yes,fair,no,2,0
60,high,yes,excellent,yes,2,1
60,medium,no,excellent,no,1,1
28,low,no,fair,no,1,0
40,high,no,fair,no,5,0
33,medium,no,excellent,no,2,0
48,medium,no,fair,no,0,0
28,medium,no,excellent,no,2,1
33,medium,no,excellent,no,5,0
25,low,no,fair,yes,4,0
21,medium,no,fair,yes,4,0
57,high,yes,excellent,yes,4,1
21,low,no,excellent,no,4,0
42,medium,no,fair,no,1,0
20,medium,no,excellent,yes,3,0
49,medium,no,fair,no,1,0
20,low,no,fair,yes,4,0
44,high,no,excellent,yes,4,1
46,medium,no,excellent,no,3,0
49,low,no,fair,yes,3,0
36,low,no,excellent,yes,3,0
38,low,no,fair,no,4,0
22,medium,no,fair,no,2,1
35,medium,yes,fair,yes,3,0
45,high,no,excellent,no,4,0
59,medium,no,fair,yes,5,0
39,low,no,fair,yes,2,0
38,medium,no,fair,yes,2,0
23,medium,no,excellent,no,1,1
18,low,no,excellent,yes,2,0
22,low,yes,excellent,no,4,0
58,low,no,fair,no,2,0
29,medium,yes,excellent,no,2,1
43,medium,no,fair,yes,4,0
51,medium,no,excellent,no,3,0
31,high,no,excellent,yes,4,1
43,high,no,fair,yes,1,0
44,medium,no,excellent,yes,3,0
26,high,no,fair,yes,6,1
43,low,no,fair,no,3,0
39,low,no,fair,yes,1,0
47,low,yes,fair,yes,3,0
60,low,no,fair,no,6,0
34,medium,no,excellent,yes,4,0
43,high,no,fair,no,4,1
53,low,no,excellent,yes,1,0
18,low,no,fair,no,5,1
25,medium,no,fair,no,0,1
52,high,yes,excellent,yes,5,1
