Experience_Years,Salary_in_Thousands
11.99,82.43
33.76,204.58
94.29,490.5
32.32,184.39
51.88,285.47
70.3,373.38
36.36,197.35
97.18,507.83
96.24,511.96
25.18,135.63
49.72,269.95
30.09,163.44
28.48,174.37
3.69,23.21
60.96,319.19
50.27,275.11
5.15,61.39
27.86,158.67
90.83,468.58
23.96,158.59
14.49,77.97
48.95,242.74
98.57,517.23
24.21,136.01
67.21,345.86
76.16,407.89
23.76,141.26
72.82,378.47
36.78,191.09
63.23,344.88
63.35,343.27
53.58,286.9
9.03,83.61
83.53,426.95
32.08,165.13
18.65,106.34
4.08,39.93
59.09,317.88
67.76,356.37
1.66,31.81
51.21,263.53
22.65,147.69
64.52,341.76
17.44,118.36
69.09,368.9
38.67,217.94
93.67,494.06
13.75,93.24
34.11,196.96
11.35,90.03
92.47,484.31
87.73,465.76
25.79,148.07
66.0,364.39
81.72,421.85
55.52,315.61
52.97,284.42
24.19,126.62
9.31,67.83
89.72,461.8
90.04,478.62
63.31,330.02
33.9,185.05
34.92,175.71
72.6,378.45
89.71,444.32
88.71,447.7
77.99,417.54
64.2,348.87
8.41,66.32
16.16,91.14
89.86,468.8
60.64,323.18
0.92,13.01
10.15,85.77
66.35,360.52
0.51,20.32
16.08,100.67
54.87,296.45
69.19,345.53
65.2,343.51
22.43,125.31
71.22,366.07
23.72,135.81
32.54,200.68
74.65,399.65
64.96,339.1
84.92,450.34
65.76,362.8
56.83,313.4
9.37,67.43
36.77,197.39
26.52,159.58
24.4,145.93
97.3,515.46
39.31,222.9
89.2,476.52
63.11,330.22
79.48,430.58
50.26,273.29
57.69,329.2
49.25,259.37
19.52,134.98
72.25,383.21
28.08,153.87
2.43,27.32
64.55,339.53
17.71,112.8
94.05,495.46
95.39,491.23
91.49,477.19
37.02,226.5
1.55,45.0
92.83,488.52
42.82,234.47
96.67,504.53
96.36,507.95
85.3,436.28
29.44,164.65
38.51,195.86
85.11,449.56
31.69,184.93
16.95,99.91
55.68,314.14
93.62,475.82
69.6,353.37
57.01,307.28
9.72,79.06
61.5,344.34
99.01,510.44
14.01,100.83
51.83,278.78
87.74,456.96
74.08,399.22
69.7,375.03
70.25,355.48
35.95,214.51
29.36,180.6
80.94,418.42
81.01,429.01
86.71,458.48
91.32,479.23
51.13,270.17
50.15,264.04
79.83,418.89
65.0,356.71
70.2,376.42
79.58,414.19
89.0,472.72
33.8,160.51
37.56,219.28
9.4,49.59
57.83,305.52
3.59,26.77
46.56,239.85
54.26,302.93
28.65,158.59
59.08,318.88
3.05,34.78
3.73,43.44
82.26,432.07
36.02,187.27
12.71,93.49
52.22,276.18
77.0,389.43
21.58,123.63
62.29,346.45
8.53,71.18
5.17,42.35
53.14,282.18
54.06,287.1
63.74,359.48
72.61,386.87
97.59,512.23
51.63,288.45
32.3,183.87
79.52,415.0
27.08,153.45
43.9,238.77
7.85,58.86
2.54,39.95
96.26,501.84
83.6,445.32
69.6,367.18
40.9,225.26
17.33,86.67
15.64,107.38
25.02,148.59
54.92,304.59
71.46,348.34
66.02,370.98
27.99,158.57
95.49,508.51
73.79,378.55
55.44,303.3
61.17,315.33
41.96,223.56
24.77,163.01
35.6,196.08
75.78,401.1
1.44,35.9
11.61,82.99
4.6,44.51
4.07,44.01
85.55,471.76
70.37,371.25
47.42,259.1
9.78,79.42
49.16,276.86
47.35,268.61
17.32,112.99
43.39,225.5
39.85,235.59
61.59,316.46
63.51,340.57
4.53,35.11
37.46,206.66
62.59,336.22
50.31,274.78
85.65,452.46
65.87,365.48
16.29,106.0
7.06,52.84
64.24,350.85
2.65,45.15
58.58,300.61
94.02,496.09
57.55,314.75
38.82,211.11
64.33,355.4
45.83,247.63
54.56,294.06
94.15,489.0
38.61,213.21
96.12,489.63
90.54,458.27
19.58,133.84
6.94,46.21
10.08,60.48
1.82,7.58
9.44,60.83
68.3,348.27
7.12,72.01
31.9,189.59
84.49,435.56
2.33,54.16
81.45,437.05
28.19,157.68
11.82,54.09
69.67,391.28
62.89,320.58
87.75,442.28
73.51,397.76
80.35,446.14
28.2,174.86
17.74,114.36
75.06,401.25
80.68,431.95
99.05,522.84
41.26,229.12
37.2,207.05
77.64,407.58
34.08,182.86
93.08,482.57
85.84,432.28
42.9,233.51
75.09,385.55
75.45,386.24
10.31,73.36
90.26,485.2
50.53,281.81
82.65,417.52
32.0,170.13
89.55,477.17
38.92,204.78
1.08,23.17
90.54,478.19
9.13,55.96
31.93,180.71
95.01,481.69
95.06,489.29
57.34,309.92
63.18,319.99
44.84,248.63
29.32,166.41
32.87,189.86
67.25,358.5
75.24,409.83
79.16,417.04
78.96,410.52
9.12,66.83
49.44,272.64
5.76,49.27
54.95,295.17
44.15,233.75
88.77,457.22
35.09,181.43
11.71,96.03
14.3,79.06
76.15,393.83
61.82,321.92
10.11,79.51
8.41,59.1
70.1,382.96
7.28,49.65
82.19,433.72
70.62,364.77
8.13,82.13
8.48,50.54
98.66,516.42
37.43,213.47
37.06,209.46
81.28,424.55
94.72,492.33
98.6,513.44
75.34,395.22
37.63,217.77
8.35,83.86
77.71,403.0
55.84,285.5
42.42,231.23
90.64,498.97
11.12,67.56
49.26,282.7
1.14,42.45
46.87,248.79
5.63,53.84
11.88,95.69
11.75,74.97
64.92,342.57
74.6,387.21
58.34,301.54
96.22,494.59
37.49,195.2
28.57,163.2
86.86,446.6
22.36,134.14
96.32,486.05
1.22,29.39
96.99,513.27
4.32,21.64
89.11,469.31
52.77,296.13
99.3,504.39
7.38,73.62
55.39,301.12
96.93,497.6
52.31,280.99
62.94,340.28
69.57,368.63
45.45,252.66
62.76,324.57
58.43,313.85
90.12,456.44
4.54,41.61
28.1,151.44
95.04,487.85
89.03,477.49
45.57,258.74
62.01,336.16
27.74,147.77
18.81,110.9
46.37,263.98
35.34,198.09
58.37,335.02
7.77,62.8
97.44,509.12
98.62,510.01
69.82,370.42
53.61,286.52
30.95,181.84
81.38,436.46
68.47,354.51
16.26,88.0
91.09,457.1
82.25,436.35
94.98,483.87
72.57,361.33
61.34,330.59
41.82,254.05
93.27,486.3
86.61,461.42
4.52,43.43
2.64,32.19
37.65,217.42
81.06,422.37
98.73,516.31
15.04,98.43
59.41,310.38
38.09,220.37
96.99,503.21
84.21,433.5
83.83,444.53
46.87,245.36
41.48,227.69
27.34,156.61
5.64,59.05
86.47,457.11
81.29,426.2
99.97,528.04
99.66,532.22
55.54,303.29
76.9,404.6
94.48,479.26
84.96,434.17
24.73,140.62
45.05,239.18
12.92,82.71
95.41,497.59
60.62,328.38
22.86,133.62
67.17,360.72
61.81,329.71
35.82,179.33
11.36,67.39
67.16,354.35
52.03,268.06
77.23,412.16
52.02,295.39
85.22,458.28
55.19,293.82
56.09,315.38
87.67,459.81
40.35,218.37
13.4,80.87
2.88,31.37
75.51,393.69
62.03,331.86
70.41,373.65
21.3,126.51
13.64,92.56
1.45,39.18
35.06,204.79
58.99,300.11
39.22,190.58
43.75,248.08
90.42,458.41
34.83,191.88
51.4,265.29
78.37,393.81
39.65,223.69
62.21,338.63
86.24,445.42
94.95,468.85
14.71,88.07
92.66,487.21
49.21,251.27
25.82,150.96
45.91,249.41
98.0,515.81
49.26,267.5
32.88,174.65
63.34,348.67
24.01,138.49
7.59,57.66
12.89,75.11
12.8,79.59
15.19,87.1
13.88,87.68
64.09,357.55
18.19,97.22
34.57,176.7
89.68,483.11
47.4,254.89
66.76,347.09
17.23,116.56
19.23,110.09
4.09,58.69
16.89,111.25
27.86,154.42
17.7,130.08
8.87,58.29
12.06,87.74
46.08,253.38
20.63,136.18
36.43,217.75
50.34,272.03
69.04,357.66
3.93,44.26
79.94,412.93
62.79,354.08
8.18,62.24
87.36,453.14
92.09,482.28
6.11,37.07
27.69,148.72
80.62,435.1
74.83,387.56
18.45,101.79
20.93,130.04
37.05,217.09
48.45,269.45
61.83,339.09
36.89,196.89
46.25,237.05
74.75,408.75
3.67,35.11
25.24,143.71
71.33,389.96
89.52,473.17
51.17,280.4
53.21,307.71
10.72,67.15
44.74,252.98
53.26,286.88
24.25,143.92
26.92,169.91
37.73,213.72
2.01,35.42
32.21,191.76
21.14,122.07
32.75,175.36
11.98,69.43
89.05,445.6
59.36,337.36
67.91,348.52
78.92,412.37
49.84,266.45
8.69,66.53
53.71,296.71
58.68,322.03
74.54,386.89
43.17,234.16
12.76,86.62
28.38,159.4
36.31,217.61
64.59,347.87
57.08,312.74
35.61,204.68
98.65,524.99
60.58,324.7
23.72,125.65
10.18,74.89
15.29,89.92
24.6,137.69
16.07,106.2
18.66,125.67
28.51,162.76
17.34,109.78
89.68,485.4
8.02,62.52
52.45,308.27
41.04,230.85
98.24,493.58
11.2,83.55
39.79,222.74
96.95,517.63
86.55,459.49
81.71,427.15
25.79,136.71
17.09,103.35
66.86,345.82
92.94,478.88
55.68,304.27
57.16,322.51
28.0,163.94
76.95,392.79
18.7,117.97
32.37,193.81
42.54,226.62
50.76,272.47
24.24,141.35
11.48,69.57
61.06,331.79
28.86,163.11
58.12,314.81
15.44,88.31
48.11,256.2
53.26,293.52
5.18,42.18
33.66,205.57
13.44,83.21
6.34,53.93
99.0,524.31
32.24,166.99
80.99,407.33
25.46,132.06
68.15,373.38
76.02,394.6
59.56,343.4
47.16,250.15
41.18,227.77
34.89,209.86
92.95,504.83
83.06,455.92
96.5,514.6
12.43,92.39
73.09,391.36
93.83,496.95
18.12,105.1
6.65,45.07
74.11,390.53
57.45,305.53
84.18,436.38
13.98,96.85
79.53,427.19
20.16,121.7
16.37,116.6
16.43,90.72
81.46,425.35
66.52,345.43
52.31,262.87
35.88,198.59
87.72,457.38
39.24,231.36
81.66,434.61
43.91,229.33
37.69,227.01
46.27,263.55
30.14,176.51
74.76,391.54
50.27,261.77
23.22,132.38
89.96,480.67
38.39,230.79
54.36,307.21
90.65,468.35
62.42,320.92
11.69,79.86
93.98,472.23
62.77,337.09
33.49,185.98
13.93,84.98
79.4,401.07
62.01,335.17
53.35,281.4
89.39,455.25
78.86,385.58
15.17,95.56
31.17,193.58
24.85,160.86
74.39,387.4
3.35,30.74
56.99,309.63
76.25,391.25
87.68,461.4
34.21,198.7
82.13,442.9
11.06,74.31
84.65,441.19
12.75,74.96
39.73,210.37
79.73,416.38
14.99,98.63
22.93,143.76
72.23,373.09
72.0,394.95
64.11,337.86
69.39,366.76
54.27,283.89
25.18,121.66
34.57,201.69
18.16,118.17
90.85,471.41
58.34,312.37
40.09,225.59
46.2,235.38
94.73,488.35
15.34,104.62
58.62,300.57
50.59,275.88
61.15,312.16
1.81,33.72
87.21,455.71
93.21,469.91
56.51,314.21
69.67,360.98
92.25,473.15
70.72,375.63
15.25,107.76
57.63,297.99
60.67,323.97
42.41,236.35
73.64,395.15
93.44,488.95
92.56,479.11
45.08,237.14
11.32,77.48
98.48,501.7
83.89,410.24
12.47,86.7
92.08,489.46
86.99,431.32
51.88,269.32
59.13,321.83
39.9,240.08
5.48,47.59
33.52,180.32
80.29,419.6
0.46,36.06
33.35,180.29
39.82,211.09
53.74,283.87
91.99,470.39
34.63,194.4
34.7,209.72
73.75,391.98
45.22,243.59
22.46,129.38
45.24,230.59
14.09,99.26
17.64,107.42
49.84,267.38
41.89,261.39
91.48,480.41
36.24,193.68
58.06,306.03
63.23,347.62
1.31,27.68
66.35,337.39
17.8,118.21
96.11,493.85
14.87,113.06
41.46,238.11
8.53,58.2
99.69,531.25
50.22,271.78
59.54,326.22
6.71,58.39
75.0,386.52
20.99,118.52
89.81,479.33
20.51,119.22
19.07,111.31
3.65,28.72
47.21,260.27
56.48,323.05
6.57,42.18
77.55,408.01
45.33,260.77
52.44,281.4
44.08,244.91
40.08,209.76
55.96,304.1
15.52,95.75
18.19,120.82
86.18,462.77
94.61,518.95
37.33,212.45
27.07,158.63
64.4,343.94
40.87,220.84
2.54,36.08
15.62,95.12
71.6,379.67
65.89,362.64
2.71,23.48
22.2,142.38
23.11,148.71
67.19,354.77
1.97,8.64
10.41,65.98
79.99,432.93
17.85,109.04
65.27,336.38
23.82,134.04
9.94,78.13
24.32,147.05
72.23,378.74
85.57,444.18
83.02,431.19
39.72,209.37
66.81,370.2
20.5,119.27
29.31,178.75
89.63,483.38
1.3,36.48
8.55,58.44
20.79,127.98
2.65,33.02
18.14,101.68
58.3,314.76
42.14,218.92
89.27,478.21
81.74,424.08
34.18,192.92
25.94,152.54
37.97,207.26
59.03,321.01
26.81,149.28
62.41,340.79
40.94,211.25
55.2,297.29
43.61,257.45
29.45,157.23
94.85,487.45
76.36,406.94
14.01,91.85
86.85,457.74
48.74,268.61
89.46,473.62
79.99,431.02
42.52,236.7
2.25,28.82
26.87,161.06
54.16,309.82
63.35,335.41
25.79,139.2
13.94,100.75
83.49,436.26
98.44,490.47
52.57,291.32
17.17,100.49
27.23,155.25
1.84,32.52
91.43,479.05
11.78,85.97
57.65,303.9
27.41,162.16
55.42,294.49
65.14,353.1
82.97,441.02
20.64,113.86
1.1,36.36
13.69,83.08
90.0,478.09
87.39,460.62
59.74,337.09
60.05,318.02
66.5,349.03
17.54,107.49
91.44,474.17
41.88,237.38
38.31,195.41
51.89,268.92
4.7,32.8
16.63,112.64
73.8,406.12
8.28,60.35
60.32,319.89
24.53,143.38
38.93,226.27
28.87,155.07
35.57,200.22
71.9,389.27
29.71,173.57
56.64,305.1
47.61,268.04
66.37,324.8
93.68,495.19
73.26,379.75
21.49,109.16
3.12,40.7
26.23,164.87
59.51,316.16
5.14,55.24
49.64,284.31
59.68,331.57
33.42,203.52
77.09,412.88
10.66,74.05
7.51,41.55
72.82,381.63
49.55,259.31
68.84,385.91
43.48,235.65
24.64,144.43
81.91,435.07
79.94,420.14
69.47,384.3
27.21,149.85
59.02,317.06
36.1,193.06
9.16,52.59
91.73,472.54
13.68,88.04
95.02,490.83
44.6,236.08
