GDP_per_capita,Happiness_Score
11636.68,3.12
41707.21,4.07
70251.16,5.43
59391.11,5.41
55912.75,5.12
56347.48,4.03
29079.55,4.19
23840.55,3.88
64844.21,4.93
64904.01,5.44
69432.25,5.72
73102.62,5.79
41151.72,3.78
40370.55,3.68
63964.47,5.19
52172.13,5.19
56306.37,5.09
63765.52,5.0
71255.42,5.95
27370.61,1.94
30358.84,4.09
7971.56,1.53
46473.27,4.14
3357.41,1.61
37515.04,3.23
43640.25,4.76
23280.03,2.93
47471.24,4.55
2924.77,2.12
3469.18,2.41
65896.74,5.33
29135.16,2.82
10601.31,3.03
42018.34,3.85
61714.49,4.31
17657.77,2.67
50019.79,5.25
7285.12,2.79
4608.7,2.06
42742.69,3.96
43480.49,4.01
51175.68,5.6
58224.26,5.1
78080.24,6.12
41545.88,4.59
26175.04,3.43
63717.3,5.06
22031.16,3.0
35398.23,3.73
6737.28,2.32
2515.38,2.49
77030.55,5.88
66960.42,5.71
55829.95,4.75
33011.76,3.69
14276.9,1.71
12936.74,3.11
20394.31,3.19
44163.52,4.71
57310.38,3.42
52985.69,5.69
22754.74,3.07
76411.79,6.37
59162.8,4.44
44571.15,4.53
49131.8,3.93
33858.2,3.38
20194.61,3.97
28799.83,3.34
60748.77,5.15
1644.28,2.52
9727.77,2.73
4157.21,2.28
3737.94,2.37
68509.12,6.63
56440.8,4.79
38196.82,4.01
8277.82,2.94
39583.46,4.53
38141.01,4.5
14269.55,3.03
34991.21,3.18
32181.13,4.43
49460.08,3.9
50989.95,4.7
4101.67,1.83
30281.7,3.48
50255.86,4.68
40499.33,4.19
68590.94,5.64
52866.14,5.45
13453.29,2.9
6110.22,2.18
51572.33,5.06
2607.65,2.73
47069.16,3.74
75248.3,6.06
46250.2,4.66
31359.51,3.42
51641.41,5.27
36931.1,3.77
43876.53,4.26
75346.45,5.68
31195.16,3.57
76914.65,5.3
72475.38,4.9
16065.4,3.6
6014.22,1.88
8511.85,1.93
1948.64,1.02
8008.22,2.08
54799.04,4.08
6159.5,3.13
25858.56,3.8
67667.59,5.04
2350.12,3.24
65250.24,5.75
22907.45,2.98
9894.1,1.25
55890.6,5.94
50500.96,3.83
70259.03,4.69
58938.15,5.46
64376.73,6.44
22921.75,3.84
14606.44,3.01
60173.87,5.31
64643.36,5.66
79245.16,6.34
33303.11,3.81
30075.44,3.56
62224.83,5.08
27593.88,3.0
74495.21,5.58
68743.81,4.59
34605.03,3.68
60194.25,4.52
60486.16,4.47
8698.35,2.52
72252.96,6.31
40667.56,4.49
66203.37,4.52
25943.94,2.8
71694.1,6.06
31441.53,3.08
1361.59,1.96
72477.87,5.9
7757.29,1.9
25885.43,3.35
76029.93,5.13
76073.27,5.5
46088.31,4.46
50731.06,3.74
36151.42,4.03
23810.26,3.18
26628.83,3.61
53965.22,4.81
60313.78,5.7
63430.53,5.23
63274.64,4.95
7750.89,2.45
39806.41,4.26
5075.92,2.28
44187.55,4.23
35601.67,3.43
71072.48,5.22
28397.74,2.72
9806.83,3.37
11867.84,1.97
61040.1,4.71
49648.34,4.12
8539.25,2.87
7186.49,2.21
56227.05,5.44
6284.66,1.98
65837.87,5.43
56646.26,4.41
6967.23,3.42
7244.6,1.77
78937.85,6.1
30254.53,3.83
29966.05,3.71
65117.57,5.16
75806.26,5.73
78887.08,5.97
60393.57,4.95
30412.64,4.0
7138.31,3.46
62283.18,4.84
44893.14,3.56
34225.65,3.67
72555.17,6.92
9340.2,2.07
39663.7,4.8
1402.61,2.91
37758.52,3.61
4976.11,2.53
9946.02,3.31
9843.34,2.3
52112.22,4.5
59810.57,4.7
46877.82,3.84
76992.72,5.52
30302.21,2.9
23214.11,3.18
69553.63,5.09
18275.87,3.03
77076.19,5.08
1466.28,2.24
77605.37,6.3
3931.21,1.2
71345.88,5.75
42452.24,4.74
79440.7,5.37
6366.83,3.15
44531.42,4.44
77559.55,5.53
42086.28,4.08
50537.19,4.81
55812.02,4.83
36636.01,4.1
50390.87,4.06
46952.99,4.43
72142.06,4.9
4112.99,2.15
22836.57,2.69
76057.71,5.44
71275.97,6.18
36724.71,4.38
49800.54,4.79
22551.8,2.58
15455.63,2.61
37364.02,4.47
28591.5,3.5
46900.66,5.5
6679.9,2.53
77964.39,5.99
78903.75,5.79
56003.86,4.87
43119.66,4.08
25107.45,3.61
65196.7,5.74
54936.13,4.35
13428.05,2.01
72918.71,4.73
65891.71,5.55
76009.09,5.25
58194.7,3.83
49266.51,4.66
33750.32,4.93
74651.91,5.73
69352.08,5.89
4094.88,2.25
2596.17,2.08
30428.84,3.98
64938.99,5.1
78988.45,6.08
12458.14,2.78
47733.39,4.05
30780.82,4.04
77608.19,5.79
67448.45,4.99
67147.13,5.63
37761.11,3.44
33478.15,3.69
22235.86,3.11
4981.85,2.79
69245.43,5.7
65125.63,5.24
79977.56,6.41
79732.63,6.68
44656.82,4.51
61634.5,5.09
75608.88,5.12
68046.97,4.87
20164.17,2.86
36318.26,3.51
10768.17,2.44
76347.06,5.85
48690.88,4.7
18677.1,2.9
53900.2,4.94
49641.2,4.51
28973.94,2.46
9527.83,2.01
53890.07,4.62
41864.46,3.49
61899.31,5.39
41853.0,4.86
68248.43,6.02
44376.59,4.11
45094.57,5.0
70193.96,5.58
32576.89,3.46
11154.21,2.25
2788.22,1.99
60533.41,4.83
49814.61,4.58
56474.34,4.9
17430.65,2.87
11341.53,2.79
1656.3,2.68
28371.71,3.89
47398.46,3.63
31683.4,2.31
35279.26,4.23
72380.62,4.94
28186.31,3.3
41362.16,3.48
62800.41,4.24
32025.15,3.87
49955.89,4.88
69057.91,5.16
75986.89,4.5
12192.34,2.34
74163.72,5.9
39623.25,3.24
21030.43,3.14
37001.29,3.84
78412.59,6.21
39663.14,4.04
26635.75,2.85
50855.37,5.14
19591.58,2.9
6531.13,2.31
10745.94,2.07
10679.64,2.31
12576.26,2.19
11536.76,2.49
51449.54,5.43
14959.47,2.06
27980.55,2.59
71794.68,6.33
38179.95,3.8
53570.84,4.34
14199.43,3.23
15786.98,2.49
3749.05,3.1
13930.34,3.04
22647.93,2.89
14572.33,3.81
7551.85,2.07
10090.55,2.88
37131.91,4.01
16903.53,3.5
29459.45,4.25
40521.67,4.04
55386.39,4.39
3625.32,2.41
64053.13,4.86
50418.08,5.53
6999.84,2.42
69949.5,5.31
73709.36,5.78
5355.7,1.59
22511.77,2.64
64593.0,5.83
59986.65,4.67
15169.42,2.24
17143.27,3.13
29952.53,4.09
39019.58,4.31
49651.25,4.98
29828.63,3.11
37271.51,3.15
59923.94,5.75
3416.31,2.01
20568.74,2.9
57211.29,5.52
71668.94,5.86
41178.36,4.29
42803.02,5.22
9020.17,2.13
36069.28,4.27
42843.07,4.17
19776.41,3.12
21904.84,3.86
30494.09,3.78
2095.66,2.37
26105.29,3.84
17310.12,2.68
26536.04,2.91
10021.09,1.98
71296.92,4.58
47690.6,5.41
54488.63,4.17
63239.11,5.05
40126.15,3.87
7410.16,2.52
43199.97,4.57
47153.87,4.79
59762.44,4.7
34816.93,3.66
10642.63,2.67
23060.18,3.03
29365.04,4.27
51850.42,4.84
45876.88,4.66
28809.69,3.77
78927.96,6.53
48659.1,4.52
19359.53,2.32
8591.71,2.63
12652.3,2.31
20053.64,2.74
13274.17,2.96
15332.08,3.39
23165.07,3.17
14283.2,2.87
71792.85,6.44
6878.58,2.46
42198.66,5.41
33126.55,3.94
78599.1,5.05
9407.09,2.85
32129.52,3.8
77572.9,6.52
69307.82,5.8
65457.23,5.2
21003.27,2.44
14085.56,2.6
53657.14,4.26
74385.39,5.43
44762.65,4.53
45943.21,5.13
22758.34,3.34
61674.69,4.49
15369.98,2.99
26232.5,3.91
34322.2,3.41
40855.03,3.98
19771.57,3.0
9629.53,2.09
49044.29,4.78
23446.13,3.11
46708.44,4.55
12771.84,2.19
38750.64,3.72
42840.86,4.5
4619.97,2.04
27260.04,4.23
11185.97,2.36
5538.31,2.39
79201.84,6.43
26127.13,2.6
64885.02,4.36
20743.93,2.27
54679.47,5.37
60938.11,4.77
47853.28,5.67
37990.31,3.62
33241.35,3.75
28235.03,4.18
74397.57,6.72
66534.24,6.36
77219.64,6.47
10381.63,3.03
58603.96,5.23
75098.07,6.14
14908.03,2.47
5786.45,1.88
59419.09,4.97
46170.61,4.22
67425.39,5.14
11611.9,2.93
63723.75,5.66
16529.37,2.87
13510.65,3.41
13559.13,2.11
65258.69,5.17
53383.18,4.31
42083.7,3.17
29027.02,3.41
70237.44,5.45
31699.39,4.34
65419.66,5.59
35411.23,3.26
30467.08,4.45
37283.04,4.47
24459.54,3.51
59934.95,4.88
40466.27,3.54
18960.91,2.76
72016.18,6.15
31019.35,4.49
43712.45,4.96
72564.53,5.38
50126.92,3.95
9793.39,2.56
75216.65,4.88
50402.79,4.68
27125.0,3.28
11572.13,2.35
63625.0,4.38
49795.78,4.75
42910.16,3.88
71564.46,4.99
63193.48,3.72
12558.15,2.61
25281.9,4.15
20254.89,3.84
59643.73,4.75
3165.83,1.86
45806.23,4.52
61115.47,4.56
70202.87,5.66
27695.5,3.77
65789.96,5.9
9295.22,2.41
67792.96,5.29
10635.35,2.09
32084.34,3.19
63884.98,5.08
12418.44,2.8
18725.49,3.39
57919.08,4.49
57742.9,5.63
51471.24,4.44
55668.9,4.77
43646.59,3.81
20518.03,1.81
27982.83,3.84
14937.02,3.12
72721.82,5.5
46879.65,4.38
32367.69,3.88
37229.46,3.08
75809.03,5.53
12691.44,3.03
47105.27,3.73
40718.15,4.18
49110.61,3.78
1939.76,2.33
69833.85,5.47
74603.4,4.92
45428.09,4.85
55883.74,4.43
73838.7,5.29
56725.47,4.94
12626.85,3.21
46314.92,3.81
48733.85,4.47
34218.39,3.93
59047.32,5.3
74782.18,5.83
74082.7,5.52
36341.73,3.4
9502.42,2.52
78794.88,5.4
67192.4,3.9
10410.68,2.74
73706.93,6.14
69656.76,4.3
41747.63,3.58
47506.4,4.68
32220.71,4.64
4853.55,2.25
27148.18,2.99
64326.85,5.12
868.25,2.73
27013.18,3.03
32154.41,3.21
43222.95,3.92
73628.52,5.2
28034.51,3.46
28082.78,4.22
59131.35,5.12
36451.33,3.7
18356.08,2.77
36468.94,3.04
11698.13,3.03
14522.77,2.69
40120.24,3.92
33804.57,5.29
73230.25,5.81
29310.31,3.09
46656.77,4.12
50765.01,5.11
1541.01,2.13
53251.22,3.94
14653.86,3.19
76905.09,5.51
12318.69,3.55
33462.62,4.21
7285.3,2.14
79751.5,6.63
40424.5,4.06
47833.11,4.82
5832.58,2.53
60121.86,4.58
17187.49,2.54
71895.32,6.11
16808.6,2.67
15659.67,2.58
3405.7,1.69
38029.32,4.11
45404.87,5.3
5723.84,1.75
62154.45,5.12
36536.46,4.53
42189.03,4.07
35540.64,4.0
32360.66,3.09
44991.41,4.46
12841.6,2.55
14963.29,3.24
69011.96,6.04
75716.18,7.08
30178.09,3.8
22024.2,3.26
51697.96,4.68
32994.37,3.47
2518.22,2.3
12914.13,2.5
57419.79,4.96
52884.45,5.3
2654.13,1.63
18146.79,3.48
18870.45,3.6
53915.47,4.64
2066.99,1.04
8776.63,2.13
64093.33,5.85
14694.3,2.72
52393.32,4.12
19435.53,2.72
8405.59,2.84
19832.19,3.26
57920.22,4.78
68527.87,5.24
66502.48,5.13
32076.09,3.14
53612.77,5.49
16796.25,2.68
23805.24,3.8
71758.7,6.35
1533.65,2.58
7297.93,2.15
17026.96,3.05
2609.31,2.12
14924.12,2.29
46851.8,4.5
34003.25,3.11
71467.4,6.17
65486.76,5.04
27674.48,3.48
21124.16,3.2
30685.55,3.4
47428.45,4.66
21811.06,2.85
50119.84,4.94
33048.23,2.98
44387.75,4.28
35172.06,4.73
23910.03,2.7
75902.04,5.46
61206.66,5.32
11639.0,2.67
69543.2,5.65
39250.78,4.21
71616.9,5.9
64088.49,5.76
34304.47,3.92
2286.31,1.99
21859.85,3.43
43559.92,5.13
50861.52,4.48
21002.07,2.56
11578.81,3.13
66876.95,5.28
78759.97,4.85
42292.37,4.54
14148.5,2.44
22148.43,3.06
1962.06,2.26
73186.76,5.75
9861.21,2.85
46333.06,4.1
22287.39,3.37
44557.15,4.1
52287.92,4.98
66464.47,5.63
16910.49,2.38
1374.17,2.61
11382.41,2.3
72051.48,6.01
69974.26,5.68
47994.34,5.32
48241.09,4.3
53370.42,4.49
14442.02,2.71
73195.75,5.51
33792.26,4.09
30959.51,2.74
41753.96,3.56
4233.79,1.68
13719.53,3.16
59173.67,5.81
7082.49,2.3
48450.59,4.34
20005.25,3.04
31449.0,4.15
23451.15,2.71
28775.98,3.56
57664.15,5.37
24121.18,3.46
45529.17,4.37
38346.01,4.42
53261.86,3.31
74977.96,6.09
58739.48,4.61
17587.76,1.96
2979.06,2.4
21349.99,3.75
47808.7,4.32
4588.35,2.71
39961.12,4.8
47949.01,5.05
27072.39,4.17
61787.52,5.46
8974.56,2.49
6473.45,1.52
58391.01,4.8
39891.56,3.57
55227.99,5.85
35068.77,3.67
20088.96,3.07
65618.63,5.56
64053.56,5.22
55728.37,5.63
22135.54,2.8
47423.34,4.47
29197.42,3.09
7780.77,1.73
73426.43,5.37
11377.08,2.55
76043.87,5.59
35957.46,3.45
