CustomerID,Gender,AgeGroup,ProductQuality,DeliverySpeed,PriceSatisfaction,SupportRating,ComplaintFiled,Satisfaction
CUST0055,Male,Teen,Average,Fast,Low,6,No,Low
CUST0056,Female,Adult,Average,Normal,Medium,2,No,Low
CUST0057,Female,Teen,Average,Normal,Low,1,No,Low
CUST0058,Male,Adult,Average,Normal,Low,7,No,Low
CUST0059,Male,Teen,Poor,Normal,Low,2,No,Low
CUST0060,Male,Teen,Average,Normal,Low,2,No,Low
CUST0061,Male,Teen,Average,Slow,High,5,Yes,Low
CUST0062,Male,Adult,Excellent,Normal,Low,5,No,Medium
CUST0063,Male,Adult,Average,Fast,High,7,Yes,Low
CUST0064,Male,Adult,Average,Normal,Medium,1,No,Low
CUST0065,Male,Senior,Poor,Slow,Medium,8,No,Low
CUST0066,Female,Adult,Poor,Normal,Medium,3,Yes,Low
CUST0067,Female,Adult,Average,Slow,Medium,4,No,Low
CUST0068,Male,Senior,Average,Slow,High,9,No,Low
CUST0069,Female,Adult,Average,Slow,Low,4,No,Low
CUST0070,Female,Senior,Average,Normal,Medium,10,Yes,Low
CUST0071,Female,Teen,Average,Normal,High,5,No,Low
CUST0072,Female,Senior,Excellent,Normal,High,7,No,Medium
CUST0073,Male,Teen,Excellent,Slow,High,4,No,Medium
CUST0074,Female,Senior,Poor,Fast,Medium,1,Yes,Low
CUST0075,Male,Adult,Average,Fast,High,9,No,Medium
CUST0076,Female,Senior,Poor,Fast,Medium,4,Yes,Low
CUST0077,Female,Teen,Average,Slow,Medium,9,No,Low
CUST0078,Female,Adult,Excellent,Normal,Low,6,No,Medium
CUST0079,Male,Senior,Poor,Fast,Medium,1,No,Low
CUST0080,Female,Adult,Average,Normal,Low,3,No,Low
CUST0081,Male,Adult,Average,Slow,Medium,2,No,Low
CUST0082,Female,Adult,Excellent,Slow,High,9,No,Medium
CUST0083,Male,Adult,Average,Normal,Low,1,No,Low
CUST0084,Female,Adult,Poor,Fast,Low,9,No,Medium
CUST0085,Male,Adult,Average,Normal,Low,9,No,Low
CUST0086,Male,Senior,Average,Normal,High,8,No,Low
CUST0087,Female,Teen,Poor,Slow,Medium,8,No,Low
CUST0088,Male,Adult,Average,Normal,Medium,1,No,Low
CUST0089,Female,Senior,Poor,Fast,High,8,No,Medium
CUST0090,Female,Senior,Poor,Normal,High,10,No,Medium
CUST0091,Female,Adult,Average,Normal,Medium,3,Yes,Low
CUST0092,Female,Adult,Poor,Fast,Medium,7,No,Low
CUST0093,Female,Adult,Average,Slow,High,1,No,Low
CUST0094,Female,Teen,Average,Normal,Medium,1,Yes,Low
CUST0095,Female,Adult,Excellent,Slow,Low,10,Yes,Low
CUST0096,Female,Adult,Average,Normal,High,5,No,Low
CUST0097,Female,Adult,Poor,Normal,Medium,5,No,Low
CUST0098,Female,Teen,Poor,Normal,Low,8,No,Low
CUST0099,Female,Senior,Average,Normal,Medium,7,Yes,Low
CUST0100,Male,Senior,Excellent,Normal,Low,8,No,Medium
CUST0101,Male,Adult,Poor,Fast,Low,6,Yes,Low
CUST0102,Female,Adult,Excellent,Normal,High,6,No,Medium
CUST0103,Female,Adult,Poor,Slow,Low,2,Yes,Low
CUST0104,Female,Senior,Average,Normal,Medium,6,Yes,Low
CUST0105,Female,Adult,Excellent,Normal,Medium,5,Yes,Low
CUST0106,Female,Teen,Excellent,Normal,Low,3,No,Medium
CUST0107,Female,Senior,Excellent,Fast,High,6,Yes,Medium
CUST0108,Female,Senior,Excellent,Fast,Low,8,No,Medium
CUST0109,Female,Senior,Average,Slow,Medium,9,No,Low
CUST0110,Male,Adult,Excellent,Fast,Medium,1,No,Medium
CUST0111,Female,Adult,Poor,Slow,Low,3,No,Low
CUST0112,Male,Adult,Excellent,Slow,Low,3,No,Medium
CUST0113,Female,Senior,Average,Slow,High,8,Yes,Low
CUST0114,Female,Senior,Excellent,Fast,High,1,No,Medium
CUST0115,Male,Teen,Average,Normal,Low,5,Yes,Low
CUST0116,Female,Teen,Average,Slow,Medium,3,Yes,Low
CUST0117,Male,Adult,Average,Normal,High,2,No,Low
CUST0118,Female,Senior,Excellent,Normal,High,8,No,Medium
CUST0119,Female,Senior,Poor,Slow,Medium,3,No,Low
CUST0120,Male,Teen,Poor,Fast,Medium,7,No,Low
CUST0121,Female,Adult,Average,Fast,Medium,1,No,Low
CUST0122,Male,Adult,Poor,Normal,High,6,Yes,Low
CUST0123,Female,Senior,Excellent,Fast,High,3,Yes,Medium
CUST0124,Male,Senior,Average,Normal,Low,8,Yes,Low
CUST0125,Male,Senior,Excellent,Fast,Medium,6,Yes,Medium
CUST0126,Female,Adult,Average,Normal,High,2,No,Low
CUST0127,Female,Adult,Poor,Normal,High,6,No,Low
CUST0128,Male,Adult,Excellent,Slow,High,7,Yes,Low
CUST0129,Female,Teen,Average,Fast,High,5,No,Medium
CUST0130,Female,Senior,Average,Normal,Medium,3,No,Low
CUST0131,Female,Senior,Average,Slow,Medium,4,No,Low
CUST0132,Male,Senior,Excellent,Slow,Medium,4,Yes,Low
CUST0133,Male,Senior,Average,Normal,Low,6,Yes,Low
CUST0134,Male,Adult,Excellent,Normal,Medium,10,Yes,Low
CUST0135,Male,Adult,Excellent,Normal,High,1,Yes,Low
CUST0136,Male,Senior,Average,Fast,Low,4,No,Low
CUST0137,Male,Senior,Poor,Slow,High,10,Yes,Low
CUST0138,Male,Adult,Average,Normal,Medium,4,No,Low
CUST0139,Male,Adult,Poor,Slow,High,10,No,Medium
CUST0140,Male,Teen,Poor,Fast,Low,1,No,Low
CUST0141,Female,Senior,Average,Fast,Low,9,No,Medium
CUST0142,Male,Adult,Average,Normal,Medium,4,Yes,Low
CUST0143,Female,Adult,Excellent,Normal,Low,7,No,Medium
CUST0144,Female,Adult,Excellent,Normal,High,3,No,Medium
CUST0145,Female,Adult,Excellent,Normal,High,10,Yes,Medium
CUST0146,Male,Adult,Average,Fast,Low,3,Yes,Low
CUST0147,Male,Teen,Average,Normal,Medium,8,No,Low
CUST0148,Male,Adult,Average,Normal,Medium,8,No,Low
CUST0149,Male,Adult,Excellent,Normal,Medium,1,No,Low
CUST0150,Female,Adult,Poor,Fast,High,10,No,Medium
CUST0151,Male,Adult,Excellent,Normal,High,2,No,Medium
CUST0152,Male,Senior,Average,Slow,Medium,8,Yes,Low
CUST0153,Male,Adult,Average,Normal,High,1,No,Low
CUST0154,Male,Adult,Excellent,Fast,Medium,8,Yes,Medium
CUST0155,Male,Senior,Average,Slow,High,8,Yes,Low
CUST0156,Female,Adult,Excellent,Slow,Medium,2,No,Low
CUST0157,Male,Teen,Excellent,Slow,High,4,No,Medium
CUST0158,Female,Teen,Average,Normal,High,6,No,Low
CUST0159,Male,Adult,Average,Normal,Low,9,No,Low
CUST0160,Female,Adult,Average,Normal,High,8,No,Low
CUST0161,Male,Adult,Excellent,Normal,Low,8,Yes,Low
CUST0162,Male,Adult,Average,Normal,Medium,7,Yes,Low
CUST0163,Female,Teen,Average,Normal,Medium,9,Yes,Low
CUST0164,Female,Teen,Average,Fast,High,2,No,Low
CUST0165,Female,Adult,Excellent,Normal,High,3,No,Medium
CUST0166,Male,Adult,Poor,Fast,High,10,No,Medium
CUST0167,Female,Adult,Excellent,Normal,High,8,No,Medium
CUST0168,Male,Adult,Excellent,Slow,Medium,6,No,Medium
CUST0169,Male,Senior,Poor,Normal,High,10,Yes,Low
CUST0170,Female,Adult,Average,Normal,Medium,9,No,Low
CUST0171,Female,Adult,Excellent,Normal,Medium,10,No,Medium
CUST0172,Male,Adult,Poor,Slow,Low,4,No,Low
CUST0173,Male,Adult,Excellent,Slow,High,8,No,Medium
CUST0174,Female,Adult,Average,Fast,High,10,Yes,Low
CUST0175,Female,Senior,Average,Slow,Medium,3,No,Low
CUST0176,Female,Senior,Excellent,Fast,Low,3,No,Medium
CUST0177,Male,Teen,Average,Slow,High,8,Yes,Low
CUST0178,Male,Senior,Average,Normal,Low,5,No,Low
CUST0179,Male,Adult,Average,Normal,High,3,No,Low
CUST0180,Male,Adult,Average,Normal,High,10,No,Medium
CUST0181,Male,Adult,Poor,Normal,Medium,1,Yes,Low
CUST0182,Male,Senior,Average,Slow,Low,3,No,Low
CUST0183,Female,Adult,Excellent,Slow,High,9,No,Medium
CUST0184,Male,Adult,Average,Normal,High,5,No,Low
CUST0185,Male,Adult,Average,Normal,Medium,10,No,Low
CUST0186,Male,Adult,Average,Fast,High,2,No,Low
CUST0187,Female,Teen,Excellent,Fast,Low,7,No,Medium
CUST0188,Male,Teen,Poor,Normal,Medium,2,No,Low
CUST0189,Male,Teen,Excellent,Normal,High,4,No,Medium
CUST0190,Female,Teen,Average,Normal,High,7,Yes,Low
CUST0191,Male,Teen,Average,Slow,Low,4,No,Low
CUST0192,Male,Adult,Poor,Fast,High,7,Yes,Low
CUST0193,Male,Teen,Poor,Normal,Medium,7,No,Low
CUST0194,Male,Adult,Average,Normal,Medium,1,No,Low
CUST0195,Male,Senior,Average,Slow,Low,6,No,Low
CUST0196,Female,Adult,Excellent,Normal,High,9,No,Medium
CUST0197,Female,Adult,Average,Normal,Low,2,No,Low
CUST0198,Female,Teen,Average,Fast,Medium,3,Yes,Low
CUST0199,Male,Teen,Average,Normal,Low,10,No,Low
CUST0200,Male,Teen,Excellent,Normal,High,5,No,Medium
CUST0201,Male,Teen,Poor,Fast,Medium,9,Yes,Low
CUST0202,Female,Adult,Poor,Slow,High,4,Yes,Low
CUST0203,Male,Teen,Poor,Normal,Low,1,No,Low
CUST0204,Male,Teen,Excellent,Slow,Medium,4,No,Medium
CUST0205,Female,Teen,Average,Normal,Medium,6,No,Low
CUST0206,Male,Adult,Average,Fast,High,5,No,Medium
CUST0207,Female,Adult,Excellent,Slow,High,1,Yes,Low
CUST0208,Female,Adult,Excellent,Fast,Low,4,No,Medium
CUST0209,Female,Adult,Average,Slow,Medium,6,No,Low
CUST0210,Male,Adult,Excellent,Fast,Low,10,No,High
CUST0211,Male,Teen,Average,Normal,Medium,10,No,Low
CUST0212,Male,Adult,Poor,Fast,Low,4,No,Low
CUST0213,Male,Adult,Average,Slow,Medium,9,No,Low
CUST0214,Male,Teen,Poor,Fast,Medium,5,No,Low
CUST0215,Male,Senior,Average,Normal,Medium,8,Yes,Low
CUST0216,Male,Senior,Excellent,Normal,Medium,9,No,Medium
CUST0217,Female,Teen,Poor,Fast,High,10,No,Medium
CUST0218,Male,Adult,Poor,Slow,Medium,5,No,Low
CUST0219,Female,Senior,Average,Fast,Low,6,Yes,Low
CUST0220,Male,Adult,Excellent,Slow,High,1,No,Medium
CUST0221,Male,Teen,Average,Normal,Low,7,Yes,Low
CUST0222,Male,Adult,Average,Normal,Medium,4,No,Low
CUST0223,Female,Adult,Poor,Slow,Medium,2,No,Low
CUST0224,Female,Adult,Poor,Slow,Medium,5,No,Low
CUST0225,Female,Adult,Excellent,Slow,Low,3,No,Medium
CUST0226,Female,Adult,Excellent,Normal,Medium,6,No,Medium
CUST0227,Male,Adult,Poor,Normal,High,8,No,Low
CUST0228,Female,Adult,Excellent,Normal,Medium,7,No,Medium
CUST0229,Male,Teen,Average,Slow,Medium,3,No,Low
CUST0230,Male,Adult,Excellent,Slow,Medium,8,No,Medium
CUST0231,Female,Adult,Average,Normal,Low,2,No,Low
CUST0232,Female,Senior,Average,Slow,Medium,10,Yes,Low
CUST0233,Female,Adult,Average,Fast,High,9,No,Medium
CUST0234,Female,Adult,Average,Fast,Low,4,No,Low
CUST0235,Female,Teen,Poor,Normal,Low,1,No,Low
CUST0236,Female,Adult,Poor,Normal,Low,8,No,Low
CUST0237,Female,Adult,Average,Fast,Medium,7,No,Low
CUST0238,Female,Adult,Excellent,Slow,High,5,Yes,Low
CUST0239,Male,Adult,Average,Slow,Low,10,No,Low
CUST0240,Female,Adult,Average,Slow,Medium,5,No,Low
CUST0241,Female,Teen,Excellent,Normal,Low,7,No,Medium
CUST0242,Male,Adult,Poor,Slow,High,5,Yes,Low
CUST0243,Female,Adult,Average,Normal,Low,8,No,Low
CUST0244,Male,Adult,Average,Fast,Medium,6,No,Low
CUST0245,Male,Teen,Excellent,Fast,High,5,Yes,Medium
CUST0246,Female,Senior,Poor,Normal,High,9,No,Low
CUST0247,Male,Adult,Average,Slow,Medium,2,Yes,Low
CUST0248,Male,Adult,Excellent,Fast,Medium,1,No,Medium
CUST0249,Male,Adult,Excellent,Normal,Medium,8,No,Medium
CUST0250,Male,Adult,Average,Slow,Low,3,No,Low
CUST0251,Female,Teen,Average,Slow,Low,7,No,Low
CUST0252,Male,Adult,Average,Fast,Medium,10,No,Medium
CUST0253,Female,Adult,Excellent,Normal,Low,8,Yes,Low
CUST0254,Male,Adult,Average,Fast,Low,6,Yes,Low
CUST0255,Male,Adult,Poor,Fast,Medium,10,No,Medium
CUST0256,Male,Teen,Excellent,Normal,High,9,No,Medium
CUST0257,Male,Adult,Average,Normal,Medium,7,No,Low
CUST0258,Female,Adult,Average,Normal,Low,10,No,Low
CUST0259,Female,Adult,Average,Normal,Low,5,No,Low
CUST0260,Male,Adult,Average,Normal,High,8,No,Low
CUST0261,Male,Adult,Average,Normal,Low,2,No,Low
CUST0262,Female,Senior,Average,Normal,Low,7,No,Low
CUST0263,Male,Adult,Poor,Fast,Medium,4,No,Low
CUST0264,Male,Adult,Average,Normal,Medium,9,Yes,Low
CUST0265,Male,Teen,Excellent,Normal,Medium,1,No,Low
CUST0266,Female,Teen,Poor,Normal,Low,7,Yes,Low
CUST0267,Female,Adult,Excellent,Normal,Low,6,Yes,Low
CUST0268,Female,Teen,Average,Normal,High,8,No,Low
CUST0269,Male,Teen,Excellent,Slow,Low,5,No,Medium
CUST0270,Male,Adult,Excellent,Normal,Medium,1,No,Low
CUST0271,Female,Teen,Average,Slow,High,1,No,Low
CUST0272,Female,Senior,Excellent,Normal,Medium,9,No,Medium
CUST0273,Female,Teen,Excellent,Normal,Medium,10,Yes,Low
CUST0274,Female,Adult,Average,Normal,Low,6,Yes,Low
CUST0275,Male,Adult,Average,Fast,Medium,10,Yes,Low
CUST0276,Female,Senior,Average,Normal,High,5,No,Low
CUST0277,Male,Teen,Excellent,Normal,High,1,Yes,Low
CUST0278,Female,Adult,Excellent,Normal,Low,6,No,Medium
CUST0279,Male,Senior,Excellent,Normal,Low,6,No,Medium
CUST0280,Female,Senior,Average,Slow,High,3,No,Low
CUST0281,Female,Senior,Excellent,Slow,High,8,Yes,Medium
CUST0282,Female,Adult,Poor,Normal,High,1,No,Low
CUST0283,Female,Teen,Average,Normal,Low,1,No,Low
CUST0284,Male,Adult,Poor,Slow,Medium,6,No,Low
CUST0285,Female,Senior,Average,Slow,High,10,No,Medium
CUST0286,Male,Adult,Average,Slow,Medium,1,Yes,Low
CUST0287,Male,Adult,Average,Fast,Medium,6,Yes,Low
CUST0288,Male,Adult,Average,Normal,Low,1,No,Low
CUST0289,Male,Adult,Average,Normal,Medium,6,No,Low
CUST0290,Female,Teen,Average,Slow,Low,3,No,Low
CUST0291,Male,Adult,Average,Normal,Medium,8,No,Low
CUST0292,Male,Adult,Average,Slow,High,6,No,Low
CUST0293,Male,Adult,Average,Slow,Medium,1,No,Low
CUST0294,Female,Adult,Poor,Normal,High,5,No,Low
CUST0295,Female,Teen,Average,Slow,Low,8,No,Low
CUST0296,Female,Adult,Average,Slow,Medium,3,No,Low
CUST0297,Female,Adult,Average,Slow,High,6,No,Low
CUST0298,Male,Adult,Average,Slow,Low,5,Yes,Low
CUST0299,Male,Teen,Average,Slow,Low,6,Yes,Low
CUST0300,Female,Adult,Excellent,Normal,Medium,10,No,Medium
CUST0301,Male,Adult,Average,Fast,Low,1,No,Low
CUST0302,Male,Teen,Average,Normal,High,7,Yes,Low
CUST0303,Male,Adult,Poor,Normal,High,9,Yes,Low
CUST0304,Female,Teen,Average,Slow,Medium,2,No,Low
CUST0305,Female,Teen,Average,Fast,Low,10,No,Medium
CUST0306,Male,Senior,Average,Normal,Medium,5,No,Low
CUST0307,Female,Adult,Average,Slow,High,10,Yes,Low
CUST0308,Female,Senior,Average,Normal,Low,4,No,Low
CUST0309,Female,Adult,Average,Slow,Medium,6,No,Low
CUST0310,Female,Adult,Excellent,Normal,Medium,6,No,Medium
CUST0311,Female,Adult,Excellent,Normal,Medium,2,No,Low
CUST0312,Male,Adult,Excellent,Fast,Low,2,Yes,Low
CUST0313,Female,Adult,Excellent,Normal,High,4,No,Medium
CUST0314,Male,Adult,Poor,Normal,Low,1,No,Low
CUST0315,Male,Adult,Poor,Fast,Low,9,No,Medium
CUST0316,Female,Senior,Poor,Slow,High,7,No,Low
CUST0317,Male,Senior,Average,Slow,High,7,No,Low
CUST0318,Male,Senior,Excellent,Normal,Low,3,No,Medium
CUST0319,Male,Teen,Average,Normal,Low,3,No,Low
CUST0320,Female,Adult,Excellent,Normal,Low,1,No,Low
CUST0321,Female,Senior,Poor,Fast,Low,3,No,Low
CUST0322,Male,Teen,Excellent,Normal,Low,3,Yes,Low
CUST0323,Female,Teen,Average,Normal,Low,4,No,Low
CUST0324,Female,Adult,Poor,Normal,Medium,4,No,Low
CUST0325,Female,Adult,Average,Fast,High,3,No,Medium
CUST0326,Female,Senior,Average,Fast,Medium,10,Yes,Low
CUST0327,Male,Teen,Average,Fast,Medium,8,No,Medium
CUST0328,Male,Adult,Average,Slow,Low,8,No,Low
CUST0329,Female,Adult,Excellent,Normal,High,1,No,Medium
CUST0330,Female,Teen,Average,Slow,High,7,No,Low
CUST0331,Male,Teen,Average,Slow,High,2,No,Low
CUST0332,Male,Senior,Average,Slow,High,1,Yes,Low
CUST0333,Female,Adult,Excellent,Normal,High,3,No,Medium
CUST0334,Male,Adult,Average,Normal,Medium,4,No,Low
CUST0335,Female,Adult,Average,Slow,Low,6,Yes,Low
CUST0336,Female,Senior,Poor,Normal,Medium,10,No,Low
CUST0337,Male,Adult,Poor,Normal,High,5,No,Low
CUST0338,Male,Senior,Average,Normal,High,4,No,Low
CUST0339,Female,Adult,Poor,Slow,Medium,8,No,Low
CUST0340,Female,Adult,Average,Normal,Low,4,No,Low
CUST0341,Male,Adult,Excellent,Normal,Medium,10,No,Medium
CUST0342,Female,Adult,Poor,Slow,High,2,Yes,Low
CUST0343,Male,Adult,Average,Slow,Medium,3,No,Low
CUST0344,Female,Adult,Average,Normal,Medium,6,No,Low
CUST0345,Male,Adult,Excellent,Fast,Low,8,No,Medium
CUST0346,Male,Senior,Average,Normal,Medium,8,Yes,Low
CUST0347,Male,Adult,Excellent,Normal,High,9,No,Medium
CUST0348,Female,Adult,Average,Normal,Medium,7,Yes,Low
CUST0349,Female,Senior,Poor,Normal,High,2,Yes,Low
CUST0350,Male,Adult,Average,Slow,Medium,8,No,Low
CUST0351,Female,Teen,Excellent,Normal,Medium,7,No,Medium
CUST0352,Male,Senior,Average,Fast,Low,8,No,Medium
CUST0353,Male,Adult,Excellent,Normal,High,3,No,Medium
CUST0354,Female,Adult,Excellent,Fast,Medium,7,No,Medium
CUST0355,Female,Teen,Average,Normal,Medium,10,No,Low
CUST0356,Male,Adult,Average,Slow,Medium,9,No,Low
CUST0357,Female,Adult,Average,Fast,High,3,Yes,Low
CUST0358,Female,Adult,Average,Slow,Low,10,No,Low
CUST0359,Male,Senior,Excellent,Normal,High,6,No,Medium
CUST0360,Male,Adult,Excellent,Slow,Low,2,No,Low
CUST0361,Female,Teen,Average,Slow,Medium,2,No,Low
CUST0362,Male,Adult,Average,Normal,Low,5,No,Low
CUST0363,Male,Adult,Excellent,Slow,Medium,5,No,Medium
CUST0364,Female,Adult,Average,Normal,Medium,7,No,Low
CUST0365,Male,Teen,Excellent,Normal,Low,2,Yes,Low
CUST0366,Male,Adult,Average,Slow,Medium,7,No,Low
CUST0367,Female,Adult,Average,Slow,High,5,No,Low
CUST0368,Female,Senior,Poor,Normal,Low,6,No,Low
CUST0369,Male,Adult,Average,Normal,High,8,Yes,Low
CUST0370,Male,Senior,Average,Normal,Medium,10,No,Low
CUST0371,Female,Teen,Average,Normal,Medium,4,No,Low
CUST0372,Female,Senior,Poor,Fast,Low,7,No,Low
CUST0373,Female,Teen,Excellent,Normal,Low,6,No,Medium
CUST0374,Female,Adult,Excellent,Normal,Low,10,No,Medium
CUST0375,Male,Adult,Average,Normal,Low,2,No,Low
CUST0376,Female,Teen,Poor,Slow,Low,8,No,Low
CUST0377,Female,Adult,Poor,Normal,Medium,10,No,Low
CUST0378,Male,Adult,Average,Normal,High,9,Yes,Low
CUST0379,Female,Adult,Average,Normal,High,5,No,Low
CUST0380,Male,Adult,Average,Normal,Medium,10,No,Low
CUST0381,Female,Adult,Average,Fast,Low,4,No,Low
CUST0382,Female,Adult,Average,Fast,Low,6,No,Low
CUST0383,Female,Adult,Average,Fast,Medium,8,No,Medium
CUST0384,Male,Adult,Average,Normal,Low,3,Yes,Low
CUST0385,Male,Teen,Excellent,Normal,Medium,10,Yes,Low
CUST0386,Female,Senior,Poor,Normal,Medium,1,No,Low
CUST0387,Male,Adult,Average,Normal,Medium,4,No,Low
CUST0388,Male,Adult,Average,Normal,Medium,4,No,Low
CUST0389,Male,Adult,Average,Normal,High,1,No,Low
CUST0390,Male,Senior,Excellent,Normal,High,9,Yes,Medium
CUST0391,Male,Teen,Average,Normal,Medium,3,No,Low
CUST0392,Male,Adult,Excellent,Slow,High,5,No,Medium
CUST0393,Female,Adult,Poor,Normal,High,6,Yes,Low
CUST0394,Female,Adult,Poor,Slow,Medium,8,No,Low
CUST0395,Male,Teen,Excellent,Fast,Medium,6,No,Medium
CUST0396,Female,Senior,Average,Normal,Medium,3,No,Low
CUST0397,Female,Senior,Average,Slow,High,6,No,Low
CUST0398,Female,Adult,Poor,Slow,High,1,No,Low
CUST0399,Female,Adult,Poor,Normal,Low,4,No,Low
CUST0400,Male,Senior,Excellent,Normal,Medium,6,No,Medium
CUST0401,Female,Adult,Poor,Normal,Medium,7,Yes,Low
CUST0402,Female,Teen,Average,Slow,Medium,10,No,Low
CUST0403,Male,Adult,Average,Normal,Low,3,No,Low
CUST0404,Male,Adult,Average,Normal,High,9,No,Low
CUST0405,Female,Adult,Poor,Normal,Medium,7,No,Low
CUST0406,Female,Adult,Average,Normal,High,1,No,Low
CUST0407,Female,Senior,Poor,Normal,High,2,No,Low
CUST0408,Female,Senior,Excellent,Slow,High,1,Yes,Low
CUST0409,Female,Adult,Average,Fast,Medium,9,No,Medium
CUST0410,Female,Teen,Average,Normal,Medium,9,No,Low
CUST0411,Male,Senior,Excellent,Normal,Low,7,Yes,Low
CUST0412,Female,Senior,Average,Slow,Medium,10,No,Low
CUST0413,Female,Teen,Average,Normal,Low,3,No,Low
CUST0414,Male,Senior,Average,Slow,Medium,5,No,Low
CUST0415,Male,Senior,Average,Normal,Low,4,No,Low
CUST0416,Male,Adult,Average,Fast,Low,7,Yes,Low
CUST0417,Male,Adult,Excellent,Normal,Low,9,No,Medium
CUST0418,Female,Adult,Average,Slow,Low,2,No,Low
CUST0419,Female,Teen,Average,Slow,High,8,No,Low
CUST0420,Female,Adult,Excellent,Normal,High,9,No,Medium
CUST0421,Female,Senior,Average,Slow,Medium,10,Yes,Low
CUST0422,Female,Teen,Poor,Slow,Low,10,Yes,Low
CUST0423,Female,Adult,Average,Normal,Low,9,No,Low
CUST0424,Male,Adult,Excellent,Normal,Low,10,No,Medium
CUST0425,Female,Adult,Poor,Slow,Low,7,No,Low
CUST0426,Male,Senior,Average,Fast,High,9,No,Medium
CUST0427,Male,Adult,Average,Slow,Low,9,No,Low
CUST0428,Female,Adult,Average,Fast,Medium,3,No,Low
CUST0429,Male,Adult,Poor,Normal,Low,4,No,Low
CUST0430,Female,Adult,Average,Fast,Low,2,No,Low
CUST0431,Male,Adult,Excellent,Normal,Medium,10,No,Medium
CUST0432,Female,Adult,Average,Fast,Medium,3,No,Low
CUST0433,Male,Teen,Average,Fast,Low,5,Yes,Low
CUST0434,Female,Teen,Excellent,Slow,Low,5,No,Medium
CUST0435,Female,Adult,Excellent,Fast,Medium,6,Yes,Medium
CUST0436,Female,Adult,Average,Normal,Low,7,Yes,Low
CUST0437,Female,Senior,Average,Normal,Low,7,No,Low
CUST0438,Female,Adult,Poor,Normal,High,1,No,Low
