StudentID,Gender,StudyHours,Attendance,InternetAccess,ExtraClasses,ParentalSupport,SportsActivity,Performance
STU0098,Female,2.5,55.2,Yes,Yes,Medium,Yes,Medium
STU0099,Female,19.5,81.8,Yes,Yes,High,Yes,High
STU0100,Male,19.7,85.3,Yes,Yes,Low,Yes,High
STU0101,Male,14.3,51.6,No,Yes,Medium,No,Medium
STU0102,Female,11.2,96.8,Yes,No,Medium,No,Medium
STU0103,Female,6.9,52.6,Yes,Yes,Medium,Yes,Medium
STU0104,Female,16.5,77.1,Yes,Yes,High,Yes,High
STU0105,Female,14.0,85.5,Yes,Yes,High,Yes,High
STU0106,Female,4.1,93.5,Yes,Yes,High,Yes,High
STU0107,Female,18.3,85.7,No,No,High,No,High
STU0108,Female,16.6,90.1,No,Yes,Low,Yes,High
STU0109,Female,19.0,67.0,Yes,Yes,Low,No,High
STU0110,Male,14.8,90.7,No,Yes,High,No,High
STU0111,Female,12.7,54.0,Yes,Yes,Low,Yes,High
STU0112,Male,8.9,94.7,Yes,Yes,High,Yes,High
STU0113,Female,18.7,77.4,Yes,No,High,Yes,High
STU0114,Female,17.5,90.9,No,No,Medium,No,Medium
STU0115,Male,1.9,72.6,Yes,Yes,High,No,Medium
STU0116,Female,1.5,82.2,Yes,No,Medium,Yes,Medium
STU0117,Male,8.2,76.3,Yes,No,Medium,No,Medium
STU0118,Female,16.4,86.6,Yes,No,Low,No,High
STU0119,Female,19.8,54.1,Yes,Yes,Medium,Yes,High
STU0120,Male,3.9,53.0,No,Yes,Low,Yes,Low
STU0121,Female,12.3,62.4,Yes,Yes,Medium,No,Medium
STU0122,Male,8.2,58.0,Yes,No,High,No,Medium
STU0123,Female,19.4,93.6,No,No,High,No,High
STU0124,Male,17.0,61.0,Yes,Yes,Low,No,Medium
STU0125,Male,16.9,98.8,No,Yes,Medium,No,Medium
STU0126,Female,9.9,66.8,Yes,No,High,Yes,High
STU0127,Female,8.9,59.1,Yes,No,Low,No,Medium
STU0128,Male,6.2,89.5,Yes,No,Low,No,Medium
STU0129,Female,2.1,82.9,No,No,Low,No,Low
STU0130,Female,17.4,74.9,Yes,Yes,Medium,Yes,High
STU0131,Female,16.4,77.8,Yes,Yes,Low,Yes,High
STU0132,Male,20.0,86.0,Yes,No,High,Yes,High
STU0133,Male,19.9,61.4,Yes,Yes,Medium,Yes,High
STU0134,Male,11.6,99.8,Yes,Yes,Medium,Yes,High
STU0135,Male,15.6,98.7,Yes,No,Low,No,Medium
STU0136,Male,19.0,82.5,No,Yes,Medium,No,Medium
STU0137,Male,17.1,60.0,Yes,No,Medium,Yes,Medium
STU0138,Male,5.7,84.0,Yes,Yes,High,No,Medium
STU0139,Male,9.6,53.6,Yes,No,High,Yes,Medium
STU0140,Male,3.5,51.5,No,Yes,Medium,Yes,Low
STU0141,Female,19.1,62.9,Yes,Yes,High,Yes,High
STU0142,Male,12.5,73.1,Yes,No,High,No,Medium
STU0143,Female,5.3,93.4,Yes,Yes,High,Yes,High
STU0144,Female,13.8,86.4,Yes,No,Low,Yes,High
STU0145,Female,12.7,87.1,Yes,No,Low,Yes,High
STU0146,Male,7.8,71.3,Yes,Yes,Low,No,Medium
STU0147,Male,3.2,67.3,Yes,Yes,Medium,Yes,Medium
STU0148,Male,13.8,68.6,Yes,Yes,Medium,No,Medium
STU0149,Male,10.9,99.4,Yes,Yes,Medium,No,Medium
STU0150,Female,15.7,52.0,Yes,No,High,No,High
STU0151,Male,10.9,93.4,Yes,No,High,No,Medium
STU0152,Male,17.2,78.9,Yes,No,High,Yes,High
STU0153,Male,11.5,71.9,Yes,No,Medium,Yes,Medium
STU0154,Male,11.7,86.3,Yes,Yes,Medium,No,Medium
STU0155,Male,17.7,74.3,Yes,No,Low,Yes,Medium
STU0156,Female,8.7,93.7,Yes,No,Low,No,Medium
STU0157,Male,3.5,95.0,Yes,No,Low,No,Medium
STU0158,Female,1.5,71.1,Yes,No,Medium,No,Medium
STU0159,Male,15.3,63.8,Yes,Yes,Medium,No,Medium
STU0160,Female,12.8,79.6,Yes,No,High,No,High
STU0161,Male,14.4,95.6,Yes,Yes,Low,No,High
STU0162,Male,5.0,60.5,Yes,Yes,High,Yes,Medium
STU0163,Female,3.6,81.1,Yes,Yes,Medium,No,Medium
STU0164,Female,1.3,81.6,Yes,No,Low,Yes,Medium
STU0165,Female,7.7,86.7,Yes,No,Medium,Yes,Medium
STU0166,Male,12.2,56.6,No,No,Low,No,Low
STU0167,Female,8.5,85.8,Yes,No,Medium,Yes,Medium
STU0168,Male,9.3,95.5,Yes,Yes,Medium,Yes,Medium
STU0169,Male,18.2,59.0,Yes,No,Low,Yes,Medium
STU0170,Female,7.6,61.9,Yes,Yes,Low,No,Medium
STU0171,Female,10.8,98.6,Yes,Yes,Medium,No,High
STU0172,Male,15.9,59.0,Yes,Yes,High,No,High
STU0173,Male,8.5,92.7,Yes,No,Medium,Yes,Medium
STU0174,Female,12.8,74.6,No,No,High,No,Medium
STU0175,Female,17.4,62.4,Yes,Yes,Medium,No,High
STU0176,Female,19.0,93.5,Yes,Yes,High,Yes,High
STU0177,Male,3.8,72.3,Yes,No,High,Yes,Medium
STU0178,Male,18.6,75.7,Yes,Yes,Medium,Yes,High
STU0179,Male,10.4,68.0,Yes,No,Medium,No,Medium
STU0180,Male,5.9,79.6,Yes,No,High,No,Medium
STU0181,Male,9.7,58.2,Yes,Yes,Medium,No,Medium
STU0182,Male,19.6,69.6,Yes,Yes,Medium,Yes,High
STU0183,Female,10.4,98.5,Yes,No,Low,No,Medium
STU0184,Male,7.2,62.9,Yes,No,High,No,Medium
STU0185,Male,13.0,82.8,Yes,Yes,High,No,High
STU0186,Male,5.6,66.3,No,No,Low,No,Low
STU0187,Female,2.4,88.7,No,Yes,Medium,Yes,Medium
STU0188,Male,3.4,56.5,Yes,Yes,Medium,Yes,Medium
STU0189,Male,3.4,98.5,Yes,No,Low,No,Medium
STU0190,Female,3.9,72.7,Yes,No,High,No,Medium
STU0191,Male,3.6,61.8,Yes,Yes,Low,No,Medium
STU0192,Male,13.2,53.7,No,No,Low,Yes,Medium
STU0193,Male,4.5,58.5,Yes,Yes,Medium,No,Medium
STU0194,Male,7.6,76.0,Yes,Yes,High,Yes,High
STU0195,Male,18.0,66.9,Yes,Yes,Low,Yes,High
STU0196,Female,10.0,91.4,Yes,No,Medium,No,Medium
STU0197,Female,13.7,71.5,Yes,Yes,Medium,No,High
STU0198,Female,4.3,62.4,No,Yes,Low,Yes,Medium
STU0199,Male,4.7,80.9,Yes,Yes,Low,Yes,Medium
STU0200,Male,1.8,85.3,Yes,No,Medium,Yes,Medium
STU0201,Male,4.2,58.4,No,No,Low,Yes,Low
STU0202,Female,6.3,58.4,Yes,No,High,No,Medium
STU0203,Male,4.4,51.8,Yes,Yes,High,No,Medium
STU0204,Male,2.7,86.8,Yes,No,High,Yes,Medium
STU0205,Female,3.3,83.2,Yes,Yes,Low,No,Medium
STU0206,Male,9.8,73.7,No,No,High,No,Medium
STU0207,Female,4.9,92.2,Yes,No,Medium,No,Medium
STU0208,Female,7.9,90.3,No,Yes,Medium,Yes,Medium
STU0209,Female,10.6,79.3,Yes,No,Low,No,Medium
STU0210,Male,14.1,93.4,No,Yes,Low,Yes,Medium
STU0211,Male,1.7,60.3,Yes,Yes,Medium,Yes,Medium
STU0212,Male,16.2,55.6,Yes,Yes,Medium,Yes,Medium
STU0213,Male,12.9,63.5,Yes,Yes,Low,Yes,Medium
STU0214,Male,2.6,52.9,No,Yes,Medium,Yes,Low
STU0215,Male,17.6,76.6,Yes,No,Low,Yes,Medium
STU0216,Male,18.5,96.8,Yes,Yes,Medium,Yes,High
STU0217,Female,2.2,52.0,Yes,No,Medium,No,Medium
STU0218,Male,6.3,56.1,Yes,Yes,High,No,Medium
STU0219,Female,16.3,72.6,No,Yes,High,Yes,High
STU0220,Male,15.2,96.7,Yes,No,Medium,No,Medium
STU0221,Male,4.5,65.8,Yes,Yes,Medium,No,Medium
STU0222,Male,5.0,75.4,Yes,Yes,Medium,No,Medium
STU0223,Female,8.0,52.1,Yes,No,High,Yes,High
STU0224,Female,10.2,57.4,Yes,Yes,Medium,No,Medium
STU0225,Female,12.7,99.3,Yes,Yes,Low,No,High
STU0226,Female,8.0,98.3,Yes,Yes,Low,No,High
STU0227,Male,9.8,50.2,Yes,No,Medium,Yes,Medium
STU0228,Female,15.2,97.6,Yes,No,Medium,No,High
STU0229,Male,1.7,82.0,Yes,No,High,No,Medium
STU0230,Male,5.8,93.4,Yes,No,Low,No,Medium
STU0231,Female,14.6,72.7,Yes,Yes,Medium,Yes,High
STU0232,Female,18.0,75.8,Yes,Yes,High,Yes,High
STU0233,Female,10.7,74.4,No,No,High,No,Medium
STU0234,Female,11.1,83.3,No,Yes,Medium,No,Medium
STU0235,Female,3.0,57.0,Yes,Yes,Medium,Yes,Medium
STU0236,Female,9.5,51.5,Yes,Yes,Medium,No,Medium
STU0237,Female,11.1,65.4,No,Yes,High,Yes,High
STU0238,Female,5.6,85.2,Yes,No,Low,No,Medium
STU0239,Male,6.1,60.1,Yes,Yes,High,No,Medium
STU0240,Female,8.2,83.7,Yes,Yes,Medium,No,Medium
STU0241,Female,1.4,98.5,Yes,Yes,Medium,No,Medium
STU0242,Male,7.1,54.7,Yes,No,Low,Yes,Medium
STU0243,Female,5.0,83.6,Yes,Yes,Medium,No,Medium
STU0244,Male,7.2,72.2,No,Yes,Medium,Yes,Medium
STU0245,Male,3.3,93.4,No,No,Low,No,Low
STU0246,Female,17.9,58.9,Yes,No,Medium,No,Medium
STU0247,Male,12.3,84.6,Yes,Yes,High,No,High
STU0248,Male,13.9,91.9,Yes,Yes,Medium,Yes,High
STU0249,Male,16.0,97.2,Yes,Yes,High,No,High
STU0250,Male,10.5,84.2,Yes,Yes,Low,Yes,Medium
STU0251,Female,2.7,74.9,Yes,Yes,Medium,Yes,Medium
STU0252,Male,11.2,80.9,No,Yes,Low,No,Medium
STU0253,Female,12.1,93.4,Yes,Yes,Medium,Yes,High
STU0254,Male,15.2,78.5,Yes,Yes,High,No,High
STU0255,Male,9.2,51.5,No,No,Medium,Yes,Low
STU0256,Male,3.4,96.5,Yes,No,Low,Yes,Medium
STU0257,Male,6.4,84.5,Yes,No,Medium,No,Medium
STU0258,Female,7.9,83.8,Yes,Yes,Medium,No,Medium
STU0259,Female,13.3,60.8,Yes,Yes,Medium,Yes,High
STU0260,Male,11.8,82.9,Yes,No,High,No,Medium
STU0261,Male,7.8,69.7,Yes,Yes,High,No,Medium
STU0262,Female,19.7,82.6,Yes,Yes,Medium,No,High
STU0263,Male,12.5,55.3,No,Yes,Medium,Yes,Medium
STU0264,Male,5.5,82.9,Yes,No,Low,No,Medium
STU0265,Male,2.9,100.0,Yes,No,Low,No,Medium
STU0266,Female,3.9,52.4,Yes,Yes,Medium,No,Medium
STU0267,Female,5.7,98.9,Yes,Yes,Medium,Yes,High
STU0268,Female,4.1,70.3,Yes,No,Medium,No,Medium
STU0269,Male,4.5,93.5,Yes,Yes,Medium,No,Medium
STU0270,Male,6.4,89.1,Yes,No,Low,No,Medium
STU0271,Female,4.3,78.4,Yes,No,Medium,Yes,Medium
STU0272,Female,18.0,86.9,Yes,No,Low,No,High
STU0273,Female,2.5,93.9,Yes,Yes,Low,No,Medium
STU0274,Female,11.0,70.2,Yes,Yes,High,Yes,High
STU0275,Male,8.8,66.4,No,Yes,Low,Yes,Medium
STU0276,Female,19.7,83.4,Yes,No,Medium,No,High
STU0277,Male,3.1,90.4,Yes,No,Low,Yes,Medium
STU0278,Female,8.6,88.1,Yes,Yes,High,No,High
STU0279,Male,19.4,89.9,Yes,Yes,Medium,No,High
STU0280,Female,17.4,71.8,Yes,No,Low,No,Medium
STU0281,Female,16.5,90.9,Yes,No,Medium,Yes,High
STU0282,Female,5.9,56.0,Yes,No,High,Yes,Medium
STU0283,Female,4.2,77.2,Yes,Yes,High,No,High
STU0284,Male,13.7,50.3,Yes,Yes,Low,Yes,Medium
STU0285,Female,18.7,66.2,Yes,No,High,No,High
STU0286,Male,11.6,68.3,Yes,No,High,Yes,Medium
STU0287,Male,11.9,69.8,No,Yes,High,Yes,High
STU0288,Male,6.3,84.8,Yes,Yes,Medium,Yes,Medium
STU0289,Male,15.6,69.4,Yes,Yes,Medium,No,Medium
STU0290,Female,4.6,72.4,Yes,Yes,Medium,No,Medium
STU0291,Male,7.1,61.9,Yes,Yes,High,Yes,High
STU0292,Male,9.1,68.7,Yes,No,Medium,Yes,Medium
STU0293,Male,10.6,61.4,Yes,Yes,Medium,Yes,Medium
STU0294,Female,5.6,53.7,Yes,No,Medium,No,Medium
STU0295,Female,3.2,80.2,Yes,Yes,High,Yes,High
STU0296,Female,12.6,83.4,Yes,No,High,No,High
STU0297,Female,6.5,81.0,Yes,No,Low,No,Medium
STU0298,Male,12.0,73.2,Yes,Yes,High,No,High
STU0299,Male,3.9,69.0,Yes,Yes,Medium,Yes,Medium
STU0300,Female,10.1,93.2,Yes,Yes,High,No,High
STU0301,Male,11.1,76.0,Yes,Yes,Medium,Yes,Medium
STU0302,Male,2.0,74.0,Yes,No,Medium,Yes,Medium
STU0303,Male,7.4,51.3,Yes,No,High,No,Medium
STU0304,Female,3.6,67.1,Yes,Yes,Low,No,Medium
STU0305,Female,2.2,69.0,No,Yes,High,Yes,Medium
STU0306,Male,19.8,69.9,Yes,Yes,Medium,Yes,High
STU0307,Female,7.1,79.0,Yes,No,Medium,No,Medium
STU0308,Female,16.4,76.7,Yes,Yes,Medium,Yes,High
STU0309,Female,5.8,80.4,Yes,Yes,Medium,No,Medium
STU0310,Female,13.9,88.2,Yes,No,Medium,No,Medium
STU0311,Female,15.4,90.6,Yes,No,Low,Yes,High
STU0312,Male,12.3,85.9,No,Yes,Low,Yes,Medium
STU0313,Female,10.0,97.8,Yes,No,Low,Yes,Medium
STU0314,Male,8.8,50.9,Yes,Yes,High,No,Medium
STU0315,Male,7.6,59.8,No,Yes,High,No,Medium
STU0316,Female,18.7,50.4,Yes,No,Medium,Yes,High
STU0317,Male,16.8,82.4,Yes,No,High,No,High
STU0318,Male,19.3,94.9,Yes,Yes,Medium,No,High
STU0319,Male,3.4,62.2,Yes,Yes,Medium,Yes,Medium
STU0320,Female,14.9,96.4,Yes,Yes,High,No,High
STU0321,Female,18.8,53.0,No,Yes,High,Yes,High
STU0322,Male,4.4,96.7,Yes,Yes,Medium,Yes,Medium
STU0323,Female,2.3,67.6,Yes,Yes,High,Yes,High
STU0324,Female,15.1,55.1,Yes,Yes,Low,Yes,High
STU0325,Female,11.9,74.3,Yes,No,High,Yes,High
STU0326,Female,17.0,62.8,No,No,Low,Yes,Medium
STU0327,Male,3.7,64.2,Yes,No,Medium,No,Low
STU0328,Male,16.1,65.4,Yes,Yes,Medium,No,Medium
STU0329,Female,4.8,90.2,Yes,No,Medium,No,Medium
STU0330,Female,4.1,77.0,Yes,No,Low,Yes,Medium
STU0331,Male,4.1,65.6,Yes,No,High,Yes,Medium
STU0332,Male,16.5,80.5,Yes,No,Low,Yes,Medium
STU0333,Female,13.6,85.8,Yes,No,Medium,No,Medium
STU0334,Male,10.9,63.6,Yes,Yes,Low,No,Medium
STU0335,Female,7.8,70.7,Yes,Yes,Medium,Yes,Medium
STU0336,Female,17.7,56.1,Yes,No,Medium,Yes,High
STU0337,Male,8.5,59.1,Yes,No,Medium,No,Medium
STU0338,Male,16.5,84.1,Yes,No,Low,Yes,Medium
STU0339,Female,9.3,59.1,Yes,Yes,Low,Yes,Medium
STU0340,Female,8.2,76.3,Yes,Yes,Medium,No,Medium
STU0341,Male,9.8,85.5,Yes,Yes,High,No,High
STU0342,Female,6.7,55.3,Yes,No,High,Yes,Medium
STU0343,Male,15.2,78.4,Yes,Yes,Low,Yes,High
STU0344,Female,10.6,62.8,Yes,Yes,Medium,No,Medium
STU0345,Male,5.4,98.1,No,Yes,Low,Yes,Medium
STU0346,Male,18.1,74.2,Yes,Yes,Low,Yes,High
STU0347,Male,8.3,90.3,Yes,No,Medium,Yes,Medium
STU0348,Female,11.3,77.5,Yes,No,Medium,Yes,Medium
STU0349,Female,18.2,52.2,Yes,No,Low,Yes,High
STU0350,Male,12.9,81.7,Yes,Yes,Low,No,Medium
STU0351,Female,3.2,97.6,Yes,No,Low,Yes,Medium
STU0352,Male,18.9,80.1,No,Yes,High,Yes,High
STU0353,Male,12.9,91.0,Yes,No,High,No,High
STU0354,Female,7.4,94.2,No,Yes,Low,No,Medium
STU0355,Female,3.6,61.4,Yes,Yes,Low,No,Medium
STU0356,Male,16.1,60.6,Yes,No,High,No,Medium
STU0357,Female,12.8,80.5,No,No,High,Yes,High
STU0358,Female,11.1,70.6,Yes,Yes,Medium,No,Medium
STU0359,Male,18.0,92.0,Yes,No,Low,Yes,High
STU0360,Male,16.0,95.0,Yes,Yes,Low,No,High
STU0361,Female,3.9,67.7,Yes,Yes,Medium,Yes,Medium
STU0362,Male,6.9,61.8,Yes,Yes,Medium,No,Medium
STU0363,Male,5.7,89.0,Yes,Yes,Low,No,Medium
STU0364,Female,15.1,63.7,Yes,Yes,Medium,Yes,High
STU0365,Male,1.6,91.1,Yes,Yes,Low,No,Medium
STU0366,Male,11.8,71.2,Yes,Yes,High,No,High
STU0367,Female,15.5,83.4,Yes,No,Medium,No,Medium
STU0368,Female,17.7,54.8,Yes,Yes,Low,Yes,High
STU0369,Male,7.5,81.2,Yes,No,Medium,No,Medium
STU0370,Male,16.6,72.6,Yes,Yes,Medium,Yes,High
STU0371,Female,3.1,79.3,Yes,No,High,Yes,Medium
STU0372,Female,17.1,58.4,Yes,Yes,Medium,Yes,High
STU0373,Female,3.4,86.8,Yes,Yes,Low,Yes,Medium
STU0374,Female,8.5,93.1,Yes,Yes,High,No,High
STU0375,Male,16.1,60.8,Yes,Yes,Low,Yes,Medium
STU0376,Female,3.8,54.8,Yes,Yes,High,No,Medium
STU0377,Female,5.4,51.2,Yes,No,Medium,Yes,Medium
STU0378,Male,14.7,82.1,Yes,No,Medium,Yes,Medium
STU0379,Female,14.7,80.4,Yes,No,Low,Yes,High
STU0380,Male,13.2,77.3,Yes,No,Medium,Yes,Medium
STU0381,Female,14.2,61.6,Yes,Yes,High,Yes,High
STU0382,Female,11.3,69.5,No,Yes,High,Yes,High
STU0383,Female,5.8,79.7,No,Yes,Low,No,Medium
STU0384,Male,7.6,74.8,Yes,Yes,Low,Yes,Medium
STU0385,Male,4.5,99.4,Yes,Yes,High,Yes,High
STU0386,Female,18.3,56.8,Yes,Yes,High,Yes,High
STU0387,Male,12.1,84.8,Yes,Yes,Low,No,Medium
STU0388,Male,8.6,70.2,Yes,Yes,Medium,No,Medium
STU0389,Male,9.8,71.4,Yes,No,Medium,Yes,Medium
STU0390,Male,19.0,85.9,Yes,No,High,Yes,High
STU0391,Male,3.9,84.6,Yes,Yes,Low,Yes,Medium
STU0392,Male,12.1,99.6,Yes,No,Low,No,Medium
STU0393,Female,10.6,56.4,Yes,No,High,Yes,High
STU0394,Female,12.6,55.2,Yes,Yes,Low,Yes,High
STU0395,Male,1.3,86.2,No,Yes,Medium,Yes,Medium
STU0396,Female,17.6,78.9,Yes,Yes,Medium,Yes,High
STU0397,Female,18.7,63.7,Yes,No,Medium,Yes,High
STU0398,Female,11.7,54.0,Yes,No,Medium,No,Medium
STU0399,Female,14.2,54.3,Yes,Yes,Medium,Yes,High
STU0400,Male,18.5,94.7,Yes,Yes,Low,No,High
STU0401,Female,14.4,59.6,Yes,Yes,Medium,Yes,High
STU0402,Female,3.9,66.2,Yes,Yes,High,Yes,High
STU0403,Male,11.9,61.3,Yes,Yes,High,No,High
STU0404,Male,12.5,67.7,Yes,No,Low,Yes,Medium
STU0405,Female,9.1,53.5,Yes,No,Low,No,Medium
STU0406,Female,15.0,76.0,Yes,No,Low,No,Medium
STU0407,Female,18.8,53.4,Yes,No,Medium,Yes,High
STU0408,Female,18.6,90.0,Yes,No,Medium,No,High
STU0409,Female,9.6,61.7,No,Yes,Medium,Yes,Medium
STU0410,Female,3.2,77.0,Yes,No,Low,No,Medium
STU0411,Male,19.7,94.0,Yes,Yes,Low,Yes,High
STU0412,Female,16.9,82.5,Yes,No,Medium,No,High
STU0413,Female,3.4,76.6,Yes,Yes,Medium,Yes,Medium
STU0414,Male,18.5,66.2,Yes,No,Low,No,Medium
STU0415,Male,17.5,66.7,Yes,Yes,Medium,No,Medium
STU0416,Male,10.9,83.5,No,Yes,Low,No,Medium
STU0417,Male,12.2,99.7,Yes,Yes,High,No,High
STU0418,Female,8.6,83.1,Yes,Yes,High,No,High
STU0419,Female,2.0,77.9,Yes,No,Low,No,Medium
STU0420,Female,7.4,86.5,Yes,No,Low,Yes,Medium
STU0421,Female,16.3,73.3,Yes,Yes,Medium,Yes,High
STU0422,Female,1.1,53.0,Yes,Yes,Low,Yes,Medium
STU0423,Female,7.3,78.1,Yes,Yes,Medium,Yes,High
STU0424,Male,8.6,97.9,Yes,Yes,High,Yes,High
STU0425,Female,11.2,58.8,Yes,Yes,Medium,No,Medium
STU0426,Male,18.5,84.5,No,No,High,Yes,High
STU0427,Male,7.6,60.0,Yes,Yes,Medium,No,Medium
STU0428,Female,7.6,76.8,No,Yes,Low,Yes,Medium
STU0429,Male,15.0,54.8,Yes,Yes,High,Yes,High
STU0430,Female,9.6,72.5,No,Yes,Medium,No,Medium
