Study_Hours,Attendance,Assignments_Completed,Grade
2.0634834485949063,61.55373982940357,7,2
7.270634488277356,83.59463717993643,11,0
6.660485621018956,50.98552688771821,8,0
8.897248121743477,55.205429099228695,12,1
7.615639394234972,89.99580426865947,11,1
8.231328373463636,58.927233102716684,9,1
3.538311153141758,82.63730539259373,11,2
2.5969558940175053,61.90913905233633,7,2
7.755532764767725,54.97206963796726,6,2
8.261512653405376,62.1586095499727,10,1
9.91454627800606,86.11334659278296,6,1
4.713559092202838,92.78482340531428,7,1
4.348162772135049,91.51099322834958,10,1
7.987716646677971,69.85917648092274,9,1
4.06723186227716,83.40425682853231,12,0
9.376815930432082,60.24921477079105,13,1
8.725714766587107,64.65738651305067,7,0
4.860946246375165,94.81679092605599,14,1
7.757839610123476,50.6500961755368,7,1
7.7908858667621415,54.2754265427234,7,1
1.9281148195233935,60.394312757301364,10,0
9.1229761601161,51.32661019369099,5,2
5.547271352030714,59.071771754489866,11,1
8.438117194969674,79.15207804848461,5,0
3.880446409275506,71.0712275296249,9,0
9.059709056465804,94.63358555384875,14,1
4.502815108607468,90.87217808692205,12,0
1.0975388633226852,67.0908675848938,8,2
9.148437787773373,62.971171671564626,9,1
1.821580091075202,68.98462040836334,8,2
3.873822738313734,79.51474712574039,8,1
9.550557703457244,63.403182041143815,12,1
9.555464322438006,81.2074453924567,6,1
6.160940993109575,70.47058260956203,5,0
6.686534909528193,77.602359042599,7,1
5.036009697804878,71.80632645676583,13,2
3.638896945282581,64.72328797709588,8,1
3.957980908329244,97.42266534810784,14,1
7.052666104693346,88.18028970798804,9,0
7.77137076493912,57.00565878832263,6,0
8.124211393532637,93.42339879489563,8,0
8.106563285150985,74.37155991247567,6,1
1.8208549274382133,94.72761134470457,6,0
5.449782742323233,89.99276279736577,8,1
1.5180288401497986,71.26067522346167,10,1
5.94575994091362,51.12346541600587,11,1
4.973774512360393,63.4338679692473,14,0
8.989337644824698,77.08171073304334,7,1
4.158235112968708,81.67391099130737,7,2
2.053603147848453,62.894384271660115,14,2
2.2869251384755227,56.96780370364121,10,1
7.85359568545725,91.74651183996495,7,0
6.56396256984635,99.22010903517761,6,2
1.9101040851051123,76.28450911513428,12,2
1.756961255034977,58.583964292415175,9,1
7.30872218313208,63.61536632596845,5,1
1.6548670572777417,50.919533827373336,7,0
8.396740533613206,95.71494032802495,14,1
7.3561800444084655,55.88755414450706,12,1
1.7321390257770979,78.82582377571268,8,0
1.7635394267667273,63.7027610343603,11,2
9.87975620651058,77.70890012578967,14,1
4.368437161805083,82.57101941759322,6,1
4.335779323602019,91.48709018536007,11,0
8.315196105317522,60.32106358803016,9,0
9.525237196454729,50.549791432924025,9,1
9.874009574405838,56.844281503440364,10,1
7.780403667330475,95.00093209240526,13,1
4.386336269778242,93.69450387812577,10,1
1.7515064502880189,79.87065510851542,12,2
7.994322243346931,80.02584302168268,11,0
6.025638247622245,83.25183372731277,13,1
4.817998083222786,58.76856393117248,8,0
9.157189465852625,95.72059729624799,6,1
2.000777340755362,70.93852624460365,11,1
5.433625938617732,69.15692641247487,10,0
1.1021828029067717,75.94588526414188,5,1
5.217945777947136,52.348298338752755,13,1
1.5067294811365362,58.31416843780397,13,2
2.0693612464126474,86.90168082131852,6,2
2.057736220993944,54.139933396256325,7,2
6.842892719044572,80.1576054733194,9,0
7.71440391338881,62.26745548406605,9,0
6.250318885874437,69.46478070209884,5,0
9.659552936270877,64.43468683853499,12,1
4.373835215713337,67.78363582324747,12,2
3.571408776536747,85.95229525921228,8,1
8.817392153705143,64.85608578115875,11,1
3.0123625466750736,78.32023201484486,14,1
9.669002854965502,73.80252010995498,7,1
1.109390272208347,83.1835582681324,10,2
9.728909440368751,96.84148696623791,14,1
1.388439207555185,86.62860486051252,14,0
9.02028802328264,60.74701892953784,13,1
5.749309981776698,51.55915675306424,5,2
9.936683165073703,63.113202214991254,9,1
1.6641690826185898,79.75389653501274,8,0
5.984688559611887,52.57129067421252,12,1
9.72372282057189,74.81831236006181,5,1
5.707880597531339,79.84214244584446,13,1
6.664587743217362,66.71219454084805,10,1
7.261738200861554,88.54561018729109,8,1
5.090869582909959,55.32991265668859,13,1
6.648022720756571,53.75688908679044,9,1
6.258828807307902,86.40943781018017,9,1
9.110422094418901,74.77456581030992,9,1
1.409017423073121,84.4201198213868,5,2
3.528668706330073,71.74136693018731,5,0
9.553703356689029,62.32010166195534,12,1
9.012374055018247,90.95511588371,12,1
5.100910775071417,89.97079394844897,10,1
6.581193380213831,84.73482354272133,8,1
3.496430646830194,63.607256861498136,6,2
2.6930904375138516,79.51153334345435,6,1
5.173285644459839,68.04869484700134,13,1
4.180170052234475,54.579103666331704,9,0
6.252905006657849,95.86567877311214,8,1
1.6996117326848634,56.84093154594807,14,2
9.769553268995498,97.51186769104012,5,1
9.875896700316426,72.30028864789779,11,1
