CustomerID,Age,Annual_Income,Spending_Score,Online_Time(hrs/week),Purchases_per_Month
10080,53,47350,64,32,36
10081,31,113008,38,10,34
10082,48,114297,37,16,36
10083,65,45351,11,7,2
10084,32,108668,77,17,15
10085,25,35305,3,23,34
10086,31,95353,33,26,36
10087,40,96797,6,21,6
10088,57,85953,50,22,39
10089,38,77458,10,7,12
10090,33,40358,5,14,3
10091,62,23267,23,15,18
10092,35,102745,10,7,21
10093,64,109588,44,9,15
10094,41,58513,2,48,33
10095,43,46092,13,8,35
10096,42,31338,40,23,26
10097,62,20412,2,29,8
10098,58,27543,84,18,36
10099,46,53496,65,31,30
10100,32,80692,63,30,23
10101,62,109084,73,39,14
10102,18,112920,17,35,14
10103,42,64425,9,18,2
10104,24,58756,75,42,37
10105,26,38888,15,39,5
10106,41,55735,24,17,38
10107,18,67295,38,14,14
10108,61,103042,35,31,39
10109,25,105999,94,24,25
10110,41,37955,95,35,20
10111,28,57841,49,44,2
10112,68,90640,69,45,39
10113,34,85510,62,34,6
10114,25,54911,60,3,17
10115,52,79031,50,37,25
10116,52,108726,78,43,28
10117,50,27357,75,40,2
10118,22,52479,9,26,35
10119,59,81476,34,23,37
10120,56,64811,76,44,5
10121,58,56208,99,39,1
10122,45,40150,35,15,12
10123,24,91180,1,49,36
10124,26,63286,40,4,23
10125,25,88450,64,29,31
10126,29,41352,22,22,11
10127,51,75069,60,25,10
10128,50,34397,64,13,3
10129,65,61555,93,18,14
10130,40,66959,72,33,16
10131,41,20728,11,16,10
10132,54,70517,14,45,29
10133,52,86234,60,42,10
10134,61,59954,30,44,12
10135,57,67280,35,2,30
10136,39,99459,85,35,1
10137,44,36779,37,42,5
10138,52,83932,5,34,20
10139,18,92936,83,30,8
10140,52,44466,78,13,12
10141,54,56939,26,13,1
10142,64,89896,62,18,20
10143,31,55270,4,32,28
10144,20,79163,89,32,37
10145,18,102637,42,35,37
10146,22,71934,89,39,12
10147,43,84895,18,46,37
10148,31,52307,40,29,28
10149,56,74098,72,49,15
10150,44,80921,39,29,6
10151,26,25486,14,44,20
10152,32,28335,32,16,14
10153,32,106900,51,44,2
10154,43,109112,38,47,9
10155,59,117203,97,10,37
10156,30,31130,23,30,20
10157,68,107508,63,25,26
10158,49,80566,15,39,29
10159,56,86703,97,20,1
10160,66,47192,25,5,35
10161,69,21062,17,1,6
10162,49,104076,97,30,37
10163,21,109780,66,49,5
10164,47,41545,78,3,33
10165,54,41689,53,45,14
10166,40,31174,51,14,12
10167,56,108461,39,30,20
10168,62,29348,51,4,24
10169,32,43714,70,18,34
10170,60,58102,6,37,25
10171,46,94460,67,25,29
10172,53,109930,7,48,39
10173,30,26801,51,1,31
10174,49,92267,72,46,23
10175,24,68136,42,15,38
10176,68,43625,64,9,20
10177,39,102873,15,15,23
10178,45,92592,29,49,16
10179,19,97052,33,24,8
10180,59,64261,94,4,21
10181,62,21542,27,12,1
10182,23,41677,36,37,8
10183,45,66732,29,37,29
10184,45,70343,38,43,32
10185,61,59081,57,6,38
10186,61,82856,97,39,5
10187,37,113105,27,46,22
10188,47,108858,55,24,34
10189,28,39065,33,11,1
10190,45,103460,68,13,26
10191,42,108092,86,34,10
10192,56,74693,66,25,30
10193,50,46962,10,7,18
10194,18,48295,5,4,17
10195,44,33807,74,8,26
10196,69,62348,97,20,8
10197,30,46432,38,29,12
10198,58,103285,13,45,27
10199,20,111792,31,46,8
10200,56,77854,47,10,25
10201,23,60262,88,43,4
10202,25,57080,52,34,33
10203,44,21324,56,26,1
10204,26,111267,15,41,19
10205,54,55909,29,49,31
10206,50,109339,8,3,16
10207,68,39870,5,6,14
10208,59,54578,29,5,5
10209,61,92124,47,5,26
10210,41,46790,68,47,28
10211,32,45289,76,23,2
10212,49,75129,45,49,6
10213,49,113714,2,9,9
10214,41,114246,27,35,33
10215,58,35485,95,20,25
10216,69,64482,36,49,13
10217,66,106188,36,42,9
10218,66,24748,26,35,13
10219,69,106769,43,18,31
10220,29,29435,27,17,11
10221,56,23709,69,24,4
10222,19,50355,20,3,34
10223,20,75771,11,32,38
10224,66,77799,74,35,4
10225,54,33116,38,38,38
10226,66,45470,6,13,19
10227,34,62344,72,47,6
10228,66,62918,23,25,34
10229,19,72224,47,9,18
10230,19,59298,90,4,13
10231,45,100219,46,14,23
10232,40,81629,12,37,19
10233,54,86040,90,34,11
10234,49,119518,13,11,1
10235,50,119835,62,41,24
10236,18,48016,82,3,7
10237,36,43960,89,28,25
10238,19,53591,97,29,21
10239,61,102848,60,9,15
10240,43,87641,43,3,1
10241,49,56395,76,25,12
10242,23,42700,68,34,7
10243,49,54620,5,12,15
10244,21,40559,37,42,21
10245,28,113045,72,9,19
10246,34,113396,92,15,29
10247,55,81642,31,40,25
10248,41,96539,9,25,33
10249,22,41732,51,5,32
10250,69,111362,29,11,35
10251,51,50354,78,34,38
10252,23,33843,40,24,26
10253,39,91726,41,15,11
10254,28,37640,86,38,35
10255,65,72528,11,8,8
10256,33,58413,23,5,14
10257,50,72638,1,48,10
10258,26,72736,46,26,2
10259,23,88866,21,18,9
10260,33,39087,90,6,3
10261,46,61430,36,37,21
10262,20,44504,54,48,26
10263,37,27114,87,13,8
10264,53,98859,57,28,2
10265,36,119657,1,5,6
10266,43,30975,63,13,28
10267,20,31023,54,17,29
10268,36,41447,55,40,26
10269,37,110469,40,45,25
10270,49,43959,15,32,12
10271,24,86203,21,29,5
10272,69,49703,47,3,34
10273,58,29337,73,40,37
10274,50,66427,53,34,15
10275,57,81529,9,40,36
10276,56,104665,74,27,15
10277,35,51921,52,13,23
10278,57,53307,57,45,6
10279,18,47355,26,33,21
10280,28,24835,41,6,23
10281,45,40159,35,24,16
10282,42,67605,63,19,15
10283,67,58088,25,16,25
10284,40,98752,90,40,36
10285,48,75284,75,28,11
10286,47,77043,38,33,15
10287,59,55547,2,48,4
10288,52,117007,7,41,21
10289,24,102844,82,13,13
10290,33,47532,91,43,22
10291,43,54349,34,45,19
10292,65,65445,91,25,34
10293,69,25713,17,42,14
10294,66,76178,43,36,4
10295,19,69407,59,27,27
10296,18,90340,51,38,29
10297,65,70990,54,7,28
10298,29,95672,24,5,35
10299,22,85545,25,43,8
10300,54,104791,71,45,16
10301,49,78141,52,31,36
10302,26,43793,70,23,30
10303,58,76570,88,42,18
10304,52,115084,33,10,2
10305,36,57892,49,32,13
10306,65,21015,29,43,4
10307,33,81813,63,30,26
10308,20,47712,22,39,25
10309,37,28415,26,31,30
10310,41,82292,28,18,11
10311,50,43833,85,36,7
10312,41,24158,49,2,31
10313,69,82680,71,14,10
10314,28,40309,81,13,39
10315,66,26970,84,29,13
10316,25,92474,49,12,31
10317,53,106704,20,39,7
10318,55,66540,86,2,36
10319,57,40384,92,32,20
10320,37,38017,63,13,4
10321,52,95880,61,46,7
10322,65,28702,49,27,1
10323,42,20384,71,49,13
10324,52,20404,1,41,22
10325,42,60943,96,17,21
10326,46,67926,13,40,22
10327,35,49189,94,31,28
10328,63,32763,87,34,9
10329,35,38384,51,24,26
10330,19,80100,56,45,9
10331,52,118142,83,35,15
10332,33,29860,62,48,10
10333,58,100642,32,6,24
10334,53,70612,30,19,8
10335,50,43574,29,30,24
10336,21,43524,49,7,16
10337,50,89172,45,10,26
10338,31,30916,93,41,27
10339,38,24809,30,32,37
10340,65,52201,16,34,4
10341,37,73330,40,28,24
10342,25,33456,19,15,19
10343,24,76397,18,30,36
10344,20,58765,1,37,39
10345,34,54816,78,29,10
10346,50,65106,47,22,25
10347,65,73932,66,4,18
10348,29,37100,92,20,19
10349,68,77091,94,32,36
10350,39,41949,38,36,10
10351,39,90080,51,4,33
10352,63,57744,63,27,5
10353,47,65543,4,17,35
10354,55,112193,1,12,34
10355,55,56187,8,22,33
10356,62,27239,29,17,21
10357,68,34489,55,10,17
10358,25,78017,3,1,22
10359,44,81877,32,22,37
10360,44,63125,10,26,15
10361,51,69922,74,18,35
10362,38,114074,83,14,28
10363,47,52049,34,47,7
10364,50,57131,97,29,32
10365,45,62944,87,12,11
10366,64,93963,55,36,10
10367,50,44285,92,35,9
10368,22,57626,32,12,14
10369,65,62808,50,7,13
10370,36,108464,7,29,25
10371,21,73871,93,11,2
10372,52,39198,8,33,35
10373,66,39758,65,6,7
10374,34,35254,57,47,21
10375,61,64238,67,15,18
10376,45,21252,88,32,3
10377,47,59764,87,11,39
10378,46,97709,59,23,11
10379,63,57441,72,26,39
10380,23,112234,54,34,24
10381,52,73682,67,46,19
10382,58,79494,51,34,4
10383,54,101317,97,29,26
10384,41,85215,92,4,38
10385,46,98587,8,17,32
10386,66,26949,34,35,39
10387,63,75393,35,13,36
10388,48,93553,96,41,37
10389,52,26941,88,39,33
10390,50,45934,78,15,36
10391,69,43386,32,29,3
10392,38,81886,46,29,9
10393,49,95745,16,11,8
10394,40,103251,68,32,33
10395,50,114456,37,2,6
10396,20,73413,54,47,39
10397,35,76800,85,14,4
10398,42,117239,14,20,13
10399,59,62318,95,22,2
10400,48,90173,55,11,5
10401,20,90390,48,27,27
10402,57,72329,82,3,32
10403,63,63088,7,17,21
10404,41,59811,74,44,8
10405,67,75479,7,28,38
10406,49,105392,33,29,8
10407,64,107369,23,21,3
10408,39,39963,85,47,3
10409,40,75123,19,16,22
10410,19,112705,19,37,6
10411,44,93477,36,20,2
10412,59,34388,29,6,23
10413,19,25569,60,19,2
10414,43,89836,82,5,38
10415,34,56586,2,3,17
10416,57,32015,1,1,35
10417,50,65002,47,38,34
10418,26,26254,69,15,23
10419,60,37144,20,34,30
10420,65,44214,11,35,8
10421,56,100719,2,49,22
10422,46,91774,67,25,36
10423,59,26090,87,24,5
10424,43,31637,12,12,13
10425,52,42415,20,18,29
10426,67,44071,5,15,31
10427,42,78243,37,44,16
10428,41,61240,38,16,30
10429,30,103807,94,27,16
10430,24,53434,9,8,12
10431,53,89724,98,46,17
10432,62,95697,53,25,16
10433,37,48732,44,17,12
10434,18,31314,99,29,8
10435,25,43954,86,8,20
10436,63,77108,24,15,3
10437,33,107044,81,27,16
10438,31,107505,74,46,30
10439,29,56668,30,7,23
10440,68,43061,59,3,28
10441,40,99252,87,29,5
10442,32,59749,96,44,20
10443,45,36907,81,24,1
10444,51,38777,81,3,30
10445,19,113229,14,20,21
10446,49,71745,9,46,20
10447,40,111865,40,15,6
10448,39,101818,66,25,22
10449,68,43624,25,30,18
10450,42,43321,73,14,8
10451,39,30488,22,7,39
10452,39,42574,4,17,32
10453,66,25240,26,44,33
10454,69,63221,58,20,16
10455,59,30478,29,36,12
10456,23,75645,98,9,38
10457,32,39262,87,38,34
10458,60,72796,37,48,14
10459,54,24432,75,22,36
10460,50,115257,70,2,33
10461,25,84291,18,24,23
10462,61,99104,85,8,2
10463,61,79399,42,11,21
10464,22,99714,41,13,2
10465,56,70428,38,17,27
10466,21,107731,34,8,9
10467,23,20302,17,21,1
10468,62,102558,37,18,11
10469,49,20055,25,30,3
10470,69,28717,76,18,23
10471,47,48699,87,46,26
10472,64,93686,86,47,4
10473,52,87661,85,31,18
10474,57,64247,27,38,6
10475,69,36748,57,32,35
10476,33,24621,31,11,22
10477,30,35034,6,45,15
10478,67,25126,91,25,22
10479,59,25122,40,33,37
10480,47,38030,98,38,12
10481,36,102838,12,41,38
10482,34,104717,53,8,18
10483,36,75658,71,11,35
10484,45,58638,10,22,30
10485,43,87067,45,24,24
10486,54,108869,17,41,30
10487,43,54674,26,17,14
10488,40,55854,85,12,6
10489,26,66271,92,46,3
10490,29,93688,62,32,16
10491,18,58518,46,15,7
10492,18,30267,64,16,14
10493,64,110825,2,22,9
10494,51,21062,54,28,15
10495,49,70448,65,20,21
10496,65,115462,51,33,35
10497,42,26229,53,10,2
10498,57,76793,36,40,27
10499,62,67915,26,32,2
10500,18,24632,29,33,35
