Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Gender,Married,Education,Self_Employed,Property_Area,Loan_Status
4624,13068,301,36,1,Female,No,Graduate,No,Rural,0
23323,4563,69,240,0,Female,No,Graduate,No,Semiurban,0
3442,1297,419,360,1,Female,Yes,Not Graduate,No,Semiurban,0
11018,2994,461,300,1,Male,No,Graduate,Yes,Urban,0
11610,12337,663,12,0,Male,No,Graduate,No,Rural,0
16029,11219,562,360,1,Male,No,Not Graduate,Yes,Semiurban,0
17631,14634,620,120,0,Male,Yes,Not Graduate,No,Semiurban,0
22891,10976,684,36,1,Female,No,Not Graduate,No,Urban,0
11981,3924,524,60,0,Male,Yes,Not Graduate,Yes,Semiurban,0
19773,3373,400,300,1,Female,Yes,Not Graduate,Yes,Rural,0
13418,8215,529,300,1,Male,No,Graduate,Yes,Rural,0
12960,3035,389,120,1,Female,No,Not Graduate,No,Rural,1
9950,2052,308,360,1,Male,No,Not Graduate,No,Urban,1
10447,3997,193,60,0,Male,No,Graduate,No,Urban,0
5316,5418,352,12,1,Female,Yes,Graduate,Yes,Semiurban,1
22839,5940,115,12,0,Female,Yes,Graduate,Yes,Rural,0
19334,7063,86,60,1,Male,Yes,Not Graduate,No,Rural,1
24471,11878,262,12,1,Male,Yes,Not Graduate,No,Urban,1
19537,5517,436,300,1,Male,Yes,Graduate,Yes,Rural,0
10747,1763,366,120,0,Female,No,Graduate,Yes,Semiurban,0
5258,3491,397,12,1,Male,Yes,Graduate,Yes,Rural,1
11573,14489,522,36,1,Female,No,Not Graduate,Yes,Urban,0
10887,1782,573,12,0,Female,No,Graduate,No,Rural,0
8578,7948,427,360,0,Male,No,Graduate,No,Urban,0
12196,4327,452,60,1,Female,Yes,Graduate,Yes,Rural,0
9992,11028,573,60,0,Female,Yes,Graduate,No,Urban,0
3329,2393,161,120,1,Female,No,Not Graduate,No,Urban,0
18140,5473,200,300,1,Female,Yes,Graduate,Yes,Rural,1
6626,4647,283,84,0,Female,No,Not Graduate,No,Urban,0
11729,11469,532,360,1,Female,No,Not Graduate,No,Semiurban,0
16387,14292,186,12,1,Female,Yes,Not Graduate,No,Rural,1
7036,810,262,360,0,Male,No,Graduate,No,Semiurban,0
10534,570,578,12,1,Female,No,Graduate,No,Semiurban,0
16851,2608,51,180,0,Male,No,Not Graduate,No,Semiurban,0
21093,10414,380,84,1,Male,No,Graduate,Yes,Urban,1
4521,14065,246,84,1,Male,No,Not Graduate,Yes,Rural,0
11705,7314,211,60,1,Male,No,Graduate,No,Urban,1
7474,8075,291,12,1,Male,No,Not Graduate,No,Semiurban,1
8027,291,299,84,1,Female,No,Graduate,No,Rural,1
13523,377,534,12,1,Female,No,Graduate,Yes,Urban,0
11438,10077,145,36,1,Male,Yes,Graduate,Yes,Rural,1
18646,1899,443,240,1,Female,No,Graduate,Yes,Semiurban,0
16601,10272,536,60,0,Male,No,Graduate,No,Rural,0
19495,8811,126,36,1,Female,Yes,Graduate,Yes,Urban,1
11230,1406,180,360,0,Male,No,Graduate,No,Urban,0
16310,342,251,120,1,Male,No,Graduate,Yes,Urban,1
16803,9021,180,120,0,Male,Yes,Not Graduate,No,Semiurban,0
3222,1960,128,84,1,Female,No,Not Graduate,Yes,Rural,0
8284,460,112,84,1,Male,No,Not Graduate,Yes,Rural,1
2438,2267,506,360,1,Female,No,Not Graduate,Yes,Semiurban,0
4587,11483,486,60,1,Male,No,Graduate,No,Urban,0
13046,13074,65,60,1,Male,Yes,Graduate,No,Rural,1
9569,13412,521,120,1,Female,No,Graduate,Yes,Urban,0
14221,11806,261,360,0,Male,Yes,Graduate,Yes,Rural,0
20286,1585,207,180,1,Female,No,Graduate,No,Semiurban,1
22298,10921,318,60,1,Male,Yes,Graduate,No,Semiurban,1
22084,12134,245,240,1,Female,No,Graduate,No,Urban,1
22579,8208,184,60,1,Male,No,Graduate,Yes,Semiurban,1
20625,731,489,84,0,Male,Yes,Graduate,Yes,Rural,0
4863,14019,611,300,1,Male,Yes,Graduate,Yes,Rural,0
20925,6917,533,240,0,Male,No,Graduate,Yes,Urban,0
14304,9531,262,240,1,Female,No,Graduate,No,Rural,1
3669,8978,79,60,0,Male,No,Not Graduate,No,Rural,0
11325,10937,88,300,1,Female,No,Not Graduate,No,Rural,1
7206,2262,687,180,1,Male,Yes,Graduate,No,Urban,0
6142,1575,395,300,1,Male,No,Graduate,No,Urban,1
10463,4908,388,84,0,Male,Yes,Not Graduate,No,Semiurban,0
21771,12329,575,240,1,Male,Yes,Not Graduate,Yes,Semiurban,0
16632,10053,488,60,1,Female,No,Not Graduate,No,Urban,0
13565,5271,89,120,1,Female,Yes,Graduate,Yes,Semiurban,1
21889,6805,363,84,1,Male,Yes,Not Graduate,Yes,Rural,1
11635,14388,592,60,1,Female,No,Not Graduate,No,Semiurban,0
5997,3796,696,240,1,Male,No,Not Graduate,Yes,Urban,0
19363,4429,304,36,1,Male,No,Graduate,No,Rural,1
14125,13463,146,300,0,Male,No,Graduate,Yes,Rural,0
19894,7064,634,240,1,Male,Yes,Not Graduate,Yes,Urban,0
2321,8336,371,240,1,Female,Yes,Graduate,No,Urban,0
22340,2170,685,120,1,Male,Yes,Graduate,No,Urban,0
6862,3186,175,360,0,Male,Yes,Not Graduate,Yes,Semiurban,0
20380,12286,504,12,1,Male,Yes,Graduate,No,Urban,0
10515,9069,118,300,0,Male,Yes,Graduate,No,Urban,0
13911,930,257,240,1,Female,Yes,Not Graduate,Yes,Semiurban,1
11190,5328,255,36,0,Female,No,Graduate,No,Semiurban,0
22568,6711,493,180,1,Female,No,Not Graduate,Yes,Urban,0
17501,5403,506,36,1,Female,No,Not Graduate,No,Rural,0
23868,8897,567,360,1,Male,Yes,Graduate,No,Urban,0
3343,12833,478,360,1,Male,No,Not Graduate,No,Semiurban,0
22388,3136,481,84,1,Female,Yes,Graduate,No,Rural,0
20912,10862,424,360,1,Female,Yes,Graduate,Yes,Urban,0
3401,1919,662,60,0,Male,Yes,Graduate,Yes,Urban,0
18808,5762,307,36,0,Female,No,Graduate,No,Urban,0
17832,8634,620,60,1,Male,Yes,Graduate,No,Semiurban,0
17220,7991,598,60,1,Female,Yes,Graduate,Yes,Rural,0
17295,3093,347,12,0,Male,Yes,Not Graduate,No,Urban,0
24586,12713,539,180,1,Female,No,Not Graduate,No,Semiurban,0
22557,10627,260,360,0,Male,No,Not Graduate,Yes,Urban,0
17566,99,156,240,0,Female,No,Graduate,No,Rural,0
22870,7910,221,300,1,Male,No,Graduate,Yes,Semiurban,1
23726,1803,258,180,1,Female,Yes,Not Graduate,No,Semiurban,1
7318,11556,369,180,1,Male,No,Not Graduate,Yes,Semiurban,1
23032,13039,53,120,1,Male,Yes,Not Graduate,Yes,Semiurban,1
14151,5672,235,360,0,Female,Yes,Graduate,Yes,Urban,0
20378,1081,206,60,1,Female,Yes,Graduate,No,Semiurban,1
9244,2110,372,360,0,Female,No,Not Graduate,No,Rural,0
10652,9542,522,120,1,Male,No,Not Graduate,No,Semiurban,0
19898,13790,415,60,1,Male,No,Not Graduate,No,Semiurban,0
14923,13188,518,300,1,Female,Yes,Not Graduate,No,Semiurban,0
6231,8282,127,360,1,Female,No,Graduate,No,Semiurban,1
17117,13656,536,360,1,Male,Yes,Graduate,No,Rural,0
3452,3600,473,240,1,Male,Yes,Not Graduate,Yes,Semiurban,0
2763,6043,514,240,1,Female,Yes,Graduate,No,Semiurban,0
7879,10102,468,180,1,Male,No,Not Graduate,Yes,Semiurban,0
18041,10138,236,36,1,Male,Yes,Not Graduate,No,Urban,1
3230,14772,552,360,0,Female,Yes,Not Graduate,No,Semiurban,0
5512,8880,580,84,1,Female,No,Not Graduate,No,Rural,0
16807,4188,67,60,0,Male,Yes,Graduate,Yes,Urban,0
6671,11579,400,84,0,Female,Yes,Not Graduate,No,Semiurban,0
10673,9754,352,360,0,Female,No,Graduate,No,Rural,0
20947,592,203,360,1,Male,Yes,Graduate,No,Rural,1
10209,8828,346,12,1,Female,No,Not Graduate,No,Semiurban,1
15400,7205,171,120,1,Male,Yes,Graduate,No,Urban,1
21671,1359,642,84,1,Female,No,Graduate,No,Urban,0
14485,1928,195,300,1,Male,Yes,Graduate,Yes,Rural,1
12849,12032,253,84,1,Female,No,Not Graduate,Yes,Semiurban,1
12802,3592,391,60,1,Female,No,Graduate,No,Semiurban,1
15442,1329,598,180,1,Male,No,Graduate,No,Rural,0
10121,3526,94,60,0,Female,No,Not Graduate,Yes,Semiurban,0
11123,7915,444,120,0,Male,No,Not Graduate,Yes,Semiurban,0
7650,9124,190,360,0,Female,Yes,Not Graduate,No,Rural,0
12715,8946,616,240,1,Female,No,Graduate,Yes,Urban,0
14214,8699,661,360,0,Female,Yes,Not Graduate,No,Rural,0
12743,14846,394,84,1,Female,No,Graduate,Yes,Rural,1
6169,4229,617,360,0,Male,No,Not Graduate,Yes,Semiurban,0
17313,2212,179,60,1,Male,Yes,Graduate,Yes,Rural,1
21006,9341,694,12,1,Female,Yes,Not Graduate,Yes,Rural,0
20115,2854,418,360,1,Male,Yes,Graduate,Yes,Urban,0
20059,14979,312,60,1,Female,Yes,Graduate,Yes,Rural,1
23914,1444,204,60,0,Male,No,Graduate,Yes,Rural,0
12332,5321,208,60,1,Male,No,Graduate,Yes,Urban,1
21331,8034,538,180,1,Female,Yes,Graduate,No,Urban,0
8701,11783,305,36,1,Male,Yes,Graduate,Yes,Rural,1
16970,8726,159,36,1,Female,Yes,Graduate,Yes,Urban,1
22922,1267,658,180,1,Male,No,Graduate,Yes,Urban,0
17547,1862,183,360,1,Female,No,Graduate,Yes,Rural,1
21227,3444,564,84,0,Female,Yes,Graduate,No,Semiurban,0
18825,9406,531,36,1,Male,Yes,Graduate,Yes,Urban,0
6718,1601,572,240,1,Female,No,Graduate,Yes,Semiurban,0
13771,2341,280,240,1,Female,Yes,Not Graduate,Yes,Semiurban,1
22739,12947,493,36,1,Female,No,Graduate,No,Urban,0
7731,1950,411,36,1,Male,No,Not Graduate,No,Semiurban,0
12958,3741,111,120,0,Male,Yes,Graduate,Yes,Urban,0
23845,6319,73,84,0,Male,No,Not Graduate,No,Urban,0
21958,11992,627,180,1,Male,Yes,Graduate,Yes,Rural,0
11528,12297,616,180,0,Female,Yes,Graduate,Yes,Urban,0
17319,699,341,360,0,Male,Yes,Not Graduate,Yes,Rural,0
18996,6224,463,360,0,Male,No,Not Graduate,No,Semiurban,0
9044,12168,365,120,0,Male,No,Graduate,Yes,Rural,0
6421,3946,492,12,0,Female,Yes,Graduate,Yes,Urban,0
12552,13113,568,300,1,Male,No,Not Graduate,No,Semiurban,0
16985,1951,50,36,1,Female,Yes,Graduate,No,Urban,1
12913,1111,632,240,1,Female,Yes,Graduate,No,Semiurban,0
7189,2447,194,60,0,Female,No,Not Graduate,No,Semiurban,0
12876,109,302,120,1,Female,No,Graduate,No,Semiurban,1
13657,10658,525,60,0,Female,Yes,Graduate,Yes,Rural,0
13515,11508,336,240,1,Female,Yes,Graduate,Yes,Rural,1
7660,14698,593,120,0,Female,Yes,Graduate,Yes,Urban,0
14610,942,302,180,1,Male,No,Graduate,No,Urban,1
11956,1517,535,240,0,Female,Yes,Graduate,Yes,Semiurban,0
20179,3728,244,180,1,Male,No,Graduate,No,Semiurban,1
18131,7964,682,300,0,Male,Yes,Not Graduate,Yes,Semiurban,0
19115,7736,348,12,1,Male,Yes,Not Graduate,No,Rural,1
21749,13794,517,84,0,Male,Yes,Not Graduate,No,Urban,0
6951,12483,80,240,1,Female,No,Not Graduate,No,Rural,1
16165,7174,570,120,0,Female,Yes,Graduate,No,Rural,0
14953,9874,685,360,0,Male,Yes,Graduate,No,Rural,0
16737,14830,494,360,0,Male,Yes,Graduate,No,Rural,0
7306,13928,432,300,1,Female,No,Graduate,No,Rural,0
2194,4309,520,240,1,Female,No,Graduate,No,Urban,0
7421,8708,137,36,1,Female,No,Not Graduate,No,Urban,1
21466,2224,143,240,0,Male,No,Not Graduate,No,Rural,0
19141,12798,70,84,1,Male,No,Graduate,Yes,Rural,1
23472,10719,165,360,0,Male,No,Graduate,No,Semiurban,0
19689,1787,333,60,1,Female,Yes,Graduate,No,Urban,1
22835,11136,671,60,0,Male,Yes,Graduate,Yes,Urban,0
13843,13247,64,240,1,Male,No,Not Graduate,Yes,Urban,1
24131,4563,99,120,1,Female,Yes,Not Graduate,Yes,Urban,1
5393,2936,296,12,1,Female,Yes,Not Graduate,Yes,Urban,1
18838,10613,652,36,1,Male,Yes,Not Graduate,Yes,Rural,0
20275,5039,84,180,1,Male,Yes,Graduate,No,Rural,1
5026,4580,492,360,0,Female,Yes,Not Graduate,Yes,Rural,0
8364,8699,409,84,1,Female,Yes,Not Graduate,No,Rural,0
24950,13451,370,300,1,Male,No,Graduate,Yes,Semiurban,1
12408,2065,218,240,1,Female,No,Graduate,No,Rural,1
11705,3700,226,240,0,Female,No,Not Graduate,No,Rural,0
24743,8492,308,36,1,Male,No,Not Graduate,No,Semiurban,1
10936,3634,657,360,1,Male,Yes,Not Graduate,Yes,Semiurban,0
17765,6641,163,360,1,Male,Yes,Graduate,Yes,Semiurban,1
8962,14340,407,240,0,Male,Yes,Not Graduate,No,Urban,0
24436,3486,615,180,1,Male,Yes,Not Graduate,No,Semiurban,0
2604,705,311,360,1,Female,No,Graduate,Yes,Semiurban,0
8115,11052,597,180,1,Female,Yes,Not Graduate,Yes,Semiurban,0
8483,2618,134,12,0,Female,Yes,Not Graduate,Yes,Semiurban,0
24865,1921,356,60,1,Female,Yes,Graduate,Yes,Urban,1
13239,10577,139,36,1,Male,No,Graduate,Yes,Urban,1
3132,695,52,60,1,Female,No,Not Graduate,No,Semiurban,0
4621,1826,351,360,1,Female,Yes,Not Graduate,Yes,Rural,0
15301,5035,359,120,1,Female,No,Graduate,No,Semiurban,1
6343,6808,186,300,1,Male,Yes,Graduate,Yes,Urban,1
14023,4879,87,12,1,Female,Yes,Graduate,Yes,Urban,1
13278,14649,474,360,1,Female,No,Graduate,Yes,Semiurban,0
4878,13608,419,360,0,Female,No,Not Graduate,No,Urban,0
2924,6443,386,84,1,Male,Yes,Graduate,Yes,Semiurban,0
24766,3693,175,300,0,Female,Yes,Graduate,Yes,Urban,0
11342,14995,518,360,0,Male,Yes,Not Graduate,No,Urban,0
4191,6714,156,240,1,Male,No,Graduate,Yes,Urban,0
10113,1731,621,84,1,Female,No,Graduate,No,Semiurban,0
4512,7028,228,360,0,Female,Yes,Graduate,No,Semiurban,0
2639,3359,276,300,1,Female,No,Graduate,Yes,Rural,0
14782,3315,180,12,1,Male,No,Graduate,No,Semiurban,1
5054,2387,197,180,0,Female,Yes,Graduate,No,Rural,0
13860,14271,162,360,1,Female,Yes,Graduate,No,Urban,1
3771,14630,422,120,0,Female,No,Not Graduate,No,Urban,0
8895,12686,327,36,1,Female,Yes,Graduate,No,Urban,1
7338,10641,521,120,1,Female,Yes,Graduate,No,Semiurban,0
16852,4034,92,180,1,Male,No,Not Graduate,No,Rural,1
14437,11463,482,120,0,Female,Yes,Not Graduate,Yes,Urban,0
18928,2844,206,12,1,Female,No,Graduate,Yes,Urban,1
17745,14791,637,240,0,Female,Yes,Graduate,Yes,Rural,0
16178,4224,520,120,1,Male,No,Graduate,Yes,Semiurban,0
16442,10602,106,60,1,Female,No,Not Graduate,No,Urban,1
15778,2165,464,360,1,Female,No,Not Graduate,Yes,Urban,0
20023,14548,681,84,1,Female,Yes,Not Graduate,No,Rural,0
3594,2278,600,300,1,Female,No,Graduate,No,Semiurban,0
10102,14380,649,60,1,Female,No,Not Graduate,Yes,Rural,0
23393,2625,345,120,0,Female,No,Not Graduate,Yes,Semiurban,0
9341,7457,531,180,0,Female,Yes,Not Graduate,No,Urban,0
21222,4500,664,36,1,Female,Yes,Graduate,Yes,Rural,0
14341,14511,129,84,0,Male,Yes,Not Graduate,No,Semiurban,0
12201,4256,242,180,1,Female,No,Graduate,Yes,Semiurban,1
10522,1911,583,180,1,Male,Yes,Graduate,No,Urban,0
20927,4198,447,36,0,Male,Yes,Graduate,Yes,Semiurban,0
22259,10168,532,300,1,Female,Yes,Not Graduate,Yes,Urban,0
2881,3623,424,120,1,Male,No,Graduate,Yes,Urban,0
16686,1222,419,84,1,Female,No,Not Graduate,Yes,Urban,0
14871,1550,236,84,0,Female,Yes,Graduate,Yes,Urban,0
21957,8648,500,120,1,Male,Yes,Graduate,Yes,Semiurban,0
7971,4765,503,180,1,Female,No,Not Graduate,Yes,Semiurban,0
23366,10027,300,360,1,Male,No,Graduate,Yes,Semiurban,1
21485,6770,94,60,0,Male,No,Not Graduate,No,Rural,0
10485,1718,296,84,1,Male,No,Graduate,Yes,Rural,1
10325,6395,268,12,1,Female,No,Graduate,No,Urban,1
9249,1524,572,120,1,Female,No,Graduate,Yes,Rural,0
12829,11280,371,360,1,Male,No,Graduate,Yes,Urban,1
16361,2021,109,12,1,Male,No,Not Graduate,Yes,Urban,1
10801,1958,253,360,0,Male,No,Not Graduate,Yes,Urban,0
14917,14127,362,12,1,Male,No,Graduate,Yes,Rural,1
8621,10068,649,60,1,Male,No,Graduate,No,Rural,0
22934,3970,73,36,1,Female,Yes,Graduate,Yes,Urban,1
4490,1444,409,240,1,Female,Yes,Not Graduate,No,Rural,0
7533,4092,70,300,1,Male,Yes,Graduate,No,Urban,1
16929,6416,627,300,0,Female,Yes,Graduate,Yes,Semiurban,0
5358,6736,537,240,1,Female,Yes,Graduate,No,Semiurban,0
24967,11765,164,300,0,Female,No,Not Graduate,No,Rural,0
10656,3786,104,300,1,Male,No,Not Graduate,Yes,Rural,1
21468,4297,123,360,0,Male,Yes,Not Graduate,No,Semiurban,0
7722,7872,348,300,1,Male,No,Graduate,No,Urban,1
13731,201,127,12,1,Female,Yes,Graduate,Yes,Rural,1
16428,1560,650,36,1,Female,Yes,Graduate,No,Semiurban,0
22006,2575,528,120,1,Male,No,Graduate,Yes,Semiurban,0
11570,4790,208,12,1,Female,Yes,Graduate,Yes,Rural,1
3543,11365,661,84,1,Female,Yes,Graduate,Yes,Urban,0
8309,10485,555,84,1,Female,No,Graduate,Yes,Rural,0
10206,5919,394,84,1,Female,Yes,Not Graduate,No,Urban,1
14913,3262,208,180,1,Male,No,Not Graduate,No,Urban,1
14928,51,136,180,0,Male,Yes,Not Graduate,No,Urban,0
15954,7448,611,120,0,Male,Yes,Not Graduate,No,Semiurban,0
18358,4492,322,240,1,Male,No,Not Graduate,No,Rural,1
11253,11626,375,84,1,Male,Yes,Graduate,No,Semiurban,1
9087,13903,310,60,0,Male,No,Graduate,Yes,Semiurban,0
23566,7537,151,36,0,Male,Yes,Not Graduate,Yes,Semiurban,0
9229,2920,381,120,0,Female,No,Graduate,No,Rural,0
11084,13651,241,12,1,Female,No,Graduate,No,Semiurban,1
10553,14875,361,240,0,Female,No,Not Graduate,Yes,Urban,0
11297,7355,304,360,0,Female,Yes,Graduate,Yes,Urban,0
12462,11271,149,36,0,Male,Yes,Graduate,No,Urban,0
12682,9720,519,60,1,Female,Yes,Not Graduate,No,Semiurban,0
21462,2462,254,36,1,Male,No,Graduate,Yes,Rural,1
22324,2037,511,120,0,Male,No,Graduate,No,Semiurban,0
12202,13531,119,36,1,Male,No,Graduate,No,Urban,1
20673,5596,463,120,1,Male,No,Graduate,No,Semiurban,0
8086,9833,680,240,1,Female,No,Not Graduate,Yes,Semiurban,0
22321,2365,116,240,1,Male,Yes,Graduate,Yes,Rural,1
9427,4001,314,12,1,Male,Yes,Not Graduate,No,Semiurban,1
19512,7780,56,36,0,Male,No,Graduate,Yes,Rural,0
3662,8105,181,60,1,Male,Yes,Graduate,No,Urban,0
8477,14075,81,360,1,Female,No,Not Graduate,Yes,Urban,1
4654,979,266,300,1,Male,No,Not Graduate,No,Rural,0
12405,5060,145,12,1,Male,No,Not Graduate,Yes,Rural,1
15139,11354,512,120,1,Female,Yes,Not Graduate,Yes,Rural,0
11986,8804,463,84,1,Male,No,Not Graduate,No,Semiurban,0
11440,7460,204,180,0,Male,No,Not Graduate,No,Urban,0
15838,11294,163,120,0,Female,Yes,Graduate,No,Rural,0
22994,9376,332,300,1,Female,No,Graduate,No,Urban,1
15147,14063,247,120,1,Female,No,Graduate,Yes,Rural,1
14654,9823,226,12,1,Male,Yes,Graduate,No,Urban,1
13502,848,684,300,0,Male,No,Not Graduate,Yes,Semiurban,0
19056,5034,612,84,1,Female,Yes,Not Graduate,No,Semiurban,0
6050,3862,262,360,0,Female,Yes,Not Graduate,Yes,Rural,0
4999,11247,422,180,1,Female,Yes,Not Graduate,Yes,Rural,0
4425,8108,584,60,1,Female,Yes,Not Graduate,No,Semiurban,0
11504,12328,536,84,0,Female,Yes,Not Graduate,No,Semiurban,0
23251,13540,585,84,1,Female,No,Graduate,Yes,Semiurban,0
20143,3834,623,120,0,Male,No,Not Graduate,Yes,Urban,0
23737,4984,346,300,0,Male,Yes,Graduate,Yes,Semiurban,0
15559,11856,336,36,0,Female,Yes,Graduate,No,Semiurban,0
6976,9839,557,360,1,Male,Yes,Graduate,Yes,Semiurban,0
20139,3601,412,36,1,Female,Yes,Not Graduate,Yes,Urban,0
18206,3981,52,240,1,Male,Yes,Graduate,Yes,Semiurban,1
20543,11259,390,12,0,Female,Yes,Not Graduate,No,Rural,0
3557,6031,584,12,0,Female,No,Graduate,Yes,Semiurban,0
4747,2172,657,12,1,Male,Yes,Not Graduate,No,Urban,0
17188,5399,655,300,0,Male,No,Not Graduate,Yes,Semiurban,0
22550,7654,567,84,1,Female,Yes,Not Graduate,Yes,Rural,0
21645,1730,111,120,1,Male,No,Not Graduate,No,Semiurban,1
6344,11148,184,120,1,Female,Yes,Not Graduate,No,Semiurban,1
9384,12070,295,360,1,Female,Yes,Not Graduate,Yes,Semiurban,1
21679,13332,67,84,1,Female,No,Not Graduate,Yes,Semiurban,1
13585,8764,346,240,1,Female,Yes,Graduate,Yes,Urban,1
2016,6034,351,36,1,Female,No,Graduate,No,Rural,0
23978,11983,384,36,1,Female,No,Graduate,No,Rural,1
21329,1307,56,240,1,Male,No,Not Graduate,No,Urban,1
23639,11332,540,120,1,Male,No,Not Graduate,No,Rural,0
20725,8583,144,360,1,Female,Yes,Graduate,Yes,Semiurban,1
17763,3470,50,84,0,Female,Yes,Not Graduate,Yes,Urban,0
22223,7669,119,84,1,Female,No,Graduate,Yes,Semiurban,1
6976,10440,79,84,1,Female,Yes,Graduate,No,Semiurban,1
2191,1937,628,240,1,Female,Yes,Not Graduate,No,Rural,0
9908,531,356,240,1,Male,No,Not Graduate,No,Rural,1
13128,2275,678,120,1,Female,No,Graduate,Yes,Semiurban,0
13668,11948,348,240,1,Female,Yes,Not Graduate,Yes,Semiurban,1
9454,747,169,300,1,Female,No,Graduate,Yes,Urban,1
19619,7833,328,360,1,Female,Yes,Not Graduate,Yes,Urban,1
15125,10177,204,12,0,Female,No,Not Graduate,Yes,Urban,0
18497,933,253,300,1,Female,Yes,Graduate,Yes,Semiurban,1
4446,10117,210,36,0,Female,Yes,Not Graduate,No,Semiurban,0
17132,8194,649,180,0,Male,No,Not Graduate,Yes,Semiurban,0
4625,7060,154,300,1,Male,No,Graduate,Yes,Rural,0
7397,3542,394,300,1,Female,Yes,Not Graduate,No,Semiurban,1
6028,13104,140,300,0,Male,No,Graduate,No,Semiurban,0
8139,2553,533,12,1,Male,Yes,Not Graduate,Yes,Semiurban,0
23020,6227,340,36,1,Male,Yes,Graduate,No,Rural,1
23288,6572,97,120,1,Male,Yes,Not Graduate,Yes,Urban,1
5092,7453,398,36,1,Female,No,Not Graduate,Yes,Semiurban,1
24966,2043,450,36,1,Male,Yes,Not Graduate,No,Semiurban,0
7880,11679,167,360,1,Male,Yes,Not Graduate,Yes,Semiurban,1
23087,8559,609,240,1,Male,No,Graduate,No,Rural,0
14255,2817,259,240,0,Female,No,Graduate,Yes,Semiurban,0
9790,2991,601,300,1,Male,No,Not Graduate,Yes,Urban,0
12987,359,255,240,0,Female,No,Graduate,No,Rural,0
20983,1830,65,36,1,Male,No,Not Graduate,No,Urban,1
10473,14181,196,60,1,Male,No,Graduate,Yes,Urban,1
2687,9887,570,240,1,Female,Yes,Graduate,Yes,Semiurban,0
12114,4890,334,180,1,Male,Yes,Graduate,No,Semiurban,1
9391,14859,304,36,0,Male,No,Graduate,No,Rural,0
12080,10157,300,12,1,Male,Yes,Graduate,No,Urban,1
15609,6614,435,36,1,Male,Yes,Graduate,No,Rural,0
19484,1870,618,60,1,Female,Yes,Not Graduate,Yes,Urban,0
18170,11451,85,12,1,Male,No,Graduate,No,Semiurban,1
