UserID,Session_Time_Min,Pages_Visited,Clicks,Bounce_Rate,Items_Added_To_Cart,Purchase_Amount
159,170,3,184,87.98,12,2428.73
160,64,6,87,63.82,12,676.07
161,4,1,18,11.97,13,4048.23
162,18,17,83,47.21,12,4052.5
163,89,3,154,76.21,3,2191.8
164,98,3,161,50.84,3,3567.89
165,51,9,61,37.53,14,539.57
166,102,18,64,78.89,14,608.0
167,131,33,107,56.21,6,1991.57
168,147,43,53,50.35,5,1183.47
169,47,26,69,48.9,12,4325.8
170,46,22,70,64.52,5,4322.81
171,164,1,196,46.42,10,699.72
172,19,19,25,55.37,1,1554.87
173,175,6,77,33.08,11,2252.84
174,74,26,28,23.75,12,616.53
175,63,21,199,75.6,6,597.09
176,140,5,184,35.54,6,2373.33
177,155,18,196,20.05,8,3035.62
178,93,45,133,24.74,4,843.11
179,139,15,45,43.01,4,766.98
180,132,20,12,32.83,10,3498.3
181,46,48,17,65.61,9,4583.22
182,123,28,104,37.99,5,6.24
183,152,37,49,56.87,3,3825.68
184,26,9,166,23.37,7,54.99
185,28,26,53,20.93,0,4704.7
186,111,20,155,82.5,10,1736.4
187,4,43,178,79.17,2,3847.31
188,100,7,88,81.82,14,2612.75
189,86,9,76,49.47,13,1841.55
190,177,33,144,15.63,5,1932.3
191,57,22,179,34.81,7,3427.5
192,88,1,38,80.51,2,4414.86
193,101,8,119,43.8,7,4041.06
194,133,34,139,36.15,2,1723.21
195,70,48,14,33.64,2,3811.81
196,113,39,153,53.96,13,847.09
197,57,25,118,46.18,5,4.57
198,61,33,4,39.99,14,3445.71
199,138,9,37,43.84,5,420.84
200,162,44,42,31.33,6,2018.61
201,70,44,122,25.35,5,4094.78
202,125,49,18,26.15,2,1922.96
203,138,17,11,13.07,9,263.95
204,29,11,160,85.65,9,89.74
205,67,19,55,86.52,8,4535.65
206,11,22,145,18.23,2,4097.42
207,4,9,14,15.91,3,3269.93
208,177,10,70,43.3,10,42.39
209,4,25,196,71.12,8,3821.18
210,24,21,124,76.08,13,2161.66
211,35,11,55,11.71,8,415.12
212,38,20,112,32.66,8,3777.83
213,50,12,65,52.82,14,3468.11
214,88,39,171,20.81,0,1062.85
215,86,15,174,87.6,13,1623.27
216,154,6,29,30.1,3,4808.95
217,146,17,181,52.51,6,581.32
218,46,5,177,18.77,12,4078.56
219,11,15,189,37.11,9,3253.5
220,137,32,101,19.85,0,1122.36
221,26,48,192,82.95,7,2846.4
222,100,3,187,85.99,3,2878.87
223,68,3,44,53.31,9,235.11
224,116,15,9,37.99,8,3442.86
225,66,48,170,35.88,14,254.85
226,8,32,154,83.89,6,2805.83
227,100,8,104,59.55,5,218.76
228,168,6,159,42.77,10,3935.27
229,167,5,91,71.72,13,4840.35
230,134,47,128,52.82,8,339.81
231,138,16,53,27.44,14,4392.94
232,169,46,53,29.08,13,3920.54
233,69,17,150,32.02,10,2053.1
234,150,39,63,11.28,8,865.28
235,90,5,74,30.47,9,3709.89
236,51,24,197,58.91,14,3674.6
237,165,27,49,70.27,4,3318.55
238,45,25,101,19.07,7,1560.1
239,93,21,138,87.78,3,2272.07
240,84,46,185,49.1,2,61.56
241,82,8,182,14.98,4,1689.62
242,128,46,97,85.2,3,2437.51
243,109,34,198,31.73,7,1288.46
244,62,15,44,34.78,7,2817.13
245,105,35,49,46.75,2,1338.57
246,15,26,98,35.95,3,3240.4
247,24,36,148,24.21,7,2896.65
248,63,34,2,20.17,10,4319.83
249,157,35,152,50.77,5,971.82
250,118,15,82,15.64,11,3796.68
251,81,3,10,66.79,0,4370.45
252,153,41,160,37.35,7,210.39
253,127,9,76,89.41,3,2086.56
254,144,36,127,15.03,1,1737.61
255,178,43,66,13.89,14,112.92
256,128,26,5,30.14,8,3864.11
257,85,10,96,38.13,2,4392.48
258,118,30,91,75.06,5,3829.25
259,5,42,75,76.37,12,3623.08
260,150,36,92,67.89,5,1770.77
261,33,17,188,76.06,3,1224.39
262,168,25,96,68.27,7,2485.2
263,130,11,141,79.84,6,503.13
264,99,47,93,47.16,5,3195.81
265,107,31,59,32.12,14,3050.2
266,104,12,174,60.36,4,4510.85
267,91,25,25,39.17,0,4531.07
268,104,26,184,15.41,3,4830.6
269,164,39,81,78.47,0,340.88
270,59,13,110,76.73,9,3624.88
271,167,30,148,49.71,11,1566.87
272,2,3,37,47.28,13,3653.17
273,146,31,31,19.51,5,2800.69
274,174,21,6,20.07,12,4910.56
275,23,46,90,73.82,10,2361.03
276,54,35,121,78.32,8,593.59
277,75,29,91,10.45,14,3140.34
278,129,13,15,72.71,1,2203.06
279,36,30,90,52.88,8,1658.44
280,114,6,71,44.99,4,3023.3
281,84,11,166,48.04,4,4241.36
282,95,11,91,67.04,3,1212.81
283,72,4,131,10.19,4,3373.54
284,40,22,47,15.02,8,3676.07
285,88,34,128,77.31,8,4813.58
286,84,30,18,89.81,11,1083.82
287,119,5,140,29.33,1,2570.25
288,79,31,177,42.01,5,3502.4
289,30,28,132,66.16,1,244.99
290,20,31,18,63.18,4,4350.22
291,38,23,21,72.7,13,1705.31
292,2,3,87,83.13,10,3378.77
293,134,35,87,31.13,9,2020.99
294,106,21,14,52.17,10,4489.08
295,82,21,53,21.24,6,4035.4
296,164,10,67,87.62,5,2336.88
297,78,12,151,70.59,1,4742.79
298,26,27,143,24.99,6,3845.46
299,98,37,37,69.19,6,2164.23
300,118,12,198,73.91,2,4434.44
301,158,23,167,20.92,14,2646.02
302,82,22,117,49.94,0,2796.05
303,150,23,189,75.82,12,548.57
304,145,23,136,37.77,7,4467.26
305,31,15,145,14.04,7,1960.11
306,159,26,28,37.53,12,2401.56
307,13,28,63,72.56,2,4938.81
308,91,13,87,18.03,6,4128.78
309,145,35,145,34.82,12,575.88
310,93,37,197,78.29,9,3866.93
311,39,44,146,22.95,5,1177.73
312,99,38,187,41.09,1,828.43
313,8,4,52,54.33,3,4102.31
314,107,14,92,24.24,7,2686.6
315,166,47,113,66.05,3,2359.39
316,15,37,149,72.5,8,541.41
317,114,8,108,60.77,2,471.42
318,129,34,194,78.94,13,2003.18
319,131,2,53,20.46,3,4704.16
320,38,8,167,10.26,14,1098.19
321,176,25,121,31.36,9,3604.04
322,63,27,152,77.2,0,2675.25
323,15,11,137,20.16,2,2760.34
324,62,17,182,71.11,5,4755.77
325,125,30,25,84.34,5,4299.74
326,106,38,73,54.86,7,4246.91
327,82,10,24,80.64,6,259.63
328,38,34,143,29.85,2,4941.18
329,148,15,23,67.83,2,4720.71
330,7,22,146,72.41,6,543.73
331,101,25,94,49.0,5,2752.48
332,72,14,9,58.22,12,132.21
333,78,25,119,17.11,11,533.03
334,79,45,122,32.11,14,4335.45
335,52,17,92,16.14,3,215.21
336,98,43,90,29.16,12,1292.9
337,4,2,139,81.41,12,2458.17
338,129,29,175,12.47,9,1306.03
339,105,21,12,49.75,1,4668.56
340,127,48,29,51.81,2,1621.86
341,127,2,182,32.86,12,3573.59
342,78,32,167,72.53,2,3866.24
343,95,8,10,57.16,5,244.18
344,166,36,100,25.62,8,1924.78
345,114,27,6,47.69,11,983.35
346,53,27,177,11.87,8,1282.74
347,84,42,97,11.43,9,2055.24
348,3,23,11,68.79,13,278.29
349,15,12,165,23.78,1,3060.03
350,3,6,151,87.48,5,958.19
351,92,43,83,38.66,1,423.44
352,111,24,69,65.9,11,2230.12
353,161,37,114,47.0,1,1702.42
354,122,25,15,42.76,12,4874.89
355,33,20,99,63.43,11,4004.54
356,159,47,192,60.08,12,1351.96
357,4,45,58,80.15,8,2957.71
358,80,37,173,16.75,10,2673.25
359,113,6,144,50.52,10,923.68
360,107,21,54,58.61,12,3823.21
361,79,31,111,61.99,1,3503.77
362,112,33,163,60.04,3,639.9
363,22,48,14,39.43,4,3624.05
364,159,17,54,12.49,11,3143.28
365,85,33,92,67.08,10,48.95
366,32,49,172,13.51,7,258.06
367,71,2,72,47.66,2,2736.37
368,136,40,90,67.53,10,453.67
369,78,33,171,31.88,6,3034.93
370,28,2,23,12.22,1,864.27
371,66,45,72,17.42,4,3434.64
372,17,14,1,21.13,1,1849.15
373,130,3,68,63.21,10,3707.38
374,136,26,52,62.28,2,957.88
375,38,24,47,88.27,7,3267.4
376,148,12,91,35.91,8,4862.77
377,113,9,77,20.51,13,2444.25
378,121,4,18,23.8,12,1395.83
379,149,5,197,12.57,7,1574.24
380,90,5,172,75.91,2,949.87
381,31,12,48,16.09,12,2865.88
382,70,45,146,81.49,2,2565.8
383,114,11,149,13.87,8,2749.5
384,143,28,65,75.06,7,3416.71
385,1,27,21,25.66,12,89.55
386,90,22,27,11.85,3,629.48
387,29,3,160,66.12,12,1066.8
388,66,21,121,10.21,14,34.33
389,22,11,123,33.81,12,927.55
390,29,28,121,14.57,0,4227.35
391,9,29,148,19.71,9,3249.78
392,41,17,174,20.03,11,805.65
393,21,10,193,67.86,10,178.3
394,96,15,20,87.77,5,1246.69
395,111,49,158,29.57,4,3566.95
396,40,44,196,41.91,2,2229.98
397,26,29,146,39.95,0,2677.5
398,176,4,71,30.54,0,2678.0
399,126,39,144,67.02,3,1178.0
400,131,24,33,31.7,10,843.82
401,33,45,120,51.15,0,790.0
402,97,24,164,20.38,4,4821.27
403,42,14,18,77.84,10,4697.58
404,77,26,155,64.99,1,3738.79
405,43,11,87,53.1,11,3236.33
406,4,3,139,59.13,1,1124.86
407,102,11,123,27.95,10,583.95
408,179,47,37,77.52,8,4672.81
409,146,46,171,19.79,1,1403.19
410,148,6,198,80.49,3,947.11
411,158,33,22,59.05,6,4623.8
412,23,49,161,85.23,3,781.27
413,47,17,108,33.05,14,1490.29
414,131,40,95,84.83,1,890.56
415,50,18,139,61.06,10,73.94
416,122,44,32,10.8,7,920.44
417,9,47,125,18.23,8,2271.02
418,147,4,134,57.43,13,2653.51
419,164,36,27,17.61,10,839.05
420,168,48,13,69.83,7,3583.19
421,155,39,197,63.76,6,2677.56
422,92,49,171,24.99,2,3002.72
423,115,15,130,60.95,3,1596.61
424,72,49,51,55.34,1,993.11
425,106,41,194,29.71,11,3983.47
426,72,26,182,66.61,14,1765.23
427,82,33,99,30.1,12,2609.46
428,123,28,174,79.18,1,3707.43
429,149,30,71,41.7,9,4376.64
430,141,46,11,49.62,4,2242.49
431,27,28,188,62.91,0,4862.34
432,124,45,164,80.64,9,2638.13
433,62,40,8,46.49,12,3968.01
434,40,34,155,62.39,14,385.53
435,53,10,172,57.75,13,464.43
436,40,39,27,15.77,0,3071.49
437,127,49,46,60.63,13,1926.85
438,9,15,199,13.71,5,3820.16
439,155,44,175,50.45,12,2859.04
440,3,30,114,18.52,1,3089.53
441,56,28,131,58.69,0,837.74
442,4,39,46,67.68,11,2758.87
443,40,26,6,72.86,6,2723.5
444,56,26,128,57.2,1,3687.59
445,65,44,59,89.14,8,3515.5
446,71,1,146,38.79,9,3114.39
447,30,22,193,10.91,14,794.99
448,25,23,3,75.47,13,4843.92
449,39,25,195,46.19,7,3045.84
450,75,8,21,53.41,1,818.77
451,153,34,130,77.76,8,4020.77
452,33,15,103,30.96,6,705.83
453,54,2,73,36.14,3,1354.57
454,116,12,139,17.74,10,2814.75
455,179,18,40,64.54,1,761.17
456,112,7,139,27.04,12,433.87
457,114,42,142,78.26,12,3400.91
458,73,27,106,58.82,1,207.96
459,1,2,95,82.91,8,1752.86
460,31,35,129,14.88,9,1227.59
461,21,46,41,89.34,6,4678.09
462,24,48,21,41.82,13,2895.58
463,19,13,82,53.65,13,346.12
464,61,4,19,61.5,4,2047.81
465,112,28,112,48.82,11,1869.18
466,124,23,56,52.23,9,726.96
467,153,18,172,43.37,11,3665.34
468,20,21,72,24.95,10,935.9
469,117,39,5,87.56,0,4239.67
470,154,14,57,74.09,6,4689.67
471,127,13,64,57.83,14,437.13
472,7,48,45,14.53,10,3302.61
473,56,20,75,81.58,0,3131.77
474,72,13,1,16.19,14,2561.82
475,94,8,1,72.57,2,3184.56
476,11,4,147,14.71,1,4522.5
477,145,6,62,70.9,11,3782.31
478,72,24,76,77.57,1,3227.37
479,175,24,26,45.98,1,2138.73
480,172,49,104,54.37,11,1210.18
481,158,20,141,77.01,12,1019.44
482,43,13,85,87.65,13,1084.99
483,16,34,58,11.42,8,4321.03
484,119,8,129,20.38,6,599.12
485,4,34,176,79.13,0,579.86
486,85,47,124,64.28,4,106.43
487,50,5,178,31.79,1,3632.3
488,34,16,107,45.61,9,26.72
489,35,16,17,18.89,6,4600.41
490,64,14,89,12.29,10,4856.27
491,13,27,107,68.56,7,1170.35
492,107,42,111,67.93,9,204.02
493,27,42,115,65.54,11,4819.07
494,169,31,165,80.76,8,1046.24
495,42,14,128,32.93,12,2679.75
496,157,31,154,43.89,4,3244.79
497,144,14,76,30.05,5,2963.44
498,46,24,168,60.02,8,4229.86
499,37,35,13,60.96,12,2419.26
500,104,15,84,42.62,13,2610.58
501,143,20,175,84.81,9,4995.0
502,149,28,41,49.08,6,2803.72
503,34,38,177,83.41,14,988.75
504,9,27,121,68.44,13,838.65
505,154,1,110,85.09,3,4338.39
506,77,12,157,70.62,6,1798.83
507,146,39,63,27.98,1,4735.24
508,1,27,32,65.17,9,4027.75
509,23,36,161,29.08,0,4723.17
510,33,31,134,33.25,2,2808.27
511,175,24,79,27.72,4,209.46
512,95,32,132,49.71,10,4254.37
513,122,20,95,44.72,4,2897.66
514,21,23,51,82.57,3,4338.84
515,61,49,143,57.45,7,1421.24
516,27,3,47,38.78,11,4285.16
517,102,16,84,59.87,6,1002.94
518,142,47,97,37.32,5,1410.6
519,101,2,146,76.91,13,724.23
520,175,37,39,17.13,5,692.33
521,7,21,74,27.5,14,520.16
522,76,3,131,17.52,5,2675.15
523,156,12,25,79.37,3,3378.21
524,131,28,181,31.77,6,1057.52
525,150,25,48,89.58,10,4574.75
526,85,16,123,22.15,0,497.35
527,29,12,15,35.93,1,545.36
528,148,21,4,81.47,3,4419.35
529,67,45,155,60.83,11,3467.3
530,105,22,100,49.58,6,913.92
531,161,19,139,23.11,13,4927.09
532,94,12,108,73.27,3,164.53
533,48,12,153,36.64,1,542.55
534,103,48,128,70.25,11,1410.28
535,41,23,186,56.62,1,3672.64
536,123,42,158,59.33,2,3573.75
537,137,35,35,36.02,9,3986.42
538,176,9,13,16.0,11,2725.8
539,23,21,117,57.63,11,2997.8
540,149,17,172,69.48,12,1725.53
541,160,2,25,56.09,1,1920.63
542,109,37,6,58.09,3,482.63
543,154,11,96,65.79,13,593.13
544,33,21,74,13.58,9,3485.69
545,137,5,99,27.9,13,124.18
546,81,34,179,59.11,11,2262.6
547,70,37,148,20.85,13,3310.81
548,174,32,144,31.62,11,2412.28
549,7,10,184,13.6,0,344.65
550,128,39,199,27.22,5,3836.69
551,7,13,195,10.93,4,2380.08
552,121,2,168,75.46,8,1463.01
553,161,23,182,57.02,11,850.18
554,114,40,160,53.74,0,3072.7
555,138,3,124,10.45,6,4620.83
556,104,21,110,78.01,9,1321.87
557,28,10,168,10.01,14,4372.97
558,175,3,132,72.99,14,3317.42
559,46,15,103,27.52,4,91.45
560,22,10,15,75.62,9,4247.22
561,21,47,45,20.33,11,1980.41
562,111,9,197,53.79,0,4224.11
563,32,16,94,12.36,4,994.91
564,160,24,108,54.37,6,2592.86
565,115,20,4,20.64,14,1025.17
566,164,30,175,74.49,6,2446.64
567,159,13,31,28.9,3,4609.96
568,70,1,179,19.27,7,2527.86
569,54,4,151,12.43,6,4964.9
570,21,7,111,55.93,7,1354.46
571,35,36,29,62.96,3,3015.29
572,23,21,63,81.59,11,4834.35
573,170,30,171,14.94,4,3773.59
574,24,39,122,41.35,4,3459.49
575,94,27,178,23.05,4,3714.33
576,74,49,24,50.18,1,1651.67
577,69,26,138,29.07,0,1453.58
578,127,19,112,42.88,3,723.37
579,125,14,111,39.49,7,3016.82
580,170,40,158,65.2,11,4612.03
581,158,42,167,69.35,3,3824.74
582,134,31,188,43.97,4,4930.23
583,52,7,85,29.52,8,4959.09
584,82,33,126,73.57,0,2170.35
585,154,9,57,77.84,6,2583.91
586,100,2,1,53.2,2,4120.24
587,41,36,74,29.97,2,3827.8
588,60,7,29,72.71,10,3874.64
589,77,5,159,38.48,11,2787.86
590,152,22,103,83.5,7,2934.43
591,119,34,43,31.34,11,4217.21
592,95,16,178,85.22,7,4718.13
593,127,14,22,44.23,0,3886.34
594,168,9,123,70.26,3,3857.33
595,162,6,153,26.71,10,791.89
596,39,45,153,59.98,4,4278.55
597,122,48,192,56.58,8,4725.74
598,1,37,25,43.62,6,1362.58
599,123,41,99,68.83,11,957.32
600,20,2,50,75.44,8,824.58
601,111,37,110,68.18,14,112.65
602,153,44,163,75.05,8,2032.52
603,134,42,175,69.61,10,895.09
604,116,42,172,21.97,9,636.26
605,94,19,81,71.79,12,3645.93
606,120,43,182,25.25,0,3810.09
607,113,44,73,17.94,3,3507.72
608,3,17,11,82.13,14,3329.31
609,164,1,103,57.86,14,2587.9
610,70,4,12,24.12,1,306.47
611,166,37,24,60.9,3,4890.19
612,65,30,155,36.63,3,4929.44
613,83,46,22,21.32,2,4423.23
614,38,30,134,73.96,12,3810.49
615,28,29,69,18.8,9,3829.83
616,175,46,96,87.0,5,2980.09
617,47,21,61,71.75,3,561.93
618,10,3,57,66.98,5,4109.5
619,88,25,179,29.13,1,3386.71
620,133,3,137,70.77,14,390.89
621,141,11,31,11.8,12,3035.87
622,86,39,125,54.31,3,936.27
623,34,46,165,34.86,12,2783.48
624,153,48,83,76.58,13,1247.81
625,151,37,152,70.91,8,3192.0
626,112,21,140,49.03,3,3880.79
627,85,45,105,47.79,0,248.34
628,3,48,11,15.85,14,367.12
629,8,14,109,28.77,11,4989.07
630,174,39,23,66.58,14,3417.34
631,167,42,119,15.25,1,1545.4
632,51,31,110,72.98,5,1189.43
633,22,40,118,88.36,9,2094.02
634,45,27,162,16.33,13,4729.19
635,151,17,15,46.63,11,3447.32
636,177,24,57,56.32,9,4968.53
637,80,35,171,75.03,2,2751.99
638,124,19,131,22.01,0,2112.61
639,179,34,78,38.81,7,1025.35
640,28,3,148,76.85,13,2691.47
641,99,18,112,51.45,3,3219.63
642,106,31,185,23.08,11,2576.17
643,29,15,49,79.55,14,670.2
644,102,47,154,84.89,11,840.21
645,78,26,172,69.17,9,3942.28
646,156,41,165,87.89,5,1069.58
647,110,45,123,84.12,5,526.57
648,175,17,68,19.71,5,818.72
649,4,13,187,42.74,7,4493.62
650,130,18,110,57.75,2,3117.25
651,110,12,180,68.59,12,3859.85
652,64,22,51,52.81,13,1146.03
653,29,37,110,61.94,10,3145.29
654,89,45,54,19.34,6,968.88
655,95,11,99,42.5,12,2603.47
656,175,48,117,10.55,6,366.04
657,15,13,57,62.15,9,2585.2
658,166,36,23,23.16,4,1143.95
659,97,25,47,42.32,12,1106.16
660,177,19,164,49.89,10,2481.96
661,40,1,51,63.31,5,2862.89
662,144,14,177,71.06,8,3509.47
663,102,2,121,67.21,1,1521.39
664,108,5,179,55.43,10,1441.6
665,34,49,108,52.3,0,420.26
666,127,7,67,78.55,1,1587.64
667,134,27,147,79.34,12,1730.21
668,103,31,54,14.95,12,2467.01
669,87,41,82,31.61,8,2080.73
670,114,16,114,83.73,6,3489.03
671,149,24,166,57.41,7,2263.92
672,99,46,59,20.77,0,4203.06
673,157,33,148,15.69,14,2653.91
674,2,34,141,17.55,0,2938.6
675,97,6,2,71.59,6,3485.82
676,26,3,140,27.76,4,3375.89
677,44,34,183,29.44,4,4670.66
678,18,11,71,20.45,10,3702.56
679,98,21,50,57.97,13,4776.95
680,30,39,130,51.11,2,1709.94
681,108,42,38,32.52,3,4864.69
682,23,24,64,62.65,4,2994.83
683,48,47,107,72.22,0,1549.53
684,127,2,9,88.37,1,689.23
685,23,36,89,48.3,7,2587.6
686,40,30,27,43.04,0,4813.2
687,64,27,133,33.37,9,4207.62
688,72,7,152,72.77,10,3733.42
689,142,1,130,87.78,12,272.21
690,124,40,39,58.03,5,3868.01
691,110,23,83,61.39,6,3438.79
692,78,7,111,65.13,7,4187.71
693,2,17,51,43.86,2,524.43
694,122,28,7,27.63,3,1969.66
695,4,20,14,30.49,3,1685.8
696,100,31,117,59.38,13,3861.0
697,9,32,134,61.01,9,3799.58
698,16,38,59,46.95,9,2500.09
699,96,3,30,13.47,11,1818.57
700,160,17,79,80.18,6,516.76
701,27,43,96,29.55,0,758.39
702,15,20,32,56.48,9,52.31
703,68,31,12,69.09,11,3873.04
704,25,9,126,24.75,5,4602.33
705,15,23,167,47.86,12,166.64
706,12,32,149,10.11,3,3976.06
707,71,24,153,13.8,0,1380.72
708,152,9,120,30.04,11,2574.24
709,70,30,146,62.7,12,3465.75
710,112,21,183,80.93,10,1675.01
711,169,23,41,43.96,0,4911.96
712,60,28,99,12.0,7,4928.01
713,31,46,175,33.42,6,3360.22
714,149,6,141,86.56,1,4918.62
715,60,20,42,18.9,6,588.39
716,75,15,131,70.46,10,60.36
717,14,27,119,69.79,1,4257.11
718,102,35,117,57.19,7,3462.28
719,82,21,161,84.47,6,1560.09
720,14,40,106,61.37,12,2623.12
721,152,12,44,87.32,4,1991.91
722,25,22,2,76.09,14,2267.53
723,109,5,22,73.52,0,2849.83
724,108,1,68,86.08,10,2582.83
725,156,41,168,59.36,6,3072.92
726,88,49,103,35.79,0,1661.66
727,18,28,93,18.29,1,2811.17
728,57,3,111,65.54,0,4315.49
729,98,32,14,51.86,6,1807.56
730,170,38,194,40.84,2,1405.03
731,67,12,16,85.98,3,2444.3
732,140,6,76,82.99,6,1603.89
733,164,36,57,40.24,13,4517.15
734,69,21,39,85.64,2,3033.75
735,83,26,38,44.56,11,3707.4
736,76,3,110,26.49,13,151.53
737,91,46,124,59.65,7,490.29
738,17,2,31,17.54,4,2015.98
739,171,43,109,22.21,4,2085.98
