GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom,Generosity,Corruption_perception,Happiness_Score
45121.54,0.51,63.55,0.84,0.54,0.12,7.42
61791.89,0.23,52.92,0.19,0.07,0.05,5.3
39756.75,0.18,75.68,0.67,0.17,0.44,6.35
42057.26,0.22,65.99,0.98,-0.19,0.84,5.67
34489.51,0.19,68.56,0.1,-0.13,0.26,4.25
2520.82,0.78,75.91,0.01,0.01,0.42,5.29
9077.37,0.35,57.82,0.43,-0.18,0.04,3.9
2998.62,0.06,81.18,0.09,0.31,0.45,4.5
51094.63,0.97,63.99,0.75,0.14,0.58,7.57
25491.3,0.88,47.11,0.91,0.24,0.57,5.4
40931.37,0.93,71.32,0.43,-0.06,0.33,6.92
72651.53,0.99,75.7,0.26,0.04,0.32,7.93
20318.73,0.17,54.25,0.43,0.33,0.11,4.38
33125.44,0.4,78.57,0.72,0.57,0.37,7.53
60566.32,0.76,80.78,0.01,-0.16,0.1,6.9
18689.45,0.7,52.46,0.59,0.51,0.77,5.07
6619.9,0.15,84.26,0.61,0.26,0.97,5.01
23535.24,0.82,46.33,0.64,0.25,0.97,5.15
13317.09,0.22,49.09,0.24,0.2,0.87,3.0
74410.96,0.22,48.29,0.71,-0.14,0.6,5.74
64745.57,0.54,80.23,0.09,-0.13,0.7,6.47
50855.6,0.59,69.44,0.2,0.28,0.29,5.88
69781.12,0.58,46.84,0.88,0.07,0.63,6.21
64391.93,0.09,59.81,0.74,0.53,0.46,6.23
15332.32,0.88,67.69,0.01,0.13,0.48,5.43
71458.44,0.27,43.76,0.25,-0.09,0.76,3.59
43377.71,0.13,79.71,0.21,0.37,0.28,6.8
64691.49,0.89,76.16,0.27,0.03,0.32,7.82
71739.26,0.96,62.73,0.25,0.22,0.92,6.96
25781.28,0.86,83.52,0.06,0.36,0.06,7.5
9249.13,0.81,58.8,0.46,0.52,0.49,6.37
18620.85,0.66,84.28,0.73,0.43,0.91,7.05
34455.07,0.55,70.06,0.61,0.34,0.61,6.63
65532.17,0.09,68.56,0.67,0.34,0.55,6.48
68928.08,0.41,47.47,0.08,0.56,0.25,5.76
1052.69,0.37,79.69,0.95,0.04,0.34,5.75
41104.41,0.26,59.24,0.84,-0.2,0.85,4.63
33684.17,0.72,47.3,0.81,0.02,0.56,5.29
18157.57,0.5,40.57,0.82,-0.03,0.51,3.85
10029.3,0.08,65.19,0.93,0.33,0.1,5.39
27340.41,0.22,63.73,0.54,0.31,0.02,5.11
75461.32,0.68,72.37,0.2,0.27,0.96,6.97
26194.63,0.08,80.06,0.62,-0.19,0.38,5.25
41743.85,0.85,43.57,0.74,0.38,0.6,6.15
56390.01,0.5,72.92,0.74,0.06,0.08,7.27
29408.55,0.48,48.43,0.52,0.33,0.68,5.69
77756.68,0.59,78.62,0.07,0.25,0.93,7.32
77014.56,0.82,76.86,0.37,0.07,0.58,7.5
20516.69,0.35,64.34,0.92,-0.09,0.13,5.74
40031.26,0.68,71.96,0.58,-0.12,0.58,6.12
24419.83,0.57,54.15,0.54,0.47,0.77,4.87
23144.82,0.27,61.2,0.27,0.53,0.41,4.53
3432.51,0.88,76.97,0.37,0.32,0.88,5.9
48960.36,0.8,60.67,0.9,-0.12,0.65,6.45
40462.98,0.66,56.1,0.67,0.12,0.9,5.87
4592.56,0.85,62.24,0.79,0.38,0.62,6.27
22652.39,0.87,77.27,0.45,0.42,0.13,7.75
72707.14,0.71,55.08,0.63,-0.11,0.31,6.61
19545.17,0.84,47.82,0.25,-0.2,0.2,4.72
12019.14,0.7,72.04,0.71,0.37,0.91,6.14
39411.49,0.68,77.17,0.43,0.09,0.76,6.24
78859.21,0.62,44.53,0.44,0.0,0.68,5.59
19743.39,0.75,50.79,0.65,-0.19,0.3,5.57
53934.78,0.16,46.39,0.94,0.23,0.18,5.82
61048.76,0.88,55.66,0.06,0.48,0.76,6.48
19392.18,0.87,60.27,0.82,0.57,0.47,6.53
58393.2,0.03,73.7,0.29,0.25,0.23,5.65
29738.76,0.83,69.3,0.44,0.21,0.62,6.14
50768.31,0.13,67.94,0.02,-0.13,0.04,4.97
50865.61,0.34,55.86,0.3,0.24,0.33,5.08
43094.09,0.74,77.87,0.5,0.1,0.47,7.08
7678.04,0.16,61.21,0.06,0.29,0.15,3.38
66906.55,0.82,84.06,0.49,0.11,0.98,7.4
26002.02,0.83,68.54,0.93,-0.01,0.21,7.24
15328.22,0.51,45.68,0.11,-0.12,0.13,3.82
3741.62,0.01,70.43,0.76,0.05,0.2,4.53
47475.99,0.29,54.63,0.41,-0.12,0.77,4.12
54366.37,0.62,70.88,0.66,-0.06,0.43,6.59
1818.73,0.98,43.13,0.26,0.59,0.57,4.59
41211.4,0.63,47.87,0.16,0.16,0.02,5.49
18506.41,0.26,78.51,0.16,0.23,0.03,5.76
51791.24,0.63,50.22,0.07,0.5,0.45,5.44
14362.13,0.54,77.67,0.19,0.6,0.82,5.23
55429.55,0.78,52.57,0.66,0.27,0.89,6.36
31245.46,0.11,68.93,0.88,0.45,0.09,6.13
74970.03,0.76,71.24,0.81,0.06,0.54,7.93
11432.92,0.54,63.07,0.69,0.04,0.91,5.14
27614.77,0.96,53.74,0.11,0.12,0.39,5.61
9521.14,0.34,49.57,0.29,0.34,0.83,3.51
74013.14,0.63,41.49,0.31,0.35,0.13,5.92
70248.48,0.93,53.68,0.25,0.05,0.94,6.22
21006.36,0.1,69.39,0.52,-0.09,0.75,4.53
52968.73,0.94,82.22,0.54,0.31,0.94,7.69
65469.16,0.69,79.2,0.36,-0.1,0.68,7.45
44638.46,0.07,74.47,0.35,0.26,0.36,6.07
42607.22,0.3,75.48,0.83,0.35,0.94,6.88
19727.26,0.71,69.92,0.79,0.36,0.28,6.94
7901.67,0.07,51.71,0.31,0.4,0.33,3.75
71828.65,0.58,80.82,0.91,0.5,0.7,9.05
72083.24,0.35,70.18,0.95,0.2,0.77,7.4
50831.57,0.62,65.22,0.33,0.38,0.93,5.9
27452.87,0.05,44.99,0.35,0.3,0.2,3.71
28262.16,0.87,60.12,0.51,-0.05,0.8,5.57
58213.48,0.97,60.72,0.94,-0.18,0.74,6.8
71820.27,0.97,78.91,0.88,0.03,0.06,9.28
71023.37,0.75,64.6,0.1,0.15,0.39,7.14
62500.11,0.13,57.12,0.39,0.29,0.28,4.99
51541.52,0.76,83.96,0.55,0.48,0.3,8.82
7189.13,0.02,44.98,0.5,-0.04,0.98,2.57
13349.48,0.02,59.01,0.19,-0.1,0.64,2.79
71935.06,0.32,41.89,0.86,0.57,0.72,6.32
48711.11,0.49,73.3,0.68,-0.11,0.98,6.01
1231.17,0.77,81.31,0.84,0.18,0.38,7.11
8566.99,0.68,52.6,0.86,0.27,0.8,5.36
53248.39,0.45,78.63,0.75,0.23,0.43,6.97
902.4,0.27,53.15,0.44,-0.13,0.87,3.04
13284.24,1.0,80.98,0.61,-0.15,0.18,6.93
44124.34,0.43,73.93,0.16,-0.12,0.95,5.05
55505.67,0.45,76.22,0.67,0.27,0.22,7.27
52330.92,0.16,40.81,0.18,0.24,0.33,4.69
18329.41,0.79,83.33,0.69,-0.01,0.76,6.89
57118.25,0.69,72.7,0.23,0.31,0.39,6.84
19361.3,0.22,53.71,0.12,0.46,0.61,3.42
26369.28,0.08,77.32,0.17,-0.17,0.44,4.31
59846.07,0.68,52.67,0.0,0.2,0.74,5.42
52145.82,0.65,79.27,0.72,0.35,0.23,8.18
68013.26,0.27,45.07,0.73,0.0,0.06,6.26
52780.22,0.95,71.67,0.51,0.05,0.3,7.83
45680.53,0.15,64.33,0.16,0.29,0.47,5.3
7947.14,0.43,44.34,0.08,0.52,0.17,4.0
29733.41,0.94,50.89,0.02,0.45,0.35,5.12
21583.59,0.42,40.56,0.17,0.27,0.4,3.62
19897.18,0.64,61.09,0.89,0.38,0.06,6.99
77854.34,0.4,53.56,0.24,0.09,0.58,5.68
31751.27,0.27,66.93,0.35,0.31,0.88,5.02
71417.7,0.98,53.38,0.11,0.17,0.15,6.9
50675.52,0.41,53.5,0.22,-0.05,0.6,4.38
63687.5,0.89,73.44,0.52,0.36,0.66,7.88
40459.65,0.23,42.17,0.61,0.25,0.42,4.66
46363.86,0.21,80.63,0.25,0.09,0.7,5.42
39655.16,0.03,78.35,0.06,0.53,0.41,5.41
16021.82,0.65,70.05,0.39,-0.18,0.5,4.87
57934.94,0.37,66.69,0.23,0.05,0.01,6.55
22821.4,0.86,80.15,0.22,-0.15,0.69,5.78
2433.12,0.47,48.34,0.96,0.41,0.66,5.15
51815.05,0.97,43.55,0.62,0.36,0.04,7.45
14580.3,0.19,50.78,0.56,0.07,0.37,3.87
75266.46,0.87,75.76,0.42,0.34,0.98,7.53
76337.32,0.78,41.56,0.43,0.12,0.42,5.66
73231.72,0.77,66.23,0.54,0.41,0.5,7.4
29927.62,0.84,84.79,0.7,0.16,0.91,6.75
1728.8,0.76,78.51,0.7,0.13,0.72,6.4
74301.33,0.63,63.47,0.17,0.55,0.58,7.02
34540.64,0.13,42.86,0.5,0.0,0.8,3.51
77349.06,0.03,77.41,0.41,-0.1,0.86,5.22
77107.79,0.92,66.95,0.87,0.27,0.46,8.31
68314.25,0.62,45.17,0.63,0.58,0.48,6.97
23908.69,0.8,44.22,0.53,0.1,0.39,5.14
31115.27,0.48,80.93,0.12,-0.15,0.97,4.92
68165.37,0.12,70.11,0.61,0.07,0.7,6.25
25695.3,0.13,77.32,0.12,0.2,0.08,5.72
13974.67,0.69,79.55,0.34,-0.07,0.86,5.26
44765.7,0.43,65.73,0.14,0.33,0.48,5.64
74924.3,0.2,63.29,0.69,0.6,0.07,7.56
55834.37,0.49,59.37,0.21,0.16,0.55,6.3
45819.86,0.06,54.26,0.39,0.08,0.42,3.86
8225.53,0.58,59.56,0.9,0.12,0.88,5.2
49393.07,0.27,74.82,0.2,-0.11,0.2,5.7
79209.28,0.8,67.09,0.51,0.51,0.83,8.04
11636.68,0.31,80.16,0.42,0.13,0.56,5.01
41707.21,0.46,59.95,0.02,0.11,0.05,5.25
70251.16,0.01,67.32,0.79,0.33,0.97,6.32
59391.11,0.07,68.41,0.07,0.15,0.51,6.06
55912.75,0.39,66.63,0.47,0.32,0.29,6.84
56347.48,0.48,71.62,0.56,-0.15,0.47,6.17
29079.55,0.6,50.68,0.63,0.45,0.86,5.11
23840.55,0.29,63.06,0.69,0.55,0.3,5.71
64844.21,0.69,44.69,0.25,0.32,0.19,5.6
64904.01,0.86,57.3,0.01,0.56,0.13,7.0
69432.25,0.78,61.95,0.72,-0.08,0.3,7.65
73102.62,0.04,69.35,0.54,0.18,0.78,5.6
41151.72,0.48,82.77,0.84,0.28,0.47,7.77
40370.55,0.1,67.03,0.82,0.27,0.23,6.24
63964.47,0.24,73.46,0.84,0.12,0.17,7.1
52172.13,0.99,62.78,0.49,0.07,0.33,7.11
56306.37,0.14,68.53,0.33,-0.1,0.94,5.32
63765.52,0.5,43.19,0.79,0.11,0.34,6.27
71255.42,0.62,51.45,0.45,-0.07,0.99,5.55
27370.61,0.7,56.28,0.18,0.39,0.49,5.22
30358.84,0.56,61.26,0.85,-0.03,0.18,6.18
7971.56,0.01,42.05,0.88,-0.15,0.89,2.46
46473.27,0.33,46.3,0.47,0.24,0.46,4.26
3357.41,0.52,52.46,0.08,0.28,0.71,4.11
37515.04,0.09,83.72,0.39,0.5,0.98,5.73
43640.25,0.35,54.91,0.8,0.26,0.05,6.34
23280.03,0.03,61.69,0.9,0.08,0.1,5.18
47471.24,0.08,48.82,0.2,0.44,0.72,3.92
2924.77,0.4,67.49,0.07,0.23,0.28,4.3
3469.18,0.13,52.63,0.88,-0.14,0.18,3.49
65896.74,0.57,49.31,0.39,0.25,0.04,7.11
29135.16,0.69,63.25,0.54,0.53,0.02,6.47
10601.31,0.8,40.25,0.97,0.12,0.77,4.44
42018.34,0.2,40.34,0.07,0.04,0.13,3.56
61714.49,0.17,49.86,0.65,-0.09,0.47,5.47
17657.77,0.1,41.65,0.07,-0.08,0.61,2.24
50019.79,0.64,44.86,0.38,0.15,0.43,4.96
7285.12,0.71,55.25,0.8,0.28,0.03,6.28
4608.7,0.03,76.12,0.43,-0.14,0.78,3.93
42742.69,0.94,65.74,1.0,0.55,0.01,8.75
43480.49,0.05,63.07,0.56,0.4,0.76,5.34
51175.68,0.54,53.21,0.32,0.27,0.89,5.91
58224.26,0.71,81.93,0.22,0.46,0.43,8.37
78080.24,0.87,57.87,0.35,-0.14,0.54,6.6
41545.88,0.71,43.92,0.37,0.18,0.48,5.66
26175.04,0.8,67.77,0.07,0.3,0.39,5.97
63717.3,0.34,45.12,0.37,0.46,0.89,5.22
22031.16,0.81,55.54,0.46,0.43,0.89,4.87
35398.23,0.08,62.83,0.72,0.02,0.34,5.09
6737.28,0.89,79.34,0.66,0.55,0.62,6.75
2515.38,0.55,62.21,0.71,-0.1,0.93,4.55
77030.55,0.82,71.6,0.01,0.5,0.96,7.5
66960.42,0.45,84.68,0.22,0.58,0.51,7.03
55829.95,0.64,45.92,0.66,-0.06,0.45,5.72
33011.76,0.53,52.36,0.48,0.38,0.28,5.9
14276.9,0.73,57.76,0.01,-0.17,0.96,3.57
12936.74,0.08,58.98,0.8,0.12,0.14,4.93
20394.31,0.06,58.5,0.77,0.21,0.58,4.6
44163.52,0.25,80.84,0.55,0.26,0.28,6.82
57310.38,0.16,72.13,0.07,0.55,0.28,6.04
52985.69,0.87,67.36,0.77,0.34,0.4,7.49
22754.74,0.22,53.92,0.58,0.19,1.0,3.58
76411.79,0.98,77.07,0.78,0.45,0.05,9.97
59162.8,0.34,82.98,0.75,0.56,0.58,7.82
44571.15,0.18,76.95,0.8,-0.18,0.08,6.41
49131.8,0.79,40.07,0.52,0.59,0.15,6.26
33858.2,0.66,68.64,0.14,-0.13,0.44,5.29
20194.61,0.5,42.3,0.67,0.45,0.51,5.07
28799.83,0.56,51.59,0.62,0.02,0.26,5.15
60748.77,0.72,42.68,0.74,-0.09,0.32,5.68
1644.28,0.23,67.17,0.17,0.15,0.09,4.44
9727.77,1.0,70.9,0.19,0.32,0.3,6.14
4157.21,0.97,45.15,0.89,0.1,0.97,4.84
3737.94,0.65,57.27,0.75,-0.16,0.94,4.75
68509.12,0.2,60.53,0.91,0.28,0.33,6.84
56440.8,0.68,56.61,0.76,0.52,0.57,7.16
38196.82,0.07,45.45,0.6,0.11,0.91,3.32
8277.82,0.03,58.85,0.65,-0.03,0.01,4.13
39583.46,0.26,73.8,0.89,0.15,0.81,6.28
38141.01,0.46,43.2,0.58,-0.16,0.95,3.49
14269.55,0.87,43.61,0.63,0.46,0.09,5.81
34991.21,0.73,55.96,0.16,0.46,0.16,5.96
32181.13,0.74,82.38,0.47,0.27,0.96,6.66
49460.08,0.43,70.09,0.72,0.08,0.54,6.79
50989.95,0.35,70.54,0.27,0.44,0.01,6.77
4101.67,0.37,56.29,0.2,0.24,0.26,4.46
30281.7,0.99,66.71,0.31,0.46,0.45,6.5
50255.86,0.04,40.46,0.24,0.31,0.69,3.69
40499.33,0.87,68.62,0.21,0.43,0.73,6.51
68590.94,0.58,81.1,0.42,0.28,1.0,6.93
52866.14,0.44,67.57,0.91,0.13,0.29,7.36
13453.29,0.73,79.32,0.51,0.57,0.54,7.42
6110.22,0.49,72.58,0.19,0.23,0.53,4.81
51572.33,0.87,45.43,0.08,0.28,0.41,5.77
2607.65,0.9,80.61,0.7,-0.02,0.17,6.78
47069.16,0.42,42.99,0.38,0.3,0.98,4.15
75248.3,0.28,64.03,0.82,0.26,0.85,6.15
46250.2,0.59,46.4,0.66,-0.05,0.5,5.11
31359.51,0.91,40.53,0.8,-0.15,0.6,4.78
51641.41,0.21,58.99,0.27,0.28,0.23,5.95
36931.1,0.62,53.28,0.69,0.41,0.54,5.97
43876.53,0.63,61.87,0.26,0.22,0.69,5.53
75346.45,0.73,65.97,0.94,-0.02,0.52,8.16
31195.16,0.13,41.97,0.64,0.33,0.99,3.33
76914.65,0.72,45.54,0.32,-0.14,0.61,5.5
72475.38,0.91,65.14,0.27,0.15,0.37,7.49
16065.4,0.18,55.44,0.19,-0.07,0.77,3.35
6014.22,0.24,72.81,0.69,-0.05,0.17,5.26
8511.85,0.97,69.35,0.22,-0.04,0.38,5.64
1948.64,0.18,78.05,0.6,0.11,0.35,5.02
8008.22,0.85,71.16,0.26,-0.16,0.43,5.4
54799.04,0.49,59.35,0.66,0.12,0.78,6.01
6159.5,0.25,70.28,0.81,0.21,0.48,4.87
25858.56,0.87,52.39,0.78,0.19,0.79,5.75
67667.59,0.45,53.78,0.76,0.11,0.58,5.98
2350.12,0.51,75.5,0.19,0.47,0.34,5.4
65250.24,0.36,60.09,0.09,-0.08,0.81,4.76
22907.45,0.59,75.93,0.7,0.2,0.24,7.49
9894.1,0.16,77.01,0.37,-0.15,0.22,4.61
55890.6,0.39,78.59,0.43,-0.14,0.5,5.94
50500.96,0.97,81.25,0.03,0.26,0.26,7.57
70259.03,0.26,59.39,0.26,0.25,0.01,6.43
58938.15,0.66,54.35,0.03,0.5,0.65,6.31
64376.73,0.33,66.2,0.88,0.25,0.51,6.82
22921.75,0.77,56.7,0.24,0.57,0.45,5.2
14606.44,0.13,67.05,0.56,-0.16,0.97,3.97
60173.87,0.97,71.75,0.04,-0.12,0.57,6.26
64643.36,0.45,70.98,0.67,-0.16,0.86,6.2
79245.16,0.24,56.85,0.32,-0.05,0.14,5.9
33303.11,0.07,47.51,0.9,0.23,0.57,4.56
30075.44,0.17,59.37,0.89,0.32,0.87,5.26
62224.83,0.52,46.42,0.33,-0.16,0.58,4.73
27593.88,0.34,80.05,0.9,0.56,0.72,6.72
74495.21,0.83,55.56,1.0,0.47,0.37,8.36
68743.81,0.43,46.95,0.83,0.04,0.09,6.51
34605.03,0.25,41.15,0.84,-0.14,0.46,4.27
60194.25,0.62,69.06,0.25,-0.06,0.39,6.53
60486.16,0.71,68.66,0.58,-0.1,0.87,6.79
8698.35,0.17,55.33,0.07,-0.1,0.24,3.21
72252.96,0.17,43.23,0.09,0.21,0.97,4.23
40667.56,0.04,58.43,1.0,-0.0,0.96,4.28
66203.37,0.74,54.0,0.33,0.09,0.25,6.52
25943.94,0.66,70.47,0.75,0.59,0.35,7.26
71694.1,0.47,67.26,0.81,0.35,0.9,7.41
31441.53,0.84,56.41,0.86,0.56,0.97,6.24
1361.59,0.81,49.81,1.0,-0.09,0.44,4.89
72477.87,0.59,84.46,0.24,0.11,0.32,7.56
7757.29,0.87,60.43,0.04,0.24,0.53,4.98
25885.43,0.21,70.97,0.41,-0.14,0.69,4.81
76029.93,0.11,46.32,0.13,-0.2,0.27,4.38
76073.27,0.27,61.85,0.02,0.34,0.74,5.89
46088.31,0.06,41.24,0.36,0.31,0.05,4.46
50731.06,0.53,62.75,0.78,0.13,0.05,6.96
36151.42,0.94,83.38,0.57,0.19,0.39,7.76
23810.26,0.04,57.29,0.31,0.13,0.35,4.16
26628.83,0.12,41.75,0.65,-0.18,0.32,3.68
53965.22,0.45,41.39,0.23,0.07,0.49,5.21
60313.78,0.93,57.46,0.01,-0.06,0.32,5.93
63430.53,0.32,47.2,0.76,-0.12,0.19,5.86
63274.64,0.51,41.05,0.62,0.57,0.31,6.11
7750.89,0.04,74.03,0.76,0.28,0.97,4.26
39806.41,0.15,60.63,0.04,0.38,0.41,4.63
5075.92,0.99,53.02,0.84,0.05,0.44,5.69
44187.55,0.97,80.5,0.62,0.11,0.58,8.65
35601.67,0.0,45.23,0.56,-0.01,0.98,3.13
71072.48,0.95,83.02,0.62,-0.12,0.24,8.4
28397.74,0.64,54.13,0.86,-0.06,0.68,5.47
9806.83,0.87,79.98,0.59,0.44,0.72,6.1
11867.84,0.45,67.13,0.58,0.34,0.61,5.27
61040.1,0.52,77.2,0.99,0.24,0.09,8.41
49648.34,0.49,84.28,0.76,0.18,0.68,7.59
8539.25,0.67,52.98,0.44,0.54,0.06,5.78
7186.49,0.14,83.25,0.71,-0.14,0.6,4.8
56227.05,0.03,57.53,0.39,0.02,0.74,4.45
6284.66,0.31,57.35,0.23,0.08,0.21,3.67
65837.87,0.7,55.32,0.6,0.43,0.84,6.38
56646.26,0.2,64.36,0.93,0.59,0.03,7.49
6967.23,0.67,46.94,0.93,-0.01,0.84,4.06
7244.6,0.97,64.92,0.34,0.5,0.46,5.93
78937.85,0.09,64.38,0.53,0.46,0.22,6.61
30254.53,0.67,74.29,0.21,-0.02,0.13,6.29
29966.05,0.44,77.51,1.0,0.12,0.95,6.89
65117.57,0.87,59.82,0.98,0.13,0.07,7.84
75806.26,0.18,53.6,0.65,0.58,0.2,6.23
78887.08,0.69,51.67,0.8,-0.06,0.35,7.09
60393.57,0.84,48.76,0.72,0.44,0.62,6.91
30412.64,0.94,42.59,0.59,0.07,0.54,5.42
7138.31,0.68,55.41,0.05,0.38,0.13,4.63
62283.18,0.5,52.16,0.45,0.14,0.29,5.97
44893.14,0.62,83.49,0.67,0.26,0.24,7.96
34225.65,0.87,65.1,0.68,0.47,0.21,7.69
72555.17,0.57,55.63,0.37,0.44,0.41,6.19
9340.2,0.03,66.12,0.94,0.49,0.7,4.84
39663.7,0.93,46.26,0.17,-0.15,0.22,5.28
1402.61,0.69,59.98,0.5,0.35,0.37,4.95
37758.52,0.68,68.18,0.69,-0.09,0.39,6.95
4976.11,0.22,62.0,0.7,0.13,0.98,3.72
9946.02,0.66,58.08,0.65,0.24,0.95,4.81
9843.34,0.39,84.72,0.28,0.12,0.8,5.25
52112.22,0.65,79.61,0.16,0.22,0.24,6.92
59810.57,0.11,68.05,0.64,0.6,0.07,6.46
46877.82,0.66,65.62,0.6,-0.09,0.32,6.35
76992.72,1.0,67.93,0.18,0.34,0.27,8.42
30302.21,0.05,49.06,0.71,0.12,0.51,4.05
23214.11,0.98,57.78,0.46,-0.09,0.78,5.08
69553.63,0.41,41.78,0.67,-0.07,0.86,5.32
18275.87,0.87,61.4,0.84,0.56,0.84,6.34
77076.19,0.78,64.44,0.17,0.5,0.36,7.45
1466.28,0.57,50.25,0.02,0.53,0.69,3.71
77605.37,0.74,83.38,0.78,0.59,0.31,9.77
3931.21,0.88,80.93,0.61,-0.03,0.06,7.45
71345.88,0.4,72.5,0.7,0.08,0.7,7.27
