CustomerID,Tenure,MonthlyCharges,TotalCharges,ContractType,TechSupport,StreamingTV,PaymentMethod,Churn
CUST1032,55,40.81,3100.31,Month-to-month,Yes,No,Bank transfer,0
CUST1033,64,63.68,6920.34,Month-to-month,No,No,Electronic check,0
CUST1034,3,67.28,4200.75,Two year,Yes,Yes,Electronic check,0
CUST1035,51,33.63,3885.54,One year,No,Yes,Mailed check,0
CUST1036,7,53.56,302.57,One year,No,No,Credit card,0
CUST1037,21,39.41,2795.86,Month-to-month,No,Yes,Credit card,0
CUST1038,73,34.44,3103.55,Two year,Yes,No,Credit card,0
CUST1039,39,99.3,3250.7,Month-to-month,No,Yes,Electronic check,0
CUST1040,18,52.56,4683.36,Month-to-month,No,No,Credit card,0
CUST1041,4,86.69,4315.46,One year,Yes,Yes,Credit card,0
CUST1042,60,47.82,4902.45,Month-to-month,No,No,Mailed check,1
CUST1043,14,77.71,6142.58,Month-to-month,No,Yes,Credit card,1
CUST1044,9,83.22,6522.59,One year,No,Yes,Electronic check,1
CUST1045,53,71.69,5773.17,Two year,Yes,Yes,Electronic check,1
CUST1046,2,63.01,7648.64,Month-to-month,No,Yes,Electronic check,0
CUST1047,60,58.83,244.04,One year,Yes,No,Mailed check,1
CUST1048,71,54.42,1646.65,Two year,Yes,No,Mailed check,0
CUST1049,44,95.07,159.75,Month-to-month,No,Yes,Bank transfer,0
CUST1050,8,88.14,5215.05,Month-to-month,No,No,Credit card,0
CUST1051,47,97.55,7194.44,Month-to-month,Yes,Yes,Mailed check,0
CUST1052,35,38.7,2023.51,Month-to-month,Yes,No,Electronic check,1
CUST1053,78,81.16,7423.57,Month-to-month,Yes,No,Electronic check,0
CUST1054,36,95.68,576.11,Two year,Yes,No,Mailed check,0
CUST1055,50,42.69,7482.04,One year,Yes,Yes,Mailed check,1
CUST1056,4,34.65,2877.82,One year,Yes,No,Mailed check,0
CUST1057,2,81.88,901.22,Month-to-month,No,Yes,Bank transfer,0
CUST1058,6,70.21,3938.39,Two year,No,No,Electronic check,1
CUST1059,54,88.93,2128.53,Two year,No,Yes,Bank transfer,0
CUST1060,4,39.78,2350.5,Two year,No,No,Bank transfer,0
CUST1061,54,85.67,2527.59,Month-to-month,Yes,No,Credit card,0
CUST1062,63,44.11,6443.9,One year,No,No,Electronic check,0
CUST1063,18,41.46,4359.37,Month-to-month,No,Yes,Electronic check,1
CUST1064,44,41.5,2559.33,Month-to-month,No,No,Mailed check,0
CUST1065,34,87.02,4921.64,Month-to-month,No,Yes,Mailed check,0
CUST1066,74,76.56,5757.59,One year,No,No,Credit card,0
CUST1067,62,66.61,2253.73,One year,No,Yes,Bank transfer,0
CUST1068,14,55.12,3367.04,Month-to-month,Yes,Yes,Mailed check,1
CUST1069,48,91.4,1062.9,Month-to-month,No,No,Mailed check,0
CUST1070,15,57.47,1531.08,Month-to-month,No,Yes,Electronic check,0
CUST1071,72,87.16,5480.83,Month-to-month,No,Yes,Electronic check,0
CUST1072,78,60.74,1533.36,Month-to-month,No,Yes,Mailed check,0
CUST1073,62,56.39,4248.79,Month-to-month,Yes,Yes,Electronic check,1
CUST1074,40,62.39,5701.47,Two year,Yes,No,Credit card,0
CUST1075,53,51.1,944.33,Month-to-month,No,No,Mailed check,0
CUST1076,24,82.33,4581.77,Month-to-month,No,Yes,Electronic check,0
CUST1077,26,65.19,2126.85,Month-to-month,No,Yes,Credit card,1
CUST1078,60,46.25,7707.12,Two year,Yes,Yes,Electronic check,0
CUST1079,41,92.97,3920.01,One year,Yes,Yes,Electronic check,1
CUST1080,29,56.87,6467.34,One year,No,No,Electronic check,0
CUST1081,15,68.05,4446.79,Month-to-month,No,No,Mailed check,1
CUST1082,45,93.45,442.96,One year,No,Yes,Bank transfer,0
CUST1083,65,73.7,5101.9,Month-to-month,No,Yes,Electronic check,0
CUST1084,71,38.18,7616.09,One year,No,Yes,Credit card,0
CUST1085,9,95.79,4852.73,Two year,Yes,No,Mailed check,0
CUST1086,1,73.94,6571.59,One year,No,No,Mailed check,1
CUST1087,8,53.44,7085.23,Two year,No,Yes,Credit card,1
CUST1088,63,39.75,1901.83,One year,No,Yes,Electronic check,0
CUST1089,11,85.58,1775.15,Month-to-month,No,No,Bank transfer,0
CUST1090,8,73.41,4926.75,Two year,No,No,Electronic check,0
CUST1091,35,67.34,3347.12,Month-to-month,Yes,Yes,Credit card,1
CUST1092,35,92.57,6734.9,One year,No,Yes,Mailed check,0
CUST1093,33,85.2,7210.18,Month-to-month,Yes,Yes,Bank transfer,0
CUST1094,5,40.62,2892.03,Month-to-month,No,No,Mailed check,0
CUST1095,41,51.82,1971.28,Month-to-month,Yes,Yes,Credit card,0
CUST1096,28,47.39,6266.15,Month-to-month,Yes,Yes,Electronic check,0
CUST1097,7,82.08,2270.97,Month-to-month,No,No,Bank transfer,0
CUST1098,73,32.35,6598.65,One year,Yes,Yes,Mailed check,0
CUST1099,72,69.89,3447.53,Month-to-month,No,No,Mailed check,1
CUST1100,12,83.37,5373.64,Month-to-month,No,Yes,Mailed check,0
CUST1101,34,91.37,854.73,One year,Yes,Yes,Electronic check,0
CUST1102,33,53.95,5028.49,Month-to-month,No,No,Bank transfer,0
CUST1103,48,87.49,3668.96,One year,No,Yes,Electronic check,1
CUST1104,23,37.74,4734.21,One year,No,No,Electronic check,0
CUST1105,62,89.25,1427.31,Two year,Yes,No,Electronic check,0
CUST1106,37,38.92,5921.3,One year,Yes,Yes,Credit card,0
CUST1107,44,57.81,6916.1,Month-to-month,Yes,No,Credit card,0
CUST1108,35,85.81,1812.24,One year,Yes,Yes,Credit card,0
CUST1109,65,40.49,856.14,Month-to-month,Yes,No,Bank transfer,1
CUST1110,47,46.05,286.74,Month-to-month,No,Yes,Electronic check,1
CUST1111,78,80.56,5171.57,Two year,No,No,Electronic check,0
CUST1112,3,80.4,4896.04,Month-to-month,No,Yes,Credit card,0
CUST1113,1,74.88,4418.91,Two year,No,Yes,Electronic check,1
CUST1114,5,78.58,1932.38,Two year,Yes,No,Electronic check,0
CUST1115,14,67.99,3188.16,Two year,Yes,No,Mailed check,1
CUST1116,27,47.63,4796.36,Two year,Yes,Yes,Electronic check,0
CUST1117,9,54.2,4024.46,Month-to-month,Yes,Yes,Mailed check,1
CUST1118,79,42.71,7903.51,Month-to-month,No,No,Electronic check,1
CUST1119,15,93.59,1177.87,One year,No,No,Bank transfer,1
CUST1120,42,70.84,5591.64,Month-to-month,Yes,Yes,Credit card,0
CUST1121,77,58.06,3294.12,One year,Yes,Yes,Mailed check,0
CUST1122,51,62.34,3482.78,One year,No,Yes,Credit card,1
CUST1123,63,96.31,5769.02,One year,No,No,Mailed check,0
CUST1124,52,40.73,5570.25,Month-to-month,Yes,Yes,Mailed check,0
CUST1125,4,71.04,7930.92,Month-to-month,No,Yes,Mailed check,1
CUST1126,23,65.41,1114.31,Month-to-month,No,No,Bank transfer,1
CUST1127,15,72.8,922.47,Month-to-month,Yes,Yes,Electronic check,1
CUST1128,43,31.27,5822.28,Two year,Yes,Yes,Mailed check,0
CUST1129,29,91.05,4669.26,Month-to-month,No,Yes,Bank transfer,1
CUST1130,36,95.25,2265.87,Month-to-month,No,Yes,Mailed check,1
CUST1131,13,69.56,727.41,Month-to-month,No,Yes,Electronic check,0
CUST1132,32,78.77,776.7,One year,Yes,No,Mailed check,0
CUST1133,71,94.57,7164.11,One year,Yes,Yes,Bank transfer,0
CUST1134,59,79.51,1615.75,Month-to-month,No,No,Electronic check,0
CUST1135,28,40.68,2654.64,Month-to-month,No,No,Bank transfer,1
CUST1136,66,70.34,1890.59,Month-to-month,Yes,No,Electronic check,0
CUST1137,42,72.47,2904.47,Month-to-month,No,Yes,Electronic check,1
CUST1138,45,59.69,648.45,One year,No,Yes,Credit card,1
CUST1139,62,81.55,4200.57,One year,No,Yes,Credit card,0
CUST1140,57,95.41,634.14,Month-to-month,No,Yes,Credit card,1
CUST1141,6,94.79,6422.82,Month-to-month,No,Yes,Electronic check,0
CUST1142,28,61.56,1946.33,Two year,No,No,Mailed check,1
CUST1143,28,37.93,4366.09,Month-to-month,No,Yes,Bank transfer,0
CUST1144,44,98.94,7052.62,One year,Yes,Yes,Bank transfer,1
CUST1145,30,88.72,5241.93,Month-to-month,No,Yes,Bank transfer,0
CUST1146,62,38.73,4310.37,Month-to-month,Yes,No,Credit card,0
CUST1147,75,94.46,2662.24,Month-to-month,No,Yes,Electronic check,1
CUST1148,62,90.89,2730.72,One year,Yes,No,Credit card,0
CUST1149,1,66.32,5388.95,Two year,Yes,Yes,Mailed check,0
CUST1150,27,71.39,7953.7,Month-to-month,Yes,No,Electronic check,0
CUST1151,62,57.93,5328.53,Month-to-month,Yes,No,Bank transfer,1
CUST1152,77,33.83,4506.49,Month-to-month,No,Yes,Credit card,0
CUST1153,3,53.46,5872.14,Month-to-month,No,Yes,Credit card,0
CUST1154,70,86.2,3775.12,Month-to-month,No,Yes,Mailed check,0
CUST1155,72,30.32,575.12,Month-to-month,Yes,Yes,Mailed check,0
CUST1156,27,53.34,4542.14,Two year,Yes,No,Credit card,0
CUST1157,9,57.87,7665.24,Month-to-month,Yes,No,Mailed check,0
CUST1158,62,67.62,1484.89,Month-to-month,Yes,No,Bank transfer,0
CUST1159,37,94.39,5551.04,Two year,No,No,Mailed check,0
CUST1160,51,54.24,1687.38,Month-to-month,Yes,Yes,Mailed check,0
CUST1161,44,54.29,4333.04,Two year,Yes,Yes,Credit card,1
CUST1162,24,81.63,863.74,Month-to-month,Yes,No,Credit card,0
CUST1163,79,61.66,3657.93,Two year,Yes,Yes,Electronic check,0
CUST1164,59,45.72,6073.69,One year,No,No,Electronic check,0
CUST1165,32,61.67,2845.82,Two year,No,Yes,Credit card,0
CUST1166,52,39.86,5352.8,Two year,Yes,Yes,Mailed check,1
CUST1167,62,42.35,6384.05,Month-to-month,Yes,No,Mailed check,0
CUST1168,58,64.89,7424.7,Two year,Yes,Yes,Electronic check,0
CUST1169,52,59.32,1953.67,Month-to-month,Yes,No,Electronic check,0
CUST1170,12,94.04,3254.6,Month-to-month,Yes,No,Electronic check,0
CUST1171,39,55.37,1304.09,Month-to-month,No,No,Bank transfer,0
CUST1172,2,70.64,7940.62,One year,No,No,Bank transfer,0
CUST1173,3,74.26,7423.31,Month-to-month,No,No,Electronic check,0
CUST1174,56,30.92,4365.66,One year,No,No,Mailed check,1
CUST1175,59,76.45,6752.06,One year,No,Yes,Electronic check,0
CUST1176,2,42.46,4215.57,Two year,No,Yes,Bank transfer,0
CUST1177,2,97.27,5026.33,Two year,No,No,Mailed check,1
CUST1178,54,40.41,804.08,Month-to-month,No,Yes,Bank transfer,1
CUST1179,1,59.02,6066.64,Month-to-month,Yes,Yes,Mailed check,0
CUST1180,19,35.97,1108.94,Month-to-month,No,Yes,Bank transfer,1
CUST1181,2,99.78,6625.93,Month-to-month,No,No,Mailed check,1
CUST1182,53,65.15,6278.02,Month-to-month,No,No,Mailed check,0
CUST1183,44,71.68,5699.08,Month-to-month,No,Yes,Mailed check,0
CUST1184,32,34.7,385.67,Month-to-month,No,No,Mailed check,0
CUST1185,70,82.5,2494.71,Two year,Yes,No,Credit card,1
CUST1186,32,44.69,2178.59,One year,No,No,Bank transfer,0
CUST1187,68,92.86,2945.08,Month-to-month,Yes,No,Bank transfer,0
CUST1188,55,44.36,792.38,One year,Yes,No,Credit card,1
CUST1189,75,43.35,7501.97,Month-to-month,Yes,Yes,Mailed check,0
CUST1190,56,32.56,4475.04,Month-to-month,No,No,Mailed check,0
CUST1191,17,63.04,2513.64,One year,Yes,Yes,Bank transfer,0
CUST1192,38,69.54,3236.15,Month-to-month,Yes,No,Credit card,0
CUST1193,24,34.6,3632.9,Month-to-month,No,No,Mailed check,1
CUST1194,69,84.29,4844.7,Two year,Yes,Yes,Mailed check,0
CUST1195,70,61.73,4173.87,Two year,No,Yes,Mailed check,1
CUST1196,11,66.71,7363.2,One year,No,No,Electronic check,0
CUST1197,16,60.85,4026.01,One year,Yes,Yes,Credit card,0
CUST1198,73,58.05,7938.05,One year,No,No,Mailed check,1
CUST1199,59,69.17,6826.26,Month-to-month,Yes,Yes,Electronic check,0
CUST1200,70,40.87,1747.23,Month-to-month,No,Yes,Credit card,0
CUST1201,3,42.73,7451.7,Month-to-month,No,No,Mailed check,0
CUST1202,20,90.32,1019.29,Month-to-month,No,No,Bank transfer,1
CUST1203,59,96.23,6557.85,One year,No,No,Electronic check,0
CUST1204,36,56.13,3106.92,Month-to-month,Yes,Yes,Electronic check,0
CUST1205,19,48.95,7036.0,Two year,Yes,No,Mailed check,0
CUST1206,67,75.08,6957.65,Two year,No,No,Mailed check,0
CUST1207,19,58.61,6466.81,One year,No,No,Electronic check,1
CUST1208,20,31.78,6341.24,One year,No,No,Bank transfer,0
CUST1209,71,40.93,2506.97,Two year,No,No,Bank transfer,0
CUST1210,52,80.12,739.26,Month-to-month,No,Yes,Credit card,0
CUST1211,33,76.12,3283.54,Two year,No,Yes,Mailed check,0
CUST1212,40,31.9,1470.84,Month-to-month,Yes,No,Bank transfer,1
CUST1213,39,45.54,5590.11,Two year,No,Yes,Credit card,0
CUST1214,1,46.18,2834.19,Month-to-month,No,No,Bank transfer,1
CUST1215,11,77.03,7807.32,Two year,Yes,Yes,Mailed check,0
CUST1216,57,31.38,5163.68,Two year,No,No,Credit card,0
CUST1217,50,37.29,6597.6,Month-to-month,No,No,Credit card,1
CUST1218,23,85.99,1146.94,Month-to-month,No,Yes,Credit card,0
CUST1219,31,42.5,6909.91,Two year,Yes,Yes,Bank transfer,1
CUST1220,42,75.69,7389.78,Month-to-month,Yes,Yes,Mailed check,1
CUST1221,7,46.67,3947.79,Two year,No,No,Credit card,0
CUST1222,16,36.96,4889.4,One year,No,No,Electronic check,0
CUST1223,60,47.02,6142.0,Month-to-month,Yes,Yes,Mailed check,1
CUST1224,2,80.56,1481.23,Month-to-month,Yes,No,Electronic check,0
CUST1225,1,89.9,4070.27,Month-to-month,No,Yes,Electronic check,0
CUST1226,48,88.12,3249.44,Two year,Yes,Yes,Credit card,0
CUST1227,12,57.8,1256.35,Month-to-month,No,No,Credit card,0
CUST1228,69,76.77,3003.52,One year,No,Yes,Bank transfer,1
CUST1229,37,44.35,638.56,Month-to-month,Yes,Yes,Bank transfer,0
CUST1230,32,50.52,303.91,One year,No,Yes,Bank transfer,0
CUST1231,9,92.74,1167.81,Two year,Yes,Yes,Mailed check,0
CUST1232,19,30.91,7708.61,Two year,Yes,Yes,Bank transfer,0
CUST1233,48,35.99,4441.28,Month-to-month,No,Yes,Electronic check,0
CUST1234,3,44.55,7730.0,Two year,No,No,Bank transfer,1
CUST1235,20,31.86,3516.73,Two year,No,Yes,Credit card,0
CUST1236,24,42.7,2563.35,One year,No,No,Bank transfer,1
CUST1237,54,70.81,4098.52,Two year,Yes,Yes,Mailed check,1
CUST1238,33,59.5,3572.14,Month-to-month,Yes,Yes,Mailed check,0
CUST1239,24,92.49,934.75,Month-to-month,Yes,No,Electronic check,0
CUST1240,75,87.22,5162.53,Two year,Yes,No,Mailed check,0
CUST1241,72,53.93,1806.7,Month-to-month,Yes,Yes,Bank transfer,0
CUST1242,36,48.16,4994.74,Two year,Yes,No,Credit card,1
CUST1243,38,56.58,5236.59,Two year,No,No,Mailed check,1
CUST1244,25,71.32,1301.0,Month-to-month,No,No,Electronic check,0
CUST1245,18,48.76,584.66,Two year,No,No,Bank transfer,0
CUST1246,66,73.69,6268.02,Month-to-month,No,Yes,Electronic check,1
CUST1247,54,58.66,3732.42,One year,Yes,Yes,Mailed check,1
CUST1248,35,68.64,559.49,One year,Yes,No,Mailed check,0
CUST1249,61,60.53,7959.44,Two year,No,Yes,Electronic check,0
CUST1250,41,50.61,556.47,Month-to-month,No,No,Bank transfer,0
CUST1251,33,96.39,5590.78,Month-to-month,Yes,Yes,Mailed check,1
CUST1252,68,83.45,7871.06,One year,No,Yes,Credit card,0
CUST1253,33,39.81,1989.52,One year,No,No,Mailed check,0
CUST1254,14,90.79,1223.77,One year,No,Yes,Bank transfer,0
CUST1255,21,64.12,1058.94,Month-to-month,Yes,No,Mailed check,0
CUST1256,48,92.62,2495.87,Month-to-month,No,No,Electronic check,0
CUST1257,20,85.99,898.26,Month-to-month,No,No,Mailed check,1
CUST1258,8,59.76,5568.07,Two year,No,No,Mailed check,0
CUST1259,7,31.57,592.11,Month-to-month,No,No,Bank transfer,0
CUST1260,67,48.81,4124.43,Month-to-month,No,No,Electronic check,0
CUST1261,17,67.91,7973.91,Two year,No,No,Bank transfer,0
CUST1262,33,74.34,6530.37,Month-to-month,Yes,Yes,Mailed check,0
CUST1263,48,48.05,4960.23,Two year,No,Yes,Credit card,0
CUST1264,76,39.75,2519.4,One year,No,Yes,Mailed check,0
CUST1265,59,88.45,5028.78,Two year,No,Yes,Bank transfer,0
CUST1266,22,98.91,4263.63,Month-to-month,Yes,No,Credit card,0
CUST1267,30,66.8,3466.06,Month-to-month,Yes,No,Bank transfer,0
CUST1268,38,42.02,1132.61,One year,No,No,Bank transfer,1
CUST1269,51,49.06,7104.17,Two year,No,Yes,Electronic check,1
CUST1270,54,31.29,3653.3,One year,No,No,Credit card,0
CUST1271,8,94.0,1637.52,Month-to-month,No,Yes,Mailed check,0
CUST1272,27,38.24,3005.3,Two year,No,No,Bank transfer,1
CUST1273,27,70.36,3371.63,Two year,No,No,Mailed check,0
CUST1274,21,49.18,6637.55,One year,No,Yes,Electronic check,1
CUST1275,30,68.79,5895.55,Two year,No,Yes,Electronic check,1
CUST1276,28,75.6,6177.51,Two year,No,Yes,Credit card,0
CUST1277,64,88.08,187.15,One year,Yes,No,Electronic check,0
CUST1278,69,44.45,3387.62,Month-to-month,No,No,Electronic check,1
CUST1279,61,30.77,3902.62,Month-to-month,No,No,Mailed check,0
CUST1280,48,39.58,251.62,Month-to-month,Yes,Yes,Electronic check,0
CUST1281,19,93.0,2152.52,Month-to-month,Yes,Yes,Electronic check,0
CUST1282,4,91.17,6106.29,Month-to-month,Yes,No,Bank transfer,0
CUST1283,35,71.82,1183.17,Month-to-month,Yes,No,Electronic check,0
CUST1284,64,72.04,4328.95,Month-to-month,Yes,Yes,Bank transfer,1
CUST1285,49,76.55,1800.09,Month-to-month,No,Yes,Electronic check,1
CUST1286,17,42.28,195.75,Two year,No,No,Electronic check,0
CUST1287,44,94.01,2005.49,Two year,No,Yes,Credit card,0
CUST1288,30,59.31,7809.4,Month-to-month,Yes,Yes,Credit card,0
CUST1289,46,56.82,6432.14,Two year,Yes,Yes,Bank transfer,0
CUST1290,6,66.32,7680.66,One year,No,No,Electronic check,0
CUST1291,37,33.29,3954.05,Month-to-month,Yes,No,Mailed check,1
CUST1292,24,41.64,966.92,Month-to-month,No,No,Credit card,1
CUST1293,46,81.66,4428.88,One year,No,No,Mailed check,0
CUST1294,53,35.8,3689.58,Two year,No,No,Credit card,0
CUST1295,60,72.22,6770.42,One year,Yes,Yes,Credit card,0
CUST1296,63,47.17,874.85,Month-to-month,No,No,Electronic check,0
CUST1297,32,57.25,3957.1,Month-to-month,Yes,Yes,Credit card,0
CUST1298,33,50.21,1285.38,Month-to-month,No,No,Mailed check,0
CUST1299,67,54.9,2664.94,Month-to-month,No,Yes,Credit card,1
CUST1300,18,80.33,5925.12,Month-to-month,Yes,Yes,Bank transfer,0
CUST1301,25,50.8,3860.54,Month-to-month,Yes,Yes,Electronic check,0
CUST1302,54,69.65,3069.52,Two year,Yes,Yes,Electronic check,1
CUST1303,58,63.32,3216.36,Two year,No,Yes,Bank transfer,0
CUST1304,67,76.46,3729.63,Month-to-month,Yes,Yes,Bank transfer,0
CUST1305,46,95.58,6301.63,Two year,No,No,Bank transfer,0
CUST1306,24,81.28,7147.47,Month-to-month,Yes,Yes,Credit card,0
CUST1307,32,45.05,7647.14,Month-to-month,No,No,Electronic check,1
CUST1308,47,32.18,6316.54,Month-to-month,No,No,Bank transfer,0
CUST1309,23,48.36,2591.71,One year,No,No,Credit card,1
CUST1310,66,71.66,5536.26,Two year,No,No,Bank transfer,0
CUST1311,27,33.6,3557.06,One year,Yes,No,Mailed check,0
CUST1312,2,64.75,2111.9,Month-to-month,Yes,Yes,Mailed check,1
CUST1313,17,71.78,6742.89,One year,No,Yes,Electronic check,0
CUST1314,33,53.4,403.57,Month-to-month,Yes,Yes,Credit card,0
CUST1315,9,83.96,7223.92,Two year,No,No,Mailed check,0
CUST1316,43,37.46,3745.67,One year,Yes,No,Mailed check,0
CUST1317,48,35.26,5133.89,Month-to-month,Yes,Yes,Credit card,0
CUST1318,39,80.97,5308.9,One year,Yes,Yes,Bank transfer,0
CUST1319,42,64.68,7171.43,One year,No,No,Credit card,0
CUST1320,26,78.19,5129.69,Month-to-month,Yes,Yes,Bank transfer,0
CUST1321,50,60.44,4950.08,One year,No,No,Mailed check,1
CUST1322,25,47.25,626.55,Month-to-month,Yes,No,Mailed check,0
CUST1323,24,87.34,4195.42,One year,No,No,Mailed check,1
CUST1324,13,85.96,1286.34,Two year,Yes,No,Electronic check,0
CUST1325,60,78.63,5925.73,Two year,No,No,Electronic check,0
CUST1326,7,49.05,4146.55,One year,No,Yes,Electronic check,1
CUST1327,57,71.32,5473.8,One year,Yes,No,Credit card,0
CUST1328,36,55.27,429.22,Month-to-month,No,No,Mailed check,1
CUST1329,45,36.41,769.86,Two year,No,Yes,Mailed check,0
CUST1330,20,94.21,5758.95,Month-to-month,No,Yes,Credit card,0
CUST1331,65,39.58,669.47,Month-to-month,No,Yes,Electronic check,0
CUST1332,8,96.52,662.93,Month-to-month,Yes,Yes,Credit card,0
CUST1333,16,61.22,195.66,Month-to-month,No,No,Electronic check,1
CUST1334,14,42.96,7656.36,One year,Yes,No,Mailed check,0
CUST1335,76,67.93,5926.32,Month-to-month,Yes,Yes,Bank transfer,1
CUST1336,15,91.11,2890.69,One year,No,Yes,Electronic check,1
CUST1337,66,81.26,2442.63,Month-to-month,Yes,No,Mailed check,0
CUST1338,32,86.46,2862.66,Month-to-month,No,Yes,Mailed check,0
CUST1339,63,76.11,6219.76,One year,No,Yes,Bank transfer,1
CUST1340,51,78.46,5324.83,Month-to-month,No,No,Mailed check,1
CUST1341,25,89.44,1563.04,Month-to-month,No,No,Mailed check,0
CUST1342,58,47.48,1475.46,One year,Yes,Yes,Electronic check,0
CUST1343,63,64.26,877.33,Month-to-month,Yes,Yes,Electronic check,0
CUST1344,62,45.48,5316.39,Two year,No,Yes,Bank transfer,0
CUST1345,22,99.14,6138.54,Month-to-month,Yes,No,Bank transfer,0
CUST1346,58,96.08,2193.87,Month-to-month,Yes,No,Mailed check,1
CUST1347,58,32.76,265.47,One year,Yes,Yes,Electronic check,0
CUST1348,49,79.39,749.16,Month-to-month,No,No,Bank transfer,0
CUST1349,52,94.77,7746.09,Month-to-month,No,No,Bank transfer,0
CUST1350,42,42.64,2434.01,Month-to-month,Yes,Yes,Credit card,0
CUST1351,70,69.76,6176.86,Month-to-month,No,Yes,Bank transfer,0
CUST1352,15,94.08,5034.84,Two year,Yes,No,Mailed check,0
CUST1353,54,32.38,3117.32,Month-to-month,Yes,Yes,Electronic check,0
CUST1354,60,78.82,1724.93,Two year,No,Yes,Bank transfer,0
CUST1355,8,50.81,1058.95,Two year,No,No,Credit card,0
CUST1356,53,94.71,4958.6,Month-to-month,No,No,Electronic check,1
CUST1357,60,97.97,6219.61,Two year,Yes,No,Bank transfer,0
CUST1358,5,96.1,5186.84,Month-to-month,No,No,Credit card,0
CUST1359,68,63.19,4289.39,Two year,No,No,Bank transfer,0
CUST1360,6,90.34,431.41,Month-to-month,No,Yes,Electronic check,1
CUST1361,47,89.12,7751.06,One year,No,No,Electronic check,0
CUST1362,55,52.34,6409.84,Month-to-month,No,Yes,Electronic check,0
CUST1363,40,88.02,2413.29,Month-to-month,No,Yes,Mailed check,1
CUST1364,52,32.59,7841.77,One year,No,No,Bank transfer,0
CUST1365,16,71.74,4854.86,One year,No,No,Mailed check,0
CUST1366,13,46.1,4701.14,Month-to-month,No,Yes,Electronic check,0
CUST1367,30,38.44,6009.78,Month-to-month,No,No,Credit card,0
CUST1368,19,35.39,6512.98,One year,No,Yes,Bank transfer,0
CUST1369,17,78.74,5286.18,One year,Yes,Yes,Mailed check,1
CUST1370,63,53.79,1111.96,Two year,Yes,Yes,Bank transfer,0
CUST1371,19,80.73,2772.31,Two year,No,No,Credit card,1
CUST1372,58,34.57,7431.86,Two year,No,No,Mailed check,0
CUST1373,55,52.07,1874.46,One year,No,Yes,Electronic check,1
CUST1374,62,67.76,3040.12,Month-to-month,Yes,No,Mailed check,0
CUST1375,23,85.35,3513.41,Month-to-month,No,Yes,Bank transfer,0
CUST1376,9,52.31,3571.3,Two year,Yes,No,Bank transfer,0
CUST1377,12,73.81,4942.22,One year,No,Yes,Bank transfer,1
CUST1378,1,92.02,7550.3,Month-to-month,No,Yes,Bank transfer,0
CUST1379,58,73.11,2001.47,Month-to-month,No,No,Electronic check,0
CUST1380,1,46.31,1059.86,Two year,No,Yes,Mailed check,0
CUST1381,34,31.71,1660.02,One year,No,Yes,Electronic check,0
CUST1382,48,90.91,7106.71,Month-to-month,No,No,Electronic check,0
CUST1383,1,31.49,5201.91,Month-to-month,Yes,No,Electronic check,0
CUST1384,16,91.23,2358.66,Month-to-month,No,Yes,Bank transfer,0
